"tipo","numero","genero","nacionalidad","promedio","actividad"
"P",10136,"F","MEX",77.8,"Ninguna"
"U",10137,"F","MEX",86.4,"Cultura"
"U",10138,"M","MEX",79.2,"Ninguna"
"P",10139,"M","MEX",69.8,"Cultura"
"P",10140,"M","MEX",85.8,"Ninguna"
"P",10141,"M","MEX",77.8,"Cultura"
"P",10142,"F","MEX",82.6,"Ninguna"
"P",10143,"F","MEX",97.6,"Ninguna"
"P",10144,"M","MEX",84.2,"Ninguna"
"P",10145,"M","MEX",80.6,"Ninguna"
"P",10146,"F","EXT",86.3,"Deportiva"
"U",10147,"F","MEX",77,"Ninguna"
"P",10148,"F","MEX",75.2,"Ninguna"
"U",10149,"M","MEX",82.4,"Ninguna"
"U",10150,"M","MEX",86.2,"Cultura"
"U",10151,"M","MEX",79.3,"Cultura"
"P",10152,"M","MEX",87.4,"Ninguna"
"U",10153,"F","MEX",84.2,"Ninguna"
"U",10154,"M","MEX",84.4,"Ninguna"
"U",10155,"F","MEX",83.1,"Cultura"
"P",10156,"F","MEX",84,"Cultura"
"P",10157,"F","MEX",78,"Ninguna"
"U",10158,"F","MEX",82.4,"Deportiva"
"U",10159,"M","MEX",80.3,"Ninguna"
"P",10160,"M","EXT",74,"Cultura"
"P",10161,"F","MEX",86.2,"Deportiva"
"U",10162,"F","MEX",78.4,"Ninguna"
"P",10163,"M","MEX",75.8,"Cultura"
"U",10164,"F","MEX",86.3,"Ninguna"
"U",10165,"M","MEX",77,"Cultura"
"P",10166,"M","MEX",74.9,"Ninguna"
"U",10167,"F","EXT",79.6,"Cultura"
"U",10168,"M","MEX",83.4,"Ninguna"
"U",10169,"F","MEX",68.6,"Ninguna"
"U",10170,"F","MEX",79.4,"Ninguna"
"P",10171,"F","EXT",76.7,"Deportiva"
"P",10172,"F","MEX",80.3,"Deportiva"
"P",10173,"F","MEX",76.2,"Deportiva"
"U",10174,"O","MEX",78.2,"Ninguna"
"U",10175,"F","MEX",86.1,"Ninguna"
"P",10176,"F","EXT",75.9,"Ninguna"
"U",10177,"M","MEX",85.2,"Ninguna"
"P",10178,"M","EXT",80.4,"Deportiva"
"P",10179,"F","MEX",75.2,"Deportiva"
"U",10180,"F","MEX",73.5,"Ninguna"
"U",10181,"F","MEX",80.4,"Deportiva"
"P",10182,"M","EXT",89.1,"Ninguna"
"P",10183,"M","MEX",79.3,"Cultura"
"P",10184,"O","MEX",87.5,"Ninguna"
"P",10185,"F","MEX",77.2,"Deportiva"
"U",10186,"M","MEX",78.2,"Ninguna"
"U",10187,"F","EXT",87.9,"Ninguna"
"U",10188,"O","MEX",79.6,"Ninguna"
"U",10189,"M","EXT",80.5,"Deportiva"
"U",10190,"F","MEX",73.6,"Ninguna"
"P",10191,"M","MEX",77.8,"Ninguna"
"U",10192,"M","MEX",82.6,"Deportiva"
"P",10193,"M","MEX",82.3,"Cultura"
"P",10194,"F","MEX",69.6,"Deportiva"
"P",10195,"F","MEX",81.5,"Ninguna"
"U",10196,"M","MEX",85.7,"Deportiva"
"P",10197,"F","MEX",85.9,"Deportiva"
"U",10198,"M","MEX",78,"Ninguna"
"P",10199,"M","MEX",83.4,"Ninguna"
"U",10200,"M","MEX",82.8,"Ninguna"
"U",10201,"M","MEX",84.1,"Ninguna"
"P",10202,"M","MEX",80.4,"Ninguna"
"U",10203,"M","MEX",72.7,"Cultura"
"U",10204,"F","MEX",84.6,"Ninguna"
"U",10205,"F","MEX",80.9,"Deportiva"
"P",10206,"F","MEX",83.2,"Ninguna"
"P",10207,"O","MEX",80.5,"Ninguna"
"U",10208,"M","EXT",85.9,"Deportiva"
"U",10209,"M","MEX",75,"Ninguna"
"P",10210,"M","MEX",75.8,"Ninguna"
"P",10211,"F","MEX",78.7,"Deportiva"
"U",10212,"M","MEX",81.9,"Cultura"
"U",10213,"F","EXT",75.1,"Ninguna"
"P",10214,"M","MEX",80,"Deportiva"
"P",10215,"F","MEX",75.7,"Ninguna"
"P",10216,"F","MEX",79.5,"Cultura"
"U",10217,"F","EXT",78.7,"Deportiva"
"U",10218,"F","MEX",78.8,"Deportiva"
"P",10219,"M","MEX",76.3,"Ninguna"
"U",10220,"F","MEX",79.2,"Cultura"
"U",10221,"M","MEX",89.8,"Ninguna"
"U",10222,"M","MEX",77.1,"Ninguna"
"P",10223,"M","EXT",77.6,"Cultura"
"U",10224,"F","MEX",76.3,"Ninguna"
"U",10225,"F","EXT",89.1,"Ninguna"
"U",10226,"F","MEX",85.8,"Deportiva"
"U",10227,"M","MEX",86,"Cultura"
"U",10228,"M","MEX",76,"Ninguna"
"U",10229,"M","MEX",85.4,"Ninguna"
"U",10230,"M","MEX",73.2,"Ninguna"
"U",10231,"M","MEX",79.9,"Cultura"
"P",10232,"M","MEX",82.8,"Ninguna"
"U",10233,"F","MEX",92.4,"Deportiva"
"U",10234,"F","MEX",79.9,"Cultura"
"U",10235,"F","MEX",75.1,"Ninguna"
"U",10236,"F","MEX",83.4,"Ninguna"
"U",10237,"M","EXT",74.5,"Cultura"
"U",10238,"M","MEX",80,"Cultura"
"U",10239,"F","MEX",82.1,"Deportiva"
"P",10240,"F","MEX",74.2,"Ninguna"
"U",10241,"F","MEX",86.8,"Cultura"
"P",10242,"M","MEX",84.8,"Deportiva"
"P",10243,"O","EXT",70.5,"Deportiva"
"U",10244,"F","MEX",78.7,"Deportiva"
"P",10245,"M","MEX",86.5,"Ninguna"
"P",10246,"M","MEX",79.1,"Cultura"
"P",10247,"M","MEX",81.5,"Ninguna"
"U",10248,"M","MEX",79.3,"Deportiva"
"U",10249,"F","MEX",80,"Ninguna"
"U",10250,"F","MEX",83.9,"Cultura"
"U",10251,"F","MEX",75.8,"Cultura"
"U",10252,"F","EXT",85.8,"Ninguna"
"U",10253,"F","MEX",68,"Ninguna"
"P",10254,"M","MEX",81.1,"Cultura"
"U",10255,"M","MEX",81.4,"Cultura"
"U",10256,"M","EXT",86.1,"Ninguna"
"P",10257,"M","MEX",85.5,"Deportiva"
"P",10258,"M","MEX",74.4,"Cultura"
"U",10259,"M","EXT",77.2,"Deportiva"
"U",10260,"M","MEX",81.7,"Ninguna"
"U",10261,"M","MEX",85,"Ninguna"
"U",10262,"F","MEX",87.5,"Deportiva"
"P",10263,"F","MEX",75.8,"Ninguna"
"P",10264,"F","MEX",84,"Cultura"
"P",10265,"M","MEX",77.6,"Ninguna"
"U",10266,"F","EXT",74,"Ninguna"
"U",10267,"O","MEX",84.7,"Cultura"
"U",10268,"M","MEX",86.5,"Cultura"
"U",10269,"F","MEX",82.3,"Deportiva"
"U",10270,"F","MEX",84.9,"Deportiva"
"U",10271,"O","MEX",81.7,"Ninguna"
"U",10272,"F","MEX",76.2,"Ninguna"
"U",10273,"F","MEX",81.3,"Deportiva"
"U",10274,"M","MEX",80.8,"Cultura"
"P",10275,"M","MEX",80.8,"Deportiva"
"P",10276,"M","MEX",83.4,"Cultura"
"U",10277,"M","MEX",75.8,"Ninguna"
"U",10278,"F","MEX",76.1,"Cultura"
"U",10279,"F","MEX",73.5,"Ninguna"
"P",10280,"M","EXT",81.5,"Cultura"
"U",10281,"M","MEX",81.5,"Cultura"
"U",10282,"O","MEX",73,"Deportiva"
"U",10283,"M","MEX",78.7,"Cultura"
"P",10284,"F","EXT",67.1,"Ninguna"
"U",10285,"F","MEX",77.7,"Deportiva"
"U",10286,"F","MEX",81,"Deportiva"
"P",10287,"F","MEX",79.2,"Ninguna"
"P",10288,"F","EXT",77.7,"Ninguna"
"P",10289,"F","EXT",83.2,"Ninguna"
"P",10290,"M","MEX",82.6,"Ninguna"
"P",10291,"F","MEX",82,"Cultura"
"U",10292,"M","MEX",78.2,"Ninguna"
"P",10293,"F","MEX",81.6,"Cultura"
"U",10294,"M","MEX",79.6,"Cultura"
"P",10295,"F","EXT",87.1,"Ninguna"
"U",10296,"M","EXT",91.5,"Ninguna"
"U",10297,"F","MEX",75.5,"Ninguna"
"U",10298,"F","MEX",79.4,"Ninguna"
"P",10299,"M","MEX",81.3,"Ninguna"
"U",10300,"M","EXT",79.6,"Deportiva"
"U",10301,"O","MEX",82.1,"Deportiva"
"P",10302,"M","MEX",77.4,"Cultura"
"P",10303,"F","MEX",84.7,"Cultura"
"U",10304,"M","MEX",79.5,"Ninguna"
"U",10305,"M","MEX",84.6,"Deportiva"
"U",10306,"M","MEX",84,"Ninguna"
"P",10307,"M","MEX",78.9,"Ninguna"
"P",10308,"O","MEX",80.4,"Ninguna"
"U",10309,"M","MEX",81.3,"Ninguna"
"U",10310,"M","EXT",89.9,"Ninguna"
"U",10311,"F","EXT",71.3,"Cultura"
"U",10312,"O","MEX",78.3,"Cultura"
"U",10313,"O","MEX",85.7,"Ninguna"
"P",10314,"M","MEX",72.8,"Ninguna"
"U",10315,"F","MEX",87.9,"Cultura"
"U",10316,"F","MEX",80,"Ninguna"
"U",10317,"F","EXT",82.3,"Ninguna"
"P",10318,"F","MEX",79,"Ninguna"
"P",10319,"F","MEX",86.2,"Cultura"
"U",10320,"F","MEX",80.3,"Ninguna"
"U",10321,"F","MEX",79.5,"Cultura"
"U",10322,"M","MEX",81.6,"Ninguna"
"U",10323,"F","MEX",79.3,"Ninguna"
"P",10324,"M","MEX",95.2,"Cultura"
"U",10325,"M","MEX",82.1,"Deportiva"
"P",10326,"F","MEX",77.7,"Cultura"
"U",10327,"M","MEX",80.4,"Ninguna"
"U",10328,"F","EXT",86.7,"Deportiva"
"U",10329,"M","MEX",79,"Ninguna"
"U",10330,"O","EXT",78.4,"Deportiva"
"P",10331,"M","MEX",74.7,"Deportiva"
"U",10332,"F","MEX",76.4,"Deportiva"
"P",10333,"F","MEX",77.5,"Deportiva"
"U",10334,"F","EXT",79.9,"Ninguna"
"P",10335,"F","MEX",78,"Cultura"
"U",10336,"F","MEX",76.7,"Ninguna"
"P",10337,"O","MEX",78.3,"Cultura"
"U",10338,"F","MEX",87,"Cultura"
"P",10339,"M","MEX",81.6,"Ninguna"
"P",10340,"M","MEX",78.7,"Ninguna"
"U",10341,"F","MEX",78.7,"Ninguna"
"U",10342,"M","EXT",78.8,"Ninguna"
"U",10343,"M","MEX",78.9,"Ninguna"
"U",10344,"F","MEX",71.4,"Cultura"
"U",10345,"F","MEX",80,"Cultura"
"U",10346,"F","MEX",79.4,"Ninguna"
"P",10347,"M","MEX",72.2,"Deportiva"
"P",10348,"F","MEX",76.6,"Cultura"
"U",10349,"M","MEX",76,"Deportiva"
"P",10350,"F","EXT",76.9,"Cultura"
"P",10351,"F","MEX",74.4,"Ninguna"
"P",10352,"F","MEX",79.2,"Deportiva"
"P",10353,"F","MEX",73.4,"Ninguna"
"U",10354,"M","MEX",87.8,"Ninguna"
"U",10355,"M","MEX",87.6,"Ninguna"
"U",10356,"M","MEX",79.2,"Ninguna"
"U",10357,"M","MEX",78.9,"Cultura"
"U",10358,"M","MEX",74.8,"Cultura"
"U",10359,"F","MEX",77.2,"Ninguna"
"U",10360,"M","EXT",78.9,"Ninguna"
"P",10361,"F","EXT",70,"Ninguna"
"U",10362,"M","MEX",78.8,"Ninguna"
"P",10363,"M","MEX",80.7,"Ninguna"
"U",10364,"F","MEX",66.3,"Cultura"
"P",10365,"F","MEX",73.2,"Ninguna"
"U",10366,"M","MEX",71.7,"Cultura"
"U",10367,"O","EXT",86.3,"Deportiva"
"U",10368,"M","MEX",74.1,"Cultura"
"P",10369,"M","MEX",76,"Deportiva"
"U",10370,"F","MEX",77.8,"Ninguna"
"U",10371,"M","EXT",73.2,"Cultura"
"U",10372,"F","MEX",80.2,"Ninguna"
"U",10373,"M","MEX",72.4,"Ninguna"
"U",10374,"M","EXT",81.1,"Ninguna"
"U",10375,"F","EXT",80.3,"Ninguna"
"P",10376,"M","MEX",90.2,"Cultura"
"U",10377,"O","MEX",80.8,"Cultura"
"P",10378,"F","MEX",84.5,"Deportiva"
"U",10379,"F","MEX",71.6,"Deportiva"
"U",10380,"F","MEX",74.6,"Cultura"
"U",10381,"M","MEX",76.7,"Ninguna"
"U",10382,"F","EXT",77.7,"Ninguna"
"U",10383,"M","EXT",87.9,"Ninguna"
"U",10384,"M","MEX",85.1,"Cultura"
"U",10385,"M","MEX",85.7,"Ninguna"
"U",10386,"O","MEX",82.9,"Cultura"
"U",10387,"F","MEX",78.5,"Ninguna"
"U",10388,"F","EXT",90,"Cultura"
"U",10389,"F","MEX",87.1,"Deportiva"
"U",10390,"F","MEX",84.8,"Ninguna"
"U",10391,"F","MEX",79.3,"Ninguna"
"P",10392,"M","MEX",85.3,"Ninguna"
"U",10393,"F","MEX",85.3,"Deportiva"
"U",10394,"M","EXT",86.3,"Deportiva"
"P",10395,"F","MEX",74,"Cultura"
"P",10396,"O","MEX",72.8,"Ninguna"
"P",10397,"M","MEX",77.3,"Ninguna"
"U",10398,"O","MEX",72.7,"Cultura"
"U",10399,"F","MEX",75.5,"Deportiva"
"U",10400,"M","MEX",87.1,"Cultura"
"U",10401,"M","MEX",76.4,"Deportiva"
"U",10402,"M","MEX",80.2,"Ninguna"
"U",10403,"F","MEX",83,"Cultura"
"P",10404,"F","MEX",76.5,"Ninguna"
"P",10405,"F","MEX",73.6,"Ninguna"
"U",10406,"M","MEX",84.1,"Ninguna"
"U",10407,"F","MEX",87.9,"Ninguna"
"U",10408,"F","MEX",80.4,"Ninguna"
"U",10409,"F","MEX",78.4,"Cultura"
"U",10410,"O","MEX",77.9,"Ninguna"
"U",10411,"M","EXT",84.2,"Cultura"
"U",10412,"F","EXT",72.4,"Deportiva"
"P",10413,"M","MEX",77.3,"Cultura"
"P",10414,"M","MEX",79,"Ninguna"
"U",10415,"F","MEX",86.2,"Deportiva"
"P",10416,"M","EXT",79.6,"Deportiva"
"P",10417,"F","MEX",82.2,"Ninguna"
"P",10418,"M","MEX",83,"Ninguna"
"U",10419,"F","EXT",87.4,"Ninguna"
"P",10420,"F","MEX",85.7,"Cultura"
"P",10421,"M","MEX",87.4,"Deportiva"
"P",10422,"M","MEX",78.7,"Cultura"
"U",10423,"F","MEX",72.8,"Ninguna"
"P",10424,"O","MEX",79.2,"Cultura"
"P",10425,"M","MEX",77.1,"Ninguna"
"P",10426,"F","MEX",76.8,"Cultura"
"U",10427,"M","MEX",73.5,"Deportiva"
"U",10428,"F","MEX",82,"Ninguna"
"U",10429,"M","MEX",81.1,"Cultura"
"U",10430,"F","EXT",81.8,"Deportiva"
"U",10431,"F","EXT",74.4,"Ninguna"
"U",10432,"M","MEX",77.8,"Ninguna"
"U",10433,"F","MEX",83.2,"Cultura"
"P",10434,"O","MEX",82.3,"Ninguna"
"U",10435,"O","MEX",82.1,"Cultura"
"U",10436,"F","MEX",93.5,"Cultura"
"U",10437,"F","MEX",81.1,"Ninguna"
"U",10438,"M","MEX",79.4,"Ninguna"
"U",10439,"O","MEX",78.5,"Ninguna"
"U",10440,"M","MEX",83.2,"Cultura"
"P",10441,"F","EXT",76.3,"Cultura"
"U",10442,"F","MEX",77.2,"Ninguna"
"U",10443,"M","EXT",77,"Ninguna"
"U",10444,"F","EXT",73.2,"Cultura"
"P",10445,"F","EXT",77.6,"Ninguna"
"U",10446,"F","MEX",84.3,"Deportiva"
"U",10447,"F","MEX",81.8,"Deportiva"
"P",10448,"M","MEX",72.3,"Ninguna"
"U",10449,"F","MEX",76.2,"Ninguna"
"U",10450,"F","MEX",81.8,"Cultura"
"P",10451,"M","MEX",83.5,"Ninguna"
"U",10452,"F","MEX",79.6,"Cultura"
"U",10453,"F","MEX",74.6,"Cultura"
"U",10454,"F","EXT",80.4,"Ninguna"
"P",10455,"F","MEX",70,"Ninguna"
"U",10456,"O","EXT",84.3,"Ninguna"
"U",10457,"M","EXT",83.4,"Ninguna"
"P",10458,"M","MEX",85.2,"Ninguna"
"U",10459,"M","MEX",81.8,"Cultura"
"P",10460,"M","MEX",77.1,"Ninguna"
"U",10461,"F","MEX",84.7,"Ninguna"
"U",10462,"M","MEX",84.2,"Deportiva"
"P",10463,"M","EXT",76.3,"Cultura"
"U",10464,"M","MEX",88.8,"Ninguna"
"U",10465,"F","MEX",78.2,"Ninguna"
"U",10466,"M","EXT",78.6,"Deportiva"
"U",10467,"F","MEX",81.1,"Ninguna"
"U",10468,"O","MEX",79.1,"Ninguna"
"U",10469,"F","MEX",78.6,"Deportiva"
"U",10470,"M","EXT",75.3,"Ninguna"
"P",10471,"F","MEX",85,"Cultura"
"P",10472,"M","MEX",76.7,"Ninguna"
"U",10473,"F","MEX",81.3,"Ninguna"
"U",10474,"F","MEX",88,"Cultura"
"P",10475,"M","MEX",80,"Cultura"
"P",10476,"M","MEX",79.6,"Ninguna"
"U",10477,"M","MEX",77.5,"Ninguna"
"U",10478,"M","MEX",74.6,"Cultura"
"U",10479,"M","MEX",76.4,"Cultura"
"U",10480,"M","MEX",68.6,"Cultura"
"U",10481,"O","MEX",81.3,"Cultura"
"U",10482,"F","MEX",80.1,"Cultura"
"U",10483,"F","MEX",79.4,"Ninguna"
"P",10484,"M","EXT",79,"Ninguna"
"P",10485,"F","MEX",83,"Ninguna"
"P",10486,"M","MEX",82,"Cultura"
"U",10487,"M","MEX",73.5,"Deportiva"
"P",10488,"F","MEX",86.4,"Cultura"
"P",10489,"M","MEX",73.4,"Deportiva"
"U",10490,"M","EXT",83.3,"Cultura"
"U",10491,"M","MEX",75.3,"Cultura"
"P",10492,"F","MEX",88.3,"Ninguna"
"P",10493,"O","MEX",79.6,"Ninguna"
"P",10494,"F","MEX",87.1,"Deportiva"
"U",10495,"M","MEX",84.5,"Deportiva"
"P",10496,"F","EXT",83.4,"Ninguna"
"U",10497,"M","MEX",83.9,"Deportiva"
"P",10498,"F","MEX",76.8,"Deportiva"
"U",10499,"F","MEX",83.9,"Ninguna"
"U",10500,"F","MEX",77.6,"Cultura"
"U",10501,"F","MEX",80.1,"Ninguna"
"U",10502,"M","EXT",82.8,"Cultura"
"U",10503,"M","MEX",76.9,"Cultura"
"U",10504,"F","MEX",79.6,"Ninguna"
"U",10505,"F","MEX",79.6,"Ninguna"
"P",10506,"F","MEX",80.8,"Cultura"
"P",10507,"M","EXT",81.3,"Deportiva"
"P",10508,"F","MEX",81.2,"Deportiva"
"P",10509,"F","MEX",74.6,"Cultura"
"P",10510,"F","MEX",81.9,"Deportiva"
"U",10511,"F","MEX",79.5,"Deportiva"
"U",10512,"O","EXT",83,"Ninguna"
"P",10513,"F","MEX",80.3,"Deportiva"
"P",10514,"M","MEX",71.8,"Deportiva"
"U",10515,"M","MEX",79,"Cultura"
"P",10516,"F","MEX",84.4,"Ninguna"
"U",10517,"F","EXT",80.4,"Deportiva"
"U",10518,"F","MEX",80.4,"Ninguna"
"U",10519,"F","MEX",81.6,"Cultura"
"U",10520,"F","MEX",83.3,"Ninguna"
"P",10521,"M","MEX",79.1,"Deportiva"
"U",10522,"F","MEX",77.4,"Ninguna"
"U",10523,"F","EXT",80.2,"Ninguna"
"U",10524,"M","MEX",85,"Ninguna"
"U",10525,"O","MEX",73.7,"Ninguna"
"U",10526,"F","MEX",88.9,"Cultura"
"U",10527,"F","MEX",79.3,"Cultura"
"U",10528,"M","MEX",91.6,"Deportiva"
"U",10529,"F","EXT",76.4,"Ninguna"
"U",10530,"M","MEX",75.4,"Deportiva"
"U",10531,"F","MEX",81.6,"Ninguna"
"P",10532,"O","MEX",85.6,"Deportiva"
"U",10533,"O","MEX",85.1,"Ninguna"
"P",10534,"O","MEX",75.3,"Deportiva"
"U",10535,"F","MEX",81.9,"Ninguna"
"U",10536,"O","MEX",78.7,"Deportiva"
"U",10537,"F","MEX",74.4,"Cultura"
"P",10538,"F","MEX",81.2,"Ninguna"
"U",10539,"F","EXT",73.7,"Cultura"
"U",10540,"M","EXT",73.4,"Ninguna"
"P",10541,"M","MEX",90.7,"Cultura"
"P",10542,"F","MEX",78.9,"Ninguna"
"U",10543,"M","MEX",76.3,"Cultura"
"P",10544,"M","MEX",78.8,"Ninguna"
"U",10545,"F","MEX",81,"Ninguna"
"P",10546,"M","MEX",78.2,"Deportiva"
"P",10547,"M","MEX",69.2,"Ninguna"
"U",10548,"M","MEX",82.7,"Deportiva"
"U",10549,"F","MEX",80,"Cultura"
"U",10550,"M","MEX",79.9,"Deportiva"
"U",10551,"O","EXT",72.4,"Deportiva"
"U",10552,"F","MEX",88.7,"Cultura"
"U",10553,"O","MEX",74.9,"Ninguna"
"U",10554,"O","EXT",83.3,"Cultura"
"U",10555,"F","MEX",86.1,"Ninguna"
"P",10556,"O","MEX",75.6,"Ninguna"
"U",10557,"M","MEX",82.5,"Ninguna"
"P",10558,"M","EXT",81.7,"Cultura"
"U",10559,"M","MEX",86.5,"Ninguna"
"U",10560,"O","MEX",71.4,"Ninguna"
"U",10561,"F","MEX",78.6,"Ninguna"
"P",10562,"F","MEX",80.1,"Ninguna"
"U",10563,"F","MEX",84.6,"Ninguna"
"U",10564,"M","MEX",85.1,"Ninguna"
"P",10565,"M","MEX",77.1,"Ninguna"
"P",10566,"F","MEX",78.3,"Deportiva"
"U",10567,"F","EXT",91.9,"Ninguna"
"U",10568,"O","MEX",79.9,"Cultura"
"U",10569,"O","MEX",81.3,"Ninguna"
