"Algo","generacion","tipo","numero","genero","nacionalidad","promedio","actividad","materias","altura","peso","IMC","costo_materia","colegiatura","status","carga_academica","beca","descuento","colegiatura_real"
"38",2020,"U",10038,"M","EXT",89.2,"Ninguna",5,161.6,72.7,27.84,150,750,"Regular","Menor carga","0%",1,750
"39",2020,"U",10039,"M","MEX",79.3,"Ninguna",6,167.5,70.8,25.24,150,900,"Regular","Carga regular","0%",1,900
"40",2020,"P",10040,"F","MEX",72,"Cultura",5,170.8,68.7,23.55,100,500,"Regular","Menor carga","0%",1,500
"41",2020,"P",10041,"F","MEX",79.9,"Deportiva",7,164.1,68.3,25.36,100,700,"Regular","Sobrecarga","0%",1,700
"42",2020,"U",10042,"M","MEX",82.1,"Cultura",6,167.9,71.2,25.26,150,900,"Regular","Carga regular","0%",1,900
"43",2020,"U",10043,"F","MEX",70.6,"Cultura",6,170.4,68,23.42,150,900,"Regular","Carga regular","0%",1,900
"44",2020,"U",10044,"F","MEX",74.2,"Ninguna",6,167,67.2,24.1,150,900,"Regular","Carga regular","0%",1,900
"45",2020,"U",10045,"M","MEX",79,"Ninguna",6,168.3,68.4,24.15,150,900,"Regular","Carga regular","0%",1,900
"46",2020,"U",10046,"F","MEX",75,"Deportiva",6,175.3,70.1,22.81,150,900,"Regular","Carga regular","0%",1,900
"47",2020,"U",10047,"M","MEX",84,"Deportiva",6,170.8,71.3,24.44,150,900,"Regular","Carga regular","0%",1,900
"48",2020,"P",10048,"O","EXT",79.7,"Cultura",5,168.7,70.9,24.91,100,500,"Regular","Menor carga","0%",1,500
"49",2020,"U",10049,"F","EXT",79.5,"Cultura",6,175.5,70.8,22.99,150,900,"Regular","Carga regular","0%",1,900
"50",2020,"P",10050,"M","MEX",69.3,"Cultura",5,171.9,67.8,22.94,100,500,"Bajo rendimiento","Menor carga","0%",1,500
"51",2020,"U",10051,"F","MEX",73,"Ninguna",7,168.6,69.4,24.41,150,1050,"Regular","Sobrecarga","0%",1,1050
"52",2020,"P",10052,"M","EXT",85,"Cultura",7,176.6,70.9,22.73,100,700,"Regular","Sobrecarga","50%",0.5,350
"53",2020,"U",10053,"O","MEX",73.5,"Ninguna",6,166.6,64.3,23.17,150,900,"Regular","Carga regular","0%",1,900
"54",2020,"U",10054,"M","MEX",80.9,"Ninguna",7,175.7,68.5,22.19,150,1050,"Regular","Sobrecarga","0%",1,1050
"55",2020,"P",10055,"F","MEX",78.3,"Cultura",5,164.1,71.7,26.63,100,500,"Regular","Menor carga","0%",1,500
"56",2020,"U",10056,"M","MEX",77.6,"Deportiva",7,171.2,72.8,24.84,150,1050,"Regular","Sobrecarga","0%",1,1050
"57",2020,"P",10057,"M","MEX",72.7,"Cultura",7,166.4,67.9,24.52,100,700,"Regular","Sobrecarga","0%",1,700
"58",2020,"P",10058,"F","MEX",77.8,"Cultura",7,171.8,72.7,24.63,100,700,"Regular","Sobrecarga","0%",1,700
"59",2020,"P",10059,"M","EXT",83.9,"Deportiva",5,173.8,70.3,23.27,100,500,"Regular","Menor carga","0%",1,500
"60",2020,"P",10060,"O","MEX",79.7,"Ninguna",5,171.3,69.5,23.68,100,500,"Regular","Menor carga","0%",1,500
"61",2020,"U",10061,"O","MEX",84.2,"Ninguna",5,165.7,73.4,26.73,150,750,"Regular","Menor carga","0%",1,750
"62",2020,"U",10062,"F","MEX",80.8,"Ninguna",7,171.7,70.1,23.78,150,1050,"Regular","Sobrecarga","0%",1,1050
"63",2020,"P",10063,"F","MEX",82.3,"Ninguna",7,170.2,75.6,26.1,100,700,"Regular","Sobrecarga","0%",1,700
"64",2020,"U",10064,"O","MEX",94.3,"Deportiva",6,171.6,71.3,24.21,150,900,"Regular","Carga regular","40%",0.6,540
"65",2020,"U",10065,"M","MEX",87.5,"Deportiva",6,166.5,72.5,26.15,150,900,"Regular","Carga regular","40%",0.6,540
"66",2020,"U",10066,"M","MEX",84,"Cultura",5,174.2,71.2,23.46,150,750,"Regular","Menor carga","0%",1,750
"67",2020,"U",10067,"F","MEX",81.4,"Deportiva",6,166.3,66,23.86,150,900,"Regular","Carga regular","0%",1,900
"68",2020,"P",10068,"F","MEX",85.2,"Ninguna",6,158.8,71.8,28.47,100,600,"Regular","Carga regular","0%",1,600
"69",2020,"U",10069,"F","EXT",82.6,"Ninguna",6,169.8,70.6,24.49,150,900,"Regular","Carga regular","0%",1,900
"70",2020,"U",10070,"O","MEX",84.6,"Ninguna",7,170.9,71,24.31,150,1050,"Regular","Sobrecarga","0%",1,1050
"71",2020,"U",10071,"M","MEX",79.6,"Ninguna",6,170.2,70,24.16,150,900,"Regular","Carga regular","0%",1,900
"72",2020,"U",10072,"F","MEX",80,"Deportiva",6,163.8,69.1,25.75,150,900,"Regular","Carga regular","0%",1,900
"73",2020,"P",10073,"F","MEX",79.4,"Cultura",6,167.2,72.6,25.97,100,600,"Regular","Carga regular","0%",1,600
"74",2020,"P",10074,"M","EXT",69.9,"Ninguna",5,166.9,71,25.49,100,500,"Bajo rendimiento","Menor carga","0%",1,500
"75",2020,"U",10075,"F","MEX",89.1,"Cultura",5,167.7,70.5,25.07,150,750,"Regular","Menor carga","50%",0.5,375
"76",2020,"U",10076,"M","MEX",71.2,"Ninguna",5,169.5,67.9,23.63,150,750,"Regular","Menor carga","0%",1,750
"77",2020,"U",10077,"O","MEX",86.8,"Ninguna",5,171,72.7,24.86,150,750,"Regular","Menor carga","0%",1,750
"78",2020,"P",10078,"F","MEX",75.3,"Ninguna",6,170.3,67.9,23.41,100,600,"Regular","Carga regular","0%",1,600
"79",2020,"P",10079,"F","MEX",77.7,"Deportiva",6,168.2,70.8,25.03,100,600,"Regular","Carga regular","0%",1,600
"80",2020,"U",10080,"F","EXT",85.7,"Ninguna",6,166.9,69.2,24.84,150,900,"Regular","Carga regular","0%",1,900
"81",2020,"U",10081,"M","EXT",75.5,"Cultura",6,169.8,70.8,24.56,150,900,"Regular","Carga regular","0%",1,900
"82",2020,"P",10082,"M","MEX",87.3,"Cultura",7,165.1,68.7,25.2,100,700,"Regular","Sobrecarga","50%",0.5,350
"83",2020,"P",10083,"F","EXT",70.5,"Cultura",6,173.5,65.6,21.79,100,600,"Regular","Carga regular","0%",1,600
"84",2020,"P",10084,"M","MEX",76.6,"Cultura",5,171.9,70.6,23.89,100,500,"Regular","Menor carga","0%",1,500
"85",2020,"P",10085,"M","MEX",79,"Cultura",7,165.9,71.7,26.05,100,700,"Regular","Sobrecarga","0%",1,700
"86",2020,"U",10086,"F","MEX",78,"Deportiva",7,169.7,68.2,23.68,150,1050,"Regular","Sobrecarga","0%",1,1050
"87",2020,"P",10087,"M","MEX",88.8,"Ninguna",6,165.5,73.3,26.76,100,600,"Regular","Carga regular","0%",1,600
"88",2020,"U",10088,"M","MEX",84.7,"Cultura",7,166.4,68.5,24.74,150,1050,"Regular","Sobrecarga","0%",1,1050
"89",2020,"U",10089,"F","MEX",82.4,"Ninguna",6,165.1,68.4,25.09,150,900,"Regular","Carga regular","0%",1,900
"90",2020,"P",10090,"M","MEX",67.7,"Ninguna",5,169.3,67.5,23.55,100,500,"Bajo rendimiento","Menor carga","0%",1,500
"91",2020,"U",10091,"M","MEX",81.8,"Cultura",6,171.3,70.6,24.06,150,900,"Regular","Carga regular","0%",1,900
"92",2020,"P",10092,"M","MEX",85,"Deportiva",5,164.6,69.8,25.76,100,500,"Regular","Menor carga","40%",0.6,300
"93",2020,"U",10093,"F","EXT",82.2,"Cultura",7,171.2,69.6,23.75,150,1050,"Regular","Sobrecarga","0%",1,1050
"94",2020,"U",10094,"F","MEX",79.8,"Cultura",6,167.5,71.1,25.34,150,900,"Regular","Carga regular","0%",1,900
"95",2020,"U",10095,"O","MEX",78.2,"Cultura",5,168.2,69.1,24.42,150,750,"Regular","Menor carga","0%",1,750
"96",2020,"P",10096,"M","MEX",77.4,"Cultura",5,170.7,71.5,24.54,100,500,"Regular","Menor carga","0%",1,500
"97",2020,"P",10097,"F","EXT",79.8,"Ninguna",7,172.5,71.1,23.89,100,700,"Regular","Sobrecarga","0%",1,700
"98",2020,"U",10098,"M","MEX",86.8,"Cultura",6,173.8,67.7,22.41,150,900,"Regular","Carga regular","50%",0.5,450
"99",2020,"P",10099,"F","MEX",82.6,"Deportiva",7,175.1,66.1,21.56,100,700,"Regular","Sobrecarga","0%",1,700
"100",2020,"P",10100,"F","MEX",86.9,"Cultura",6,169.6,74.3,25.83,100,600,"Regular","Carga regular","50%",0.5,300
"101",2020,"U",10101,"M","MEX",84.1,"Deportiva",6,169.6,69.3,24.09,150,900,"Regular","Carga regular","0%",1,900
"102",2020,"U",10102,"F","EXT",80.2,"Ninguna",7,170.6,68.8,23.64,150,1050,"Regular","Sobrecarga","0%",1,1050
"103",2020,"P",10103,"M","EXT",77.2,"Ninguna",7,165.2,67.7,24.81,100,700,"Regular","Sobrecarga","0%",1,700
"104",2020,"U",10104,"M","MEX",83.7,"Deportiva",6,170.7,69.7,23.92,150,900,"Regular","Carga regular","0%",1,900
"105",2020,"U",10105,"F","MEX",85.3,"Cultura",7,170.8,69.8,23.93,150,1050,"Regular","Sobrecarga","50%",0.5,525
"106",2020,"U",10106,"M","MEX",75.8,"Cultura",5,167.9,69.2,24.55,150,750,"Regular","Menor carga","0%",1,750
"107",2020,"U",10107,"M","EXT",86.2,"Ninguna",5,164.8,66.4,24.45,150,750,"Regular","Menor carga","0%",1,750
"108",2020,"U",10108,"F","MEX",73.4,"Deportiva",5,167.2,69.3,24.79,150,750,"Regular","Menor carga","0%",1,750
"109",2020,"P",10109,"F","MEX",74.9,"Cultura",5,166,71.3,25.87,100,500,"Regular","Menor carga","0%",1,500
"110",2020,"U",10110,"M","MEX",72.2,"Ninguna",6,174.4,69.8,22.95,150,900,"Regular","Carga regular","0%",1,900
"111",2020,"P",10111,"M","MEX",74.1,"Ninguna",7,172.4,69.6,23.42,100,700,"Regular","Sobrecarga","0%",1,700
"112",2020,"P",10112,"O","MEX",81.6,"Ninguna",5,168,71.8,25.44,100,500,"Regular","Menor carga","0%",1,500
"113",2020,"P",10113,"O","EXT",86.5,"Cultura",7,169.1,68.4,23.92,100,700,"Regular","Sobrecarga","50%",0.5,350
"114",2020,"U",10114,"F","EXT",78.5,"Ninguna",6,169.4,69.5,24.22,150,900,"Regular","Carga regular","0%",1,900
"115",2020,"U",10115,"M","MEX",80.7,"Cultura",7,169.4,71.8,25.02,150,1050,"Regular","Sobrecarga","0%",1,1050
"116",2020,"U",10116,"F","EXT",86.6,"Ninguna",7,166.5,67.7,24.42,150,1050,"Regular","Sobrecarga","0%",1,1050
"117",2020,"U",10117,"M","MEX",83.2,"Ninguna",6,175.5,70.4,22.86,150,900,"Regular","Carga regular","0%",1,900
"118",2020,"U",10118,"M","EXT",86.6,"Ninguna",7,168.6,67.7,23.82,150,1050,"Regular","Sobrecarga","0%",1,1050
"119",2020,"U",10119,"M","MEX",76.1,"Cultura",7,173.9,72.6,24.01,150,1050,"Regular","Sobrecarga","0%",1,1050
"120",2020,"P",10120,"F","MEX",82.3,"Deportiva",6,170.7,71.3,24.47,100,600,"Regular","Carga regular","0%",1,600
"121",2020,"U",10121,"F","MEX",73.3,"Ninguna",6,173.1,66.6,22.23,150,900,"Regular","Carga regular","0%",1,900
"122",2020,"U",10122,"M","MEX",82.6,"Deportiva",5,165.9,73,26.52,150,750,"Regular","Menor carga","0%",1,750
"123",2020,"U",10123,"F","MEX",82.3,"Cultura",6,173.7,71.8,23.8,150,900,"Regular","Carga regular","0%",1,900
"124",2020,"U",10124,"F","EXT",75.5,"Cultura",6,166.7,72.2,25.98,150,900,"Regular","Carga regular","0%",1,900
"125",2020,"P",10125,"F","MEX",90.3,"Ninguna",6,169.2,76.3,26.65,100,600,"Regular","Carga regular","0%",1,600
"126",2020,"U",10126,"M","MEX",80.8,"Ninguna",6,172.4,70.1,23.59,150,900,"Regular","Carga regular","0%",1,900
"127",2020,"P",10127,"M","MEX",87.2,"Ninguna",6,167.1,72.8,26.07,100,600,"Regular","Carga regular","0%",1,600
"128",2020,"U",10128,"M","EXT",78.7,"Ninguna",7,165.4,70.6,25.81,150,1050,"Regular","Sobrecarga","0%",1,1050
"129",2020,"P",10129,"F","MEX",78.8,"Cultura",6,167.7,70.7,25.14,100,600,"Regular","Carga regular","0%",1,600
"130",2020,"U",10130,"M","MEX",78.1,"Ninguna",6,168.2,70.3,24.85,150,900,"Regular","Carga regular","0%",1,900
"131",2020,"U",10131,"M","MEX",82.9,"Ninguna",6,165.7,72.1,26.26,150,900,"Regular","Carga regular","0%",1,900
"132",2020,"U",10132,"F","MEX",78.5,"Cultura",6,171.3,72.2,24.6,150,900,"Regular","Carga regular","0%",1,900
"133",2020,"U",10133,"M","MEX",84.9,"Cultura",5,172.5,68.9,23.15,150,750,"Regular","Menor carga","0%",1,750
"134",2020,"P",10134,"M","MEX",75.6,"Cultura",5,169.3,68.6,23.93,100,500,"Regular","Menor carga","0%",1,500
"135",2020,"U",10135,"M","MEX",75.3,"Ninguna",7,166.1,70.6,25.59,150,1050,"Regular","Sobrecarga","0%",1,1050
"136",2020,"P",10136,"F","MEX",77.8,"Ninguna",7,171.9,68.3,23.11,100,700,"Regular","Sobrecarga","0%",1,700
"137",2020,"U",10137,"F","MEX",86.4,"Cultura",5,172.8,68.3,22.87,150,750,"Regular","Menor carga","50%",0.5,375
"138",2020,"U",10138,"M","MEX",79.2,"Ninguna",5,173.6,68.7,22.8,150,750,"Regular","Menor carga","0%",1,750
"139",2020,"P",10139,"M","MEX",69.8,"Cultura",6,169.2,68.7,24,100,600,"Bajo rendimiento","Carga regular","0%",1,600
"140",2020,"P",10140,"M","MEX",85.8,"Ninguna",7,170.8,70.4,24.13,100,700,"Regular","Sobrecarga","0%",1,700
"141",2020,"P",10141,"M","MEX",77.8,"Cultura",6,178.2,69.7,21.95,100,600,"Regular","Carga regular","0%",1,600
"142",2020,"P",10142,"F","MEX",82.6,"Ninguna",6,169.4,69,24.04,100,600,"Regular","Carga regular","0%",1,600
"143",2020,"P",10143,"F","MEX",97.6,"Ninguna",5,168.5,67.4,23.74,100,500,"Regular","Menor carga","0%",1,500
"144",2020,"P",10144,"M","MEX",84.2,"Ninguna",6,166.6,68.6,24.72,100,600,"Regular","Carga regular","0%",1,600
"145",2020,"P",10145,"M","MEX",80.6,"Ninguna",7,170.2,69.7,24.06,100,700,"Regular","Sobrecarga","0%",1,700
"146",2020,"P",10146,"F","EXT",86.3,"Deportiva",7,168.5,68.5,24.13,100,700,"Regular","Sobrecarga","40%",0.6,420
"147",2020,"U",10147,"F","MEX",77,"Ninguna",7,171.6,69.6,23.64,150,1050,"Regular","Sobrecarga","0%",1,1050
"148",2020,"P",10148,"F","MEX",75.2,"Ninguna",5,162.3,67.5,25.63,100,500,"Regular","Menor carga","0%",1,500
"149",2020,"U",10149,"M","MEX",82.4,"Ninguna",6,165.1,71.7,26.3,150,900,"Regular","Carga regular","0%",1,900
"150",2020,"U",10150,"M","MEX",86.2,"Cultura",6,176.9,70.9,22.66,150,900,"Regular","Carga regular","50%",0.5,450
"151",2020,"U",10151,"M","MEX",79.3,"Cultura",5,171.2,71.3,24.33,150,750,"Regular","Menor carga","0%",1,750
"152",2020,"P",10152,"M","MEX",87.4,"Ninguna",6,170,68.6,23.74,100,600,"Regular","Carga regular","0%",1,600
"153",2020,"U",10153,"F","MEX",84.2,"Ninguna",7,176.3,71.5,23,150,1050,"Regular","Sobrecarga","0%",1,1050
"154",2020,"U",10154,"M","MEX",84.4,"Ninguna",5,167.9,74.3,26.36,150,750,"Regular","Menor carga","0%",1,750
"155",2020,"U",10155,"F","MEX",83.1,"Cultura",6,170.6,71.8,24.67,150,900,"Regular","Carga regular","0%",1,900
"156",2020,"P",10156,"F","MEX",84,"Cultura",7,168.6,73.8,25.96,100,700,"Regular","Sobrecarga","0%",1,700
"157",2020,"P",10157,"F","MEX",78,"Ninguna",5,166,67.3,24.42,100,500,"Regular","Menor carga","0%",1,500
"158",2020,"U",10158,"F","MEX",82.4,"Deportiva",7,172.1,69.6,23.5,150,1050,"Regular","Sobrecarga","0%",1,1050
"159",2020,"U",10159,"M","MEX",80.3,"Ninguna",5,171.8,74.3,25.17,150,750,"Regular","Menor carga","0%",1,750
"160",2020,"P",10160,"M","EXT",74,"Cultura",7,172.3,71.6,24.12,100,700,"Regular","Sobrecarga","0%",1,700
"161",2020,"P",10161,"F","MEX",86.2,"Deportiva",7,169.1,70,24.48,100,700,"Regular","Sobrecarga","40%",0.6,420
"162",2020,"U",10162,"F","MEX",78.4,"Ninguna",5,169.8,67.6,23.45,150,750,"Regular","Menor carga","0%",1,750
"163",2020,"P",10163,"M","MEX",75.8,"Cultura",6,173.4,68.6,22.82,100,600,"Regular","Carga regular","0%",1,600
"164",2020,"U",10164,"F","MEX",86.3,"Ninguna",5,171,68.9,23.56,150,750,"Regular","Menor carga","0%",1,750
"165",2020,"U",10165,"M","MEX",77,"Cultura",6,172.7,72.4,24.27,150,900,"Regular","Carga regular","0%",1,900
"166",2020,"P",10166,"M","MEX",74.9,"Ninguna",7,169.5,69.8,24.29,100,700,"Regular","Sobrecarga","0%",1,700
"167",2020,"U",10167,"F","EXT",79.6,"Cultura",6,161,71.6,27.62,150,900,"Regular","Carga regular","0%",1,900
"168",2020,"U",10168,"M","MEX",83.4,"Ninguna",7,165.8,71.5,26.01,150,1050,"Regular","Sobrecarga","0%",1,1050
"169",2020,"U",10169,"F","MEX",68.6,"Ninguna",5,170.4,68.8,23.69,150,750,"Bajo rendimiento","Menor carga","0%",1,750
"170",2020,"U",10170,"F","MEX",79.4,"Ninguna",5,170.1,69.7,24.09,150,750,"Regular","Menor carga","0%",1,750
"171",2020,"P",10171,"F","EXT",76.7,"Deportiva",5,175.1,69.3,22.6,100,500,"Regular","Menor carga","0%",1,500
"172",2020,"P",10172,"F","MEX",80.3,"Deportiva",7,165.9,70.9,25.76,100,700,"Regular","Sobrecarga","0%",1,700
"173",2020,"P",10173,"F","MEX",76.2,"Deportiva",7,172.3,68.3,23.01,100,700,"Regular","Sobrecarga","0%",1,700
"174",2020,"U",10174,"O","MEX",78.2,"Ninguna",6,164.4,69.8,25.83,150,900,"Regular","Carga regular","0%",1,900
"175",2020,"U",10175,"F","MEX",86.1,"Ninguna",6,177.1,66.3,21.14,150,900,"Regular","Carga regular","0%",1,900
"176",2020,"P",10176,"F","EXT",75.9,"Ninguna",6,172.3,68.5,23.07,100,600,"Regular","Carga regular","0%",1,600
"177",2020,"U",10177,"M","MEX",85.2,"Ninguna",6,175.2,70,22.8,150,900,"Regular","Carga regular","0%",1,900
"178",2020,"P",10178,"M","EXT",80.4,"Deportiva",5,173.5,70.5,23.42,100,500,"Regular","Menor carga","0%",1,500
"179",2020,"P",10179,"F","MEX",75.2,"Deportiva",6,173.8,70.9,23.47,100,600,"Regular","Carga regular","0%",1,600
"180",2020,"U",10180,"F","MEX",73.5,"Ninguna",6,166,68,24.68,150,900,"Regular","Carga regular","0%",1,900
"181",2020,"U",10181,"F","MEX",80.4,"Deportiva",6,162.8,68.9,26,150,900,"Regular","Carga regular","0%",1,900
"182",2020,"P",10182,"M","EXT",89.1,"Ninguna",5,172.9,70.5,23.58,100,500,"Regular","Menor carga","0%",1,500
"183",2020,"P",10183,"M","MEX",79.3,"Cultura",6,172,73,24.68,100,600,"Regular","Carga regular","0%",1,600
"184",2020,"P",10184,"O","MEX",87.5,"Ninguna",6,170.6,71.7,24.64,100,600,"Regular","Carga regular","0%",1,600
"185",2020,"P",10185,"F","MEX",77.2,"Deportiva",6,162.2,67.7,25.73,100,600,"Regular","Carga regular","0%",1,600
"186",2020,"U",10186,"M","MEX",78.2,"Ninguna",6,169.4,68.8,23.98,150,900,"Regular","Carga regular","0%",1,900
"187",2020,"U",10187,"F","EXT",87.9,"Ninguna",6,172,69.7,23.56,150,900,"Regular","Carga regular","0%",1,900
"188",2020,"U",10188,"O","MEX",79.6,"Ninguna",6,171.1,65.1,22.24,150,900,"Regular","Carga regular","0%",1,900
"189",2020,"U",10189,"M","EXT",80.5,"Deportiva",6,174.4,68.8,22.62,150,900,"Regular","Carga regular","0%",1,900
"190",2020,"U",10190,"F","MEX",73.6,"Ninguna",6,165.4,69.6,25.44,150,900,"Regular","Carga regular","0%",1,900
"191",2020,"P",10191,"M","MEX",77.8,"Ninguna",6,172.1,72.9,24.61,100,600,"Regular","Carga regular","0%",1,600
"192",2020,"U",10192,"M","MEX",82.6,"Deportiva",6,165.2,73.6,26.97,150,900,"Regular","Carga regular","0%",1,900
"193",2020,"P",10193,"M","MEX",82.3,"Cultura",5,168.4,72.2,25.46,100,500,"Regular","Menor carga","0%",1,500
"194",2020,"P",10194,"F","MEX",69.6,"Deportiva",6,170.4,67.5,23.25,100,600,"Bajo rendimiento","Carga regular","0%",1,600
"195",2020,"P",10195,"F","MEX",81.5,"Ninguna",7,173,69.6,23.26,100,700,"Regular","Sobrecarga","0%",1,700
"196",2020,"U",10196,"M","MEX",85.7,"Deportiva",7,172.7,71.6,24.01,150,1050,"Regular","Sobrecarga","40%",0.6,630
"197",2020,"P",10197,"F","MEX",85.9,"Deportiva",6,161.2,67.7,26.05,100,600,"Regular","Carga regular","40%",0.6,360
"198",2020,"U",10198,"M","MEX",78,"Ninguna",6,170.8,68.5,23.48,150,900,"Regular","Carga regular","0%",1,900
"199",2020,"P",10199,"M","MEX",83.4,"Ninguna",7,170.1,70.3,24.3,100,700,"Regular","Sobrecarga","0%",1,700
"200",2020,"U",10200,"M","MEX",82.8,"Ninguna",5,172.2,71.4,24.08,150,750,"Regular","Menor carga","0%",1,750
"201",2020,"U",10201,"M","MEX",84.1,"Ninguna",6,166.5,71.5,25.79,150,900,"Regular","Carga regular","0%",1,900
"202",2020,"P",10202,"M","MEX",80.4,"Ninguna",6,165.7,71.4,26,100,600,"Regular","Carga regular","0%",1,600
"203",2020,"U",10203,"M","MEX",72.7,"Cultura",7,167.9,69.2,24.55,150,1050,"Regular","Sobrecarga","0%",1,1050
"204",2020,"U",10204,"F","MEX",84.6,"Ninguna",5,172.7,69.7,23.37,150,750,"Regular","Menor carga","0%",1,750
"205",2020,"U",10205,"F","MEX",80.9,"Deportiva",6,168.6,72.9,25.65,150,900,"Regular","Carga regular","0%",1,900
"206",2020,"P",10206,"F","MEX",83.2,"Ninguna",6,173.2,65.8,21.93,100,600,"Regular","Carga regular","0%",1,600
"207",2020,"P",10207,"O","MEX",80.5,"Ninguna",7,167.4,70.5,25.16,100,700,"Regular","Sobrecarga","0%",1,700
"208",2020,"U",10208,"M","EXT",85.9,"Deportiva",7,170.4,65.5,22.56,150,1050,"Regular","Sobrecarga","40%",0.6,630
