generacion,tipo,numero,genero,nacionalidad,promedio,actividad,materias,altura,peso
2020,P,10211,F,MEX,78.7,Deportiva,6,NA,NA
2020,U,10212,M,MEX,81.9,Cultura,6,NA,NA
2020,U,10213,F,EXT,75.1,Ninguna,6,NA,NA
2020,P,10214,M,MEX,80,Deportiva,6,NA,NA
2020,P,10215,F,MEX,75.7,Ninguna,7,NA,NA
2020,P,10216,F,MEX,79.5,Cultura,7,NA,NA
2020,U,10217,F,EXT,78.7,Deportiva,7,NA,NA
2020,U,10218,F,MEX,78.8,Deportiva,6,NA,NA
2020,P,10219,M,MEX,76.3,Ninguna,6,NA,NA
2020,U,10220,F,MEX,79.2,Cultura,6,NA,NA
2020,U,10221,M,MEX,89.8,Ninguna,6,NA,NA
2020,U,10222,M,MEX,77.1,Ninguna,7,NA,NA
2020,P,10223,M,EXT,77.6,Cultura,5,NA,NA
2020,U,10224,F,MEX,76.3,Ninguna,6,NA,NA
2020,U,10225,F,EXT,89.1,Ninguna,6,NA,NA
2020,U,10226,F,MEX,85.8,Deportiva,7,NA,NA
2020,U,10227,M,MEX,86,Cultura,6,NA,NA
2020,U,10228,M,MEX,76,Ninguna,6,NA,NA
2020,U,10229,M,MEX,85.4,Ninguna,6,NA,NA
2020,U,10230,M,MEX,73.2,Ninguna,5,NA,NA
2020,U,10231,M,MEX,79.9,Cultura,6,NA,NA
2020,P,10232,M,MEX,82.8,Ninguna,7,NA,NA
2020,U,10233,F,MEX,92.4,Deportiva,5,NA,NA
2020,U,10234,F,MEX,79.9,Cultura,6,NA,NA
2020,U,10235,F,MEX,75.1,Ninguna,5,NA,NA
2020,U,10236,F,MEX,83.4,Ninguna,6,NA,NA
2020,U,10237,M,EXT,74.5,Cultura,6,NA,NA
2020,U,10238,M,MEX,80,Cultura,6,NA,NA
2020,U,10239,F,MEX,82.1,Deportiva,5,NA,NA
2020,P,10240,F,MEX,74.2,Ninguna,6,NA,NA
2020,U,10241,F,MEX,86.8,Cultura,6,NA,NA
2020,P,10242,M,MEX,84.8,Deportiva,6,NA,NA
2020,P,10243,O,EXT,70.5,Deportiva,5,NA,NA
2020,U,10244,F,MEX,78.7,Deportiva,5,NA,NA
2020,P,10245,M,MEX,86.5,Ninguna,6,NA,NA
2020,P,10246,M,MEX,79.1,Cultura,7,NA,NA
2020,P,10247,M,MEX,81.5,Ninguna,6,NA,NA
2020,U,10248,M,MEX,79.3,Deportiva,5,NA,NA
2020,U,10249,F,MEX,80,Ninguna,6,NA,NA
2020,U,10250,F,MEX,83.9,Cultura,6,NA,NA
2020,U,10251,F,MEX,75.8,Cultura,5,NA,NA
2020,U,10252,F,EXT,85.8,Ninguna,6,NA,NA
2020,U,10253,F,MEX,68,Ninguna,5,NA,NA
2020,P,10254,M,MEX,81.1,Cultura,7,NA,NA
2020,U,10255,M,MEX,81.4,Cultura,6,NA,NA
2020,U,10256,M,EXT,86.1,Ninguna,5,NA,NA
2020,P,10257,M,MEX,85.5,Deportiva,5,NA,NA
2020,P,10258,M,MEX,74.4,Cultura,7,NA,NA
2020,U,10259,M,EXT,77.2,Deportiva,5,NA,NA
2020,U,10260,M,MEX,81.7,Ninguna,5,NA,NA
2020,U,10261,M,MEX,85,Ninguna,5,NA,NA
2020,U,10262,F,MEX,87.5,Deportiva,5,NA,NA
2020,P,10263,F,MEX,75.8,Ninguna,7,NA,NA
2020,P,10264,F,MEX,84,Cultura,6,NA,NA
2020,P,10265,M,MEX,77.6,Ninguna,6,NA,NA
2020,U,10266,F,EXT,74,Ninguna,5,NA,NA
2020,U,10267,O,MEX,84.7,Cultura,7,NA,NA
2020,U,10268,M,MEX,86.5,Cultura,7,NA,NA
2020,U,10269,F,MEX,82.3,Deportiva,5,NA,NA
2020,U,10270,F,MEX,84.9,Deportiva,6,NA,NA
2020,U,10271,O,MEX,81.7,Ninguna,5,NA,NA
2020,U,10272,F,MEX,76.2,Ninguna,6,NA,NA
2020,U,10273,F,MEX,81.3,Deportiva,7,NA,NA
2020,U,10274,M,MEX,80.8,Cultura,6,NA,NA
2020,P,10275,M,MEX,80.8,Deportiva,6,NA,NA
2020,P,10276,M,MEX,83.4,Cultura,6,NA,NA
2020,U,10277,M,MEX,75.8,Ninguna,5,NA,NA
2020,U,10278,F,MEX,76.1,Cultura,6,NA,NA
2020,U,10279,F,MEX,73.5,Ninguna,7,NA,NA
2020,P,10280,M,EXT,81.5,Cultura,5,NA,NA
2020,U,10281,M,MEX,81.5,Cultura,7,NA,NA
2020,U,10282,O,MEX,73,Deportiva,6,NA,NA
2020,U,10283,M,MEX,78.7,Cultura,6,NA,NA
2020,P,10284,F,EXT,67.1,Ninguna,6,NA,NA
2020,U,10285,F,MEX,77.7,Deportiva,6,NA,NA
2020,U,10286,F,MEX,81,Deportiva,6,NA,NA
2020,P,10287,F,MEX,79.2,Ninguna,6,NA,NA
2020,P,10288,F,EXT,77.7,Ninguna,6,NA,NA
2020,P,10289,F,EXT,83.2,Ninguna,7,NA,NA
2020,P,10290,M,MEX,82.6,Ninguna,7,NA,NA
2020,P,10291,F,MEX,82,Cultura,7,NA,NA
2020,U,10292,M,MEX,78.2,Ninguna,6,NA,NA
2020,P,10293,F,MEX,81.6,Cultura,7,NA,NA
2020,U,10294,M,MEX,79.6,Cultura,6,NA,NA
2020,P,10295,F,EXT,87.1,Ninguna,5,NA,NA
2020,U,10296,M,EXT,91.5,Ninguna,5,NA,NA
2020,U,10297,F,MEX,75.5,Ninguna,6,NA,NA
2020,U,10298,F,MEX,79.4,Ninguna,6,NA,NA
2020,P,10299,M,MEX,81.3,Ninguna,5,NA,NA
2020,U,10300,M,EXT,79.6,Deportiva,6,NA,NA
2020,U,10301,O,MEX,82.1,Deportiva,5,NA,NA
2020,P,10302,M,MEX,77.4,Cultura,7,NA,NA
2020,P,10303,F,MEX,84.7,Cultura,6,NA,NA
2020,U,10304,M,MEX,79.5,Ninguna,5,NA,NA
2020,U,10305,M,MEX,84.6,Deportiva,7,NA,NA
2020,U,10306,M,MEX,84,Ninguna,7,NA,NA
2020,P,10307,M,MEX,78.9,Ninguna,7,NA,NA
2020,P,10308,O,MEX,80.4,Ninguna,6,NA,NA
2020,U,10309,M,MEX,81.3,Ninguna,7,NA,NA
2020,U,10310,M,EXT,89.9,Ninguna,5,NA,NA
2020,U,10311,F,EXT,71.3,Cultura,6,NA,NA
2020,U,10312,O,MEX,78.3,Cultura,7,NA,NA
2020,U,10313,O,MEX,85.7,Ninguna,5,NA,NA
2020,P,10314,M,MEX,72.8,Ninguna,5,NA,NA
2020,U,10315,F,MEX,87.9,Cultura,6,NA,NA
2020,U,10316,F,MEX,80,Ninguna,7,NA,NA
2020,U,10317,F,EXT,82.3,Ninguna,5,NA,NA
2020,P,10318,F,MEX,79,Ninguna,6,NA,NA
2020,P,10319,F,MEX,86.2,Cultura,6,NA,NA
2020,U,10320,F,MEX,80.3,Ninguna,5,NA,NA
2020,U,10321,F,MEX,79.5,Cultura,6,NA,NA
2020,U,10322,M,MEX,81.6,Ninguna,6,NA,NA
2020,U,10323,F,MEX,79.3,Ninguna,5,NA,NA
2020,P,10324,M,MEX,95.2,Cultura,6,NA,NA
2020,U,10325,M,MEX,82.1,Deportiva,5,NA,NA
2020,P,10326,F,MEX,77.7,Cultura,6,NA,NA
2020,U,10327,M,MEX,80.4,Ninguna,6,NA,NA
2020,U,10328,F,EXT,86.7,Deportiva,6,NA,NA
2020,U,10329,M,MEX,79,Ninguna,5,NA,NA
2020,U,10330,O,EXT,78.4,Deportiva,7,NA,NA
2020,P,10331,M,MEX,74.7,Deportiva,5,NA,NA
2020,U,10332,F,MEX,76.4,Deportiva,6,NA,NA
2020,P,10333,F,MEX,77.5,Deportiva,7,NA,NA
2020,U,10334,F,EXT,79.9,Ninguna,5,NA,NA
2020,P,10335,F,MEX,78,Cultura,7,NA,NA
2020,U,10336,F,MEX,76.7,Ninguna,6,NA,NA
2020,P,10337,O,MEX,78.3,Cultura,5,NA,NA
2020,U,10338,F,MEX,87,Cultura,6,NA,NA
2020,P,10339,M,MEX,81.6,Ninguna,7,NA,NA
2020,P,10340,M,MEX,78.7,Ninguna,6,NA,NA
2020,U,10341,F,MEX,78.7,Ninguna,7,NA,NA
2020,U,10342,M,EXT,78.8,Ninguna,6,NA,NA
2020,U,10343,M,MEX,78.9,Ninguna,5,NA,NA
2020,U,10344,F,MEX,71.4,Cultura,5,NA,NA
2020,U,10345,F,MEX,80,Cultura,5,NA,NA
2020,U,10346,F,MEX,79.4,Ninguna,5,NA,NA
2020,P,10347,M,MEX,72.2,Deportiva,5,NA,NA
2020,P,10348,F,MEX,76.6,Cultura,7,NA,NA
2020,U,10349,M,MEX,76,Deportiva,6,NA,NA
2020,P,10350,F,EXT,76.9,Cultura,6,NA,NA
2020,P,10351,F,MEX,74.4,Ninguna,5,NA,NA
2020,P,10352,F,MEX,79.2,Deportiva,6,NA,NA
2020,P,10353,F,MEX,73.4,Ninguna,7,NA,NA
2020,U,10354,M,MEX,87.8,Ninguna,6,NA,NA
2020,U,10355,M,MEX,87.6,Ninguna,6,NA,NA
2020,U,10356,M,MEX,79.2,Ninguna,6,NA,NA
2020,U,10357,M,MEX,78.9,Cultura,6,NA,NA
2020,U,10358,M,MEX,74.8,Cultura,7,NA,NA
2020,U,10359,F,MEX,77.2,Ninguna,5,NA,NA
2020,U,10360,M,EXT,78.9,Ninguna,6,NA,NA
2020,P,10361,F,EXT,70,Ninguna,6,NA,NA
2020,U,10362,M,MEX,78.8,Ninguna,5,NA,NA
2020,P,10363,M,MEX,80.7,Ninguna,6,NA,NA
2020,U,10364,F,MEX,66.3,Cultura,5,NA,NA
2020,P,10365,F,MEX,73.2,Ninguna,6,NA,NA
2020,U,10366,M,MEX,71.7,Cultura,5,NA,NA
2020,U,10367,O,EXT,86.3,Deportiva,5,NA,NA
2020,U,10368,M,MEX,74.1,Cultura,6,NA,NA
2020,P,10369,M,MEX,76,Deportiva,5,NA,NA
2020,U,10370,F,MEX,77.8,Ninguna,7,NA,NA
2020,U,10371,M,EXT,73.2,Cultura,6,NA,NA
2020,U,10372,F,MEX,80.2,Ninguna,6,NA,NA
2020,U,10373,M,MEX,72.4,Ninguna,5,NA,NA
2020,U,10374,M,EXT,81.1,Ninguna,7,NA,NA
2020,U,10375,F,EXT,80.3,Ninguna,7,NA,NA
2020,P,10376,M,MEX,90.2,Cultura,5,NA,NA
2020,U,10377,O,MEX,80.8,Cultura,7,NA,NA
2020,P,10378,F,MEX,84.5,Deportiva,6,NA,NA
2020,U,10379,F,MEX,71.6,Deportiva,6,NA,NA
2020,U,10380,F,MEX,74.6,Cultura,5,NA,NA
2020,U,10381,M,MEX,76.7,Ninguna,6,NA,NA
2020,U,10382,F,EXT,77.7,Ninguna,7,NA,NA
2020,U,10383,M,EXT,87.9,Ninguna,7,NA,NA
2020,U,10384,M,MEX,85.1,Cultura,5,NA,NA
2020,U,10385,M,MEX,85.7,Ninguna,5,NA,NA
2020,U,10386,O,MEX,82.9,Cultura,6,NA,NA
2020,U,10387,F,MEX,78.5,Ninguna,7,NA,NA
2020,U,10388,F,EXT,90,Cultura,5,NA,NA
2020,U,10389,F,MEX,87.1,Deportiva,7,NA,NA
2020,U,10390,F,MEX,84.8,Ninguna,5,NA,NA
2020,U,10391,F,MEX,79.3,Ninguna,7,NA,NA
2020,P,10392,M,MEX,85.3,Ninguna,6,NA,NA
2020,U,10393,F,MEX,85.3,Deportiva,6,NA,NA
2020,U,10394,M,EXT,86.3,Deportiva,6,NA,NA
2020,P,10395,F,MEX,74,Cultura,6,NA,NA
2020,P,10396,O,MEX,72.8,Ninguna,5,NA,NA
2020,P,10397,M,MEX,77.3,Ninguna,6,NA,NA
2020,U,10398,O,MEX,72.7,Cultura,6,NA,NA
2020,U,10399,F,MEX,75.5,Deportiva,6,NA,NA
2020,U,10400,M,MEX,87.1,Cultura,6,NA,NA
2020,U,10401,M,MEX,76.4,Deportiva,7,NA,NA
2020,U,10402,M,MEX,80.2,Ninguna,6,NA,NA
2020,U,10403,F,MEX,83,Cultura,6,NA,NA
2020,P,10404,F,MEX,76.5,Ninguna,6,NA,NA
2020,P,10405,F,MEX,73.6,Ninguna,7,NA,NA
2020,U,10406,M,MEX,84.1,Ninguna,6,NA,NA
2020,U,10407,F,MEX,87.9,Ninguna,7,NA,NA
2020,U,10408,F,MEX,80.4,Ninguna,5,NA,NA
2020,U,10409,F,MEX,78.4,Cultura,6,NA,NA
2020,U,10410,O,MEX,77.9,Ninguna,6,NA,NA
2020,U,10411,M,EXT,84.2,Cultura,5,NA,NA
2020,U,10412,F,EXT,72.4,Deportiva,6,NA,NA
2020,P,10413,M,MEX,77.3,Cultura,6,NA,NA
2020,P,10414,M,MEX,79,Ninguna,5,NA,NA
2020,U,10415,F,MEX,86.2,Deportiva,6,NA,NA
2020,P,10416,M,EXT,79.6,Deportiva,5,NA,NA
2020,P,10417,F,MEX,82.2,Ninguna,6,NA,NA
2020,P,10418,M,MEX,83,Ninguna,5,NA,NA
2020,U,10419,F,EXT,87.4,Ninguna,7,NA,NA
2020,P,10420,F,MEX,85.7,Cultura,6,NA,NA
2020,P,10421,M,MEX,87.4,Deportiva,6,NA,NA
2020,P,10422,M,MEX,78.7,Cultura,6,NA,NA
2020,U,10423,F,MEX,72.8,Ninguna,5,NA,NA
2020,P,10424,O,MEX,79.2,Cultura,5,NA,NA
2020,P,10425,M,MEX,77.1,Ninguna,5,NA,NA
2020,P,10426,F,MEX,76.8,Cultura,5,NA,NA
2020,U,10427,M,MEX,73.5,Deportiva,7,NA,NA
2020,U,10428,F,MEX,82,Ninguna,5,NA,NA
2020,U,10429,M,MEX,81.1,Cultura,6,NA,NA
2020,U,10430,F,EXT,81.8,Deportiva,7,NA,NA
2020,U,10431,F,EXT,74.4,Ninguna,6,NA,NA
2020,U,10432,M,MEX,77.8,Ninguna,6,NA,NA
2020,U,10433,F,MEX,83.2,Cultura,6,NA,NA
2020,P,10434,O,MEX,82.3,Ninguna,6,NA,NA
2020,U,10435,O,MEX,82.1,Cultura,5,NA,NA
2020,U,10436,F,MEX,93.5,Cultura,7,NA,NA
2020,U,10437,F,MEX,81.1,Ninguna,5,NA,NA
2020,U,10438,M,MEX,79.4,Ninguna,6,NA,NA
2020,U,10439,O,MEX,78.5,Ninguna,6,NA,NA
2020,U,10440,M,MEX,83.2,Cultura,6,NA,NA
2020,P,10441,F,EXT,76.3,Cultura,5,NA,NA
2020,U,10442,F,MEX,77.2,Ninguna,6,NA,NA
