"tipo","numero","genero","nacionalidad","promedio","actividad"
"U",11581,"F","MEX",81.5,"Cultura"
"U",11582,"O","MEX",83.6,"Cultura"
"U",11583,"M","EXT",79.2,"Deportiva"
"U",11584,"O","MEX",83.4,"Cultura"
"P",11585,"M","MEX",73.2,"Deportiva"
"U",11586,"F","EXT",85.4,"Ninguna"
"P",11587,"M","MEX",80.9,"Deportiva"
"P",11588,"M","EXT",83.5,"Ninguna"
"P",11589,"M","MEX",73.7,"Ninguna"
"P",11590,"F","MEX",77.5,"Ninguna"
"U",11591,"M","EXT",72.4,"Ninguna"
"U",11592,"M","EXT",70,"Cultura"
"U",11593,"M","MEX",74.5,"Ninguna"
"P",11594,"F","EXT",75.6,"Cultura"
"U",11595,"M","EXT",86.2,"Ninguna"
"U",11596,"O","MEX",72.1,"Ninguna"
"U",11597,"F","MEX",76.8,"Cultura"
"P",11598,"F","MEX",84.1,"Deportiva"
"U",11599,"O","EXT",77.8,"Ninguna"
"U",11600,"O","MEX",82.1,"Deportiva"
"U",11601,"O","MEX",82.6,"Deportiva"
"U",11602,"M","MEX",83.8,"Ninguna"
"P",11603,"M","EXT",69.8,"Cultura"
"U",11604,"O","MEX",79.3,"Deportiva"
"U",11605,"M","EXT",85.8,"Cultura"
"U",11606,"F","MEX",78.4,"Cultura"
"U",11607,"O","EXT",83.8,"Deportiva"
"P",11608,"F","MEX",81.7,"Ninguna"
"P",11609,"F","EXT",86.3,"Cultura"
"P",11610,"M","EXT",72.1,"Deportiva"
"P",11611,"F","MEX",75.6,"Ninguna"
"U",11612,"M","MEX",71.8,"Deportiva"
"P",11613,"F","MEX",80.4,"Ninguna"
"U",11614,"O","MEX",78.9,"Cultura"
"P",11615,"F","MEX",77.2,"Cultura"
"U",11616,"F","MEX",68.2,"Ninguna"
"P",11617,"M","MEX",76.9,"Ninguna"
"U",11618,"F","MEX",86.9,"Ninguna"
"U",11619,"M","EXT",84.6,"Deportiva"
"U",11620,"M","MEX",79.9,"Ninguna"
"P",11621,"O","MEX",83.8,"Cultura"
"P",11622,"M","MEX",77.2,"Ninguna"
"U",11623,"F","MEX",81.8,"Cultura"
"U",11624,"O","EXT",80.6,"Cultura"
"U",11625,"M","MEX",79.4,"Cultura"
"P",11626,"O","MEX",81.1,"Ninguna"
"U",11627,"M","EXT",74.7,"Cultura"
"P",11628,"F","EXT",82.1,"Cultura"
"P",11629,"M","MEX",83.7,"Cultura"
"U",11630,"F","MEX",84.5,"Ninguna"
"U",11631,"O","EXT",78.2,"Cultura"
"P",11632,"F","MEX",80.5,"Ninguna"
"U",11633,"O","MEX",68.4,"Deportiva"
"U",11634,"F","MEX",85.4,"Cultura"
"P",11635,"F","EXT",76,"Ninguna"
"P",11636,"F","EXT",85.7,"Cultura"
"U",11637,"O","MEX",75.5,"Ninguna"
"U",11638,"F","MEX",73.1,"Deportiva"
"U",11639,"F","MEX",83.5,"Ninguna"
"P",11640,"F","EXT",75.6,"Ninguna"
"U",11641,"O","MEX",82.2,"Ninguna"
"P",11642,"F","MEX",92.6,"Cultura"
"U",11643,"F","EXT",80.9,"Ninguna"
"U",11644,"F","EXT",81,"Deportiva"
"P",11645,"M","EXT",80.5,"Deportiva"
"P",11646,"F","MEX",75.6,"Ninguna"
"U",11647,"F","MEX",88.6,"Ninguna"
"U",11648,"O","MEX",79.8,"Ninguna"
"U",11649,"O","MEX",79.1,"Cultura"
"P",11650,"O","EXT",80,"Deportiva"
"U",11651,"M","MEX",82.3,"Ninguna"
"P",11652,"M","EXT",79.1,"Ninguna"
"U",11653,"M","MEX",79.9,"Cultura"
"U",11654,"M","EXT",77.3,"Deportiva"
"U",11655,"M","MEX",79.7,"Deportiva"
"U",11656,"F","MEX",77.9,"Deportiva"
"P",11657,"M","MEX",75.4,"Ninguna"
"P",11658,"F","MEX",82.3,"Deportiva"
"U",11659,"O","EXT",76.4,"Ninguna"
"P",11660,"O","MEX",88.9,"Ninguna"
"U",11661,"F","EXT",78.5,"Cultura"
"P",11662,"F","EXT",78.7,"Ninguna"
"U",11663,"M","MEX",83.2,"Ninguna"
"U",11664,"M","MEX",86.3,"Deportiva"
"P",11665,"O","EXT",75.2,"Cultura"
"U",11666,"M","EXT",83.7,"Ninguna"
"U",11667,"M","EXT",80.7,"Cultura"
"P",11668,"F","EXT",80.9,"Ninguna"
"P",11669,"M","MEX",87.1,"Ninguna"
"U",11670,"F","MEX",93.8,"Cultura"
"P",11671,"M","EXT",91.2,"Deportiva"
"P",11672,"F","MEX",87.6,"Cultura"
"U",11673,"M","MEX",78,"Deportiva"
"P",11674,"F","EXT",80,"Cultura"
"P",11675,"M","EXT",86.6,"Cultura"
"P",11676,"F","MEX",78.4,"Ninguna"
"U",11677,"F","EXT",78.1,"Ninguna"
"P",11678,"M","MEX",80.6,"Cultura"
"P",11679,"O","MEX",73.4,"Cultura"
"U",11680,"F","EXT",85,"Cultura"
"U",11681,"O","MEX",73.2,"Cultura"
"U",11682,"F","MEX",72.4,"Cultura"
"U",11683,"F","MEX",85.5,"Cultura"
"P",11684,"F","MEX",78.6,"Cultura"
"U",11685,"F","MEX",71.1,"Deportiva"
"U",11686,"O","MEX",78,"Ninguna"
"P",11687,"O","MEX",80.4,"Deportiva"
"P",11688,"F","EXT",71.2,"Deportiva"
"P",11689,"M","EXT",85.8,"Cultura"
"P",11690,"O","EXT",82,"Cultura"
"U",11691,"O","EXT",85.2,"Deportiva"
"P",11692,"O","MEX",83.1,"Cultura"
"P",11693,"M","MEX",82.7,"Deportiva"
"U",11694,"O","EXT",78.1,"Deportiva"
"U",11695,"F","MEX",82.8,"Cultura"
"U",11696,"F","EXT",74.6,"Deportiva"
"U",11697,"F","MEX",73.5,"Cultura"
"P",11698,"O","EXT",77.3,"Ninguna"
"U",11699,"F","MEX",73.5,"Ninguna"
"P",11700,"F","MEX",77.7,"Deportiva"
"P",11701,"O","EXT",84.2,"Cultura"
"U",11702,"M","MEX",83.2,"Ninguna"
"U",11703,"M","MEX",79.4,"Ninguna"
"U",11704,"F","MEX",71.1,"Cultura"
"P",11705,"M","MEX",87,"Deportiva"
"P",11706,"M","MEX",85.4,"Ninguna"
"U",11707,"M","MEX",78.1,"Ninguna"
"P",11708,"O","MEX",80.7,"Ninguna"
"U",11709,"O","MEX",88.6,"Cultura"
"U",11710,"F","MEX",80.6,"Ninguna"
"P",11711,"O","EXT",81.1,"Ninguna"
"P",11712,"F","MEX",82.7,"Deportiva"
"P",11713,"M","EXT",82.8,"Cultura"
"P",11714,"F","MEX",75.8,"Deportiva"
"P",11715,"M","MEX",78,"Ninguna"
"U",11716,"F","MEX",84.2,"Ninguna"
"U",11717,"O","EXT",78.1,"Deportiva"
"U",11718,"M","MEX",83.4,"Deportiva"
"U",11719,"F","EXT",73,"Cultura"
"U",11720,"O","MEX",77.7,"Ninguna"
"P",11721,"O","MEX",73.1,"Cultura"
"P",11722,"M","MEX",82.4,"Cultura"
"P",11723,"M","EXT",86.8,"Deportiva"
"U",11724,"F","MEX",84.8,"Cultura"
"P",11725,"F","EXT",81.8,"Ninguna"
"U",11726,"F","EXT",80.6,"Ninguna"
"U",11727,"M","EXT",76.8,"Ninguna"
"P",11728,"O","MEX",80.5,"Cultura"
"P",11729,"F","EXT",79.6,"Deportiva"
"U",11730,"F","MEX",77.2,"Cultura"
"U",11731,"M","MEX",75.9,"Deportiva"
"P",11732,"M","EXT",78.4,"Cultura"
"U",11733,"F","MEX",79,"Cultura"
"U",11734,"M","MEX",80.3,"Ninguna"
"P",11735,"F","MEX",84.3,"Cultura"
"U",11736,"F","MEX",80.5,"Cultura"
"P",11737,"F","MEX",74.7,"Ninguna"
"U",11738,"F","MEX",80.7,"Deportiva"
"U",11739,"F","MEX",76.2,"Ninguna"
"P",11740,"F","MEX",79.1,"Cultura"
"U",11741,"M","MEX",80.8,"Cultura"
"U",11742,"F","EXT",82.7,"Cultura"
"P",11743,"M","MEX",86.2,"Deportiva"
"U",11744,"F","EXT",72.9,"Ninguna"
"U",11745,"M","MEX",88.1,"Ninguna"
"U",11746,"F","MEX",87.4,"Cultura"
"U",11747,"M","MEX",84.8,"Cultura"
"P",11748,"F","EXT",78,"Deportiva"
"U",11749,"M","MEX",84.2,"Ninguna"
"P",11750,"M","EXT",83.5,"Cultura"
"U",11751,"O","EXT",80.5,"Cultura"
"P",11752,"O","EXT",80.6,"Deportiva"
"P",11753,"M","MEX",90.3,"Cultura"
"U",11754,"O","EXT",85.1,"Cultura"
"U",11755,"M","MEX",82.3,"Ninguna"
"U",11756,"F","MEX",71.2,"Deportiva"
"U",11757,"F","MEX",85.6,"Ninguna"
"U",11758,"F","MEX",82.3,"Deportiva"
"P",11759,"M","MEX",79.7,"Cultura"
"P",11760,"F","MEX",71.9,"Ninguna"
"U",11761,"F","MEX",74.2,"Ninguna"
"U",11762,"F","EXT",78.5,"Deportiva"
"P",11763,"M","MEX",75.4,"Deportiva"
"P",11764,"M","EXT",78.6,"Cultura"
"U",11765,"F","EXT",74.3,"Ninguna"
"P",11766,"M","MEX",73.1,"Deportiva"
"U",11767,"F","MEX",78.1,"Cultura"
"P",11768,"F","EXT",85.1,"Deportiva"
"U",11769,"O","MEX",76.1,"Ninguna"
"U",11770,"M","MEX",81.6,"Deportiva"
"U",11771,"F","MEX",83.6,"Deportiva"
"U",11772,"M","MEX",84.8,"Deportiva"
"P",11773,"F","MEX",81.3,"Deportiva"
"P",11774,"F","EXT",77.6,"Ninguna"
"U",11775,"O","EXT",83.5,"Cultura"
"U",11776,"M","MEX",81.1,"Ninguna"
"P",11777,"F","MEX",87.3,"Ninguna"
"U",11778,"M","MEX",86.6,"Ninguna"
"P",11779,"M","MEX",86.4,"Ninguna"
"P",11780,"M","MEX",87.9,"Deportiva"
"U",11781,"F","MEX",84.1,"Cultura"
"U",11782,"M","MEX",78,"Deportiva"
"U",11783,"F","EXT",77.2,"Deportiva"
"P",11784,"M","MEX",86.3,"Cultura"
"U",11785,"O","MEX",79.3,"Cultura"
"U",11786,"O","MEX",80.1,"Cultura"
"P",11787,"F","MEX",77.4,"Deportiva"
"P",11788,"F","MEX",82.2,"Ninguna"
"P",11789,"F","MEX",76.6,"Cultura"
"U",11790,"F","MEX",84.4,"Ninguna"
"U",11791,"M","MEX",93.2,"Ninguna"
"P",11792,"F","EXT",70.7,"Ninguna"
"P",11793,"F","MEX",84.8,"Deportiva"
"U",11794,"F","MEX",73.9,"Deportiva"
"P",11795,"F","MEX",72.5,"Ninguna"
"P",11796,"O","MEX",76.6,"Deportiva"
"U",11797,"O","MEX",74.7,"Cultura"
"P",11798,"F","MEX",75.6,"Ninguna"
"P",11799,"F","MEX",79.5,"Deportiva"
"P",11800,"M","EXT",76.3,"Cultura"
"U",11801,"O","MEX",67.8,"Ninguna"
"P",11802,"F","MEX",78.2,"Deportiva"
"U",11803,"M","MEX",74.4,"Ninguna"
"U",11804,"M","EXT",79.3,"Cultura"
"P",11805,"M","EXT",80.8,"Ninguna"
"P",11806,"O","MEX",79.5,"Cultura"
"P",11807,"F","MEX",72,"Deportiva"
"U",11808,"M","MEX",79.3,"Deportiva"
"P",11809,"F","MEX",76.3,"Cultura"
"P",11810,"M","MEX",87.1,"Cultura"
"U",11811,"F","EXT",70.1,"Deportiva"
"P",11812,"F","MEX",78.3,"Ninguna"
"U",11813,"F","MEX",73,"Deportiva"
"U",11814,"F","MEX",91.6,"Cultura"
"P",11815,"F","EXT",78,"Ninguna"
"P",11816,"M","MEX",69.7,"Deportiva"
"P",11817,"F","MEX",67.7,"Cultura"
"P",11818,"F","EXT",72.7,"Cultura"
"P",11819,"F","MEX",83.4,"Deportiva"
"U",11820,"O","EXT",80.8,"Deportiva"
"P",11821,"F","MEX",76.7,"Cultura"
"P",11822,"F","EXT",73.2,"Cultura"
"P",11823,"F","MEX",80.5,"Cultura"
"P",11824,"M","MEX",81.5,"Ninguna"
"P",11825,"O","EXT",81.3,"Ninguna"
"U",11826,"F","MEX",87.6,"Deportiva"
"U",11827,"F","MEX",84.1,"Cultura"
"U",11828,"O","MEX",75.6,"Ninguna"
"U",11829,"F","MEX",78.9,"Cultura"
"P",11830,"F","MEX",86.2,"Ninguna"
"P",11831,"F","MEX",77.3,"Ninguna"
"U",11832,"M","EXT",81.6,"Ninguna"
"U",11833,"F","MEX",80.1,"Ninguna"
"U",11834,"F","EXT",74.6,"Cultura"
"P",11835,"O","MEX",90,"Ninguna"
"P",11836,"F","MEX",80.9,"Deportiva"
"P",11837,"F","MEX",82.7,"Ninguna"
"U",11838,"M","MEX",78.5,"Deportiva"
"U",11839,"M","MEX",84.1,"Ninguna"
"P",11840,"M","MEX",90.8,"Cultura"
"U",11841,"O","MEX",79.5,"Ninguna"
"P",11842,"F","EXT",70,"Cultura"
"P",11843,"F","MEX",74.5,"Ninguna"
"U",11844,"F","MEX",82.6,"Ninguna"
"U",11845,"M","MEX",83.9,"Ninguna"
"P",11846,"F","EXT",80.2,"Cultura"
"U",11847,"F","EXT",75.6,"Deportiva"
"P",11848,"M","MEX",72.5,"Ninguna"
"U",11849,"F","MEX",78.7,"Cultura"
"U",11850,"F","MEX",84,"Ninguna"
"U",11851,"F","MEX",85,"Deportiva"
"U",11852,"F","MEX",75.4,"Deportiva"
"U",11853,"O","MEX",81,"Ninguna"
"U",11854,"F","EXT",74.2,"Cultura"
"U",11855,"F","MEX",74.6,"Ninguna"
"U",11856,"O","MEX",81.3,"Ninguna"
"U",11857,"O","EXT",75.1,"Ninguna"
"U",11858,"M","EXT",75.6,"Cultura"
"U",11859,"M","MEX",89.4,"Cultura"
"U",11860,"O","MEX",83,"Ninguna"
"P",11861,"O","EXT",81.3,"Ninguna"
"U",11862,"M","EXT",89.1,"Cultura"
"P",11863,"O","MEX",78.5,"Deportiva"
"P",11864,"F","MEX",81.1,"Cultura"
"P",11865,"M","MEX",74.4,"Ninguna"
"P",11866,"F","MEX",81.8,"Cultura"
"U",11867,"M","MEX",74.4,"Deportiva"
"P",11868,"F","MEX",76.5,"Cultura"
"U",11869,"M","MEX",80.1,"Cultura"
"U",11870,"F","MEX",85.6,"Cultura"
"P",11871,"M","MEX",82.1,"Cultura"
"U",11872,"O","MEX",90.7,"Deportiva"
"U",11873,"O","MEX",82.7,"Ninguna"
"U",11874,"F","EXT",79.4,"Cultura"
"P",11875,"O","EXT",80.5,"Cultura"
"U",11876,"F","MEX",71,"Ninguna"
"U",11877,"O","MEX",71.4,"Cultura"
"U",11878,"F","MEX",89.3,"Deportiva"
"U",11879,"M","MEX",82.5,"Ninguna"
"P",11880,"F","MEX",70.9,"Cultura"
"P",11881,"F","MEX",72.8,"Ninguna"
"P",11882,"M","EXT",78.3,"Ninguna"
"U",11883,"O","MEX",86.9,"Ninguna"
"U",11884,"M","MEX",87.4,"Deportiva"
"P",11885,"M","EXT",80.6,"Ninguna"
"U",11886,"M","EXT",81.9,"Ninguna"
"U",11887,"O","EXT",78.5,"Cultura"
"U",11888,"M","MEX",75,"Ninguna"
"U",11889,"O","MEX",70.8,"Ninguna"
"U",11890,"M","MEX",87,"Cultura"
"U",11891,"F","MEX",81.5,"Ninguna"
"P",11892,"F","MEX",84.9,"Deportiva"
"U",11893,"O","EXT",74.5,"Deportiva"
"P",11894,"F","EXT",77.8,"Cultura"
"U",11895,"O","MEX",81.6,"Ninguna"
"U",11896,"M","MEX",75.7,"Deportiva"
"U",11897,"M","EXT",83.4,"Cultura"
"U",11898,"O","MEX",79,"Ninguna"
"P",11899,"M","EXT",83.9,"Ninguna"
"P",11900,"F","EXT",88.7,"Cultura"
"U",11901,"M","MEX",82.5,"Cultura"
"U",11902,"F","MEX",81.7,"Ninguna"
"U",11903,"O","MEX",82.6,"Deportiva"
"U",11904,"M","MEX",80.1,"Ninguna"
"U",11905,"F","MEX",69.9,"Deportiva"
"U",11906,"M","MEX",86.4,"Cultura"
"U",11907,"M","MEX",86.7,"Deportiva"
"P",11908,"M","EXT",84.1,"Ninguna"
"U",11909,"O","EXT",78.8,"Cultura"
"U",11910,"M","EXT",87.4,"Deportiva"
"U",11911,"O","EXT",80.3,"Cultura"
"P",11912,"F","MEX",77.6,"Ninguna"
"P",11913,"O","MEX",82.1,"Cultura"
"P",11914,"O","MEX",80.1,"Ninguna"
"P",11915,"F","MEX",77.1,"Cultura"
"P",11916,"F","MEX",76.9,"Cultura"
"U",11917,"O","MEX",85,"Ninguna"
"P",11918,"F","EXT",73.9,"Cultura"
"U",11919,"F","MEX",79.3,"Ninguna"
"P",11920,"M","MEX",77.9,"Cultura"
"P",11921,"F","MEX",82.2,"Cultura"
"U",11922,"F","MEX",77.6,"Cultura"
"U",11923,"F","MEX",71.8,"Ninguna"
"U",11924,"M","MEX",76.9,"Ninguna"
"U",11925,"F","EXT",92.6,"Ninguna"
"P",11926,"F","MEX",82.1,"Deportiva"
"U",11927,"M","EXT",81.4,"Ninguna"
"P",11928,"F","EXT",80.5,"Cultura"
"P",11929,"F","EXT",75,"Ninguna"
"P",11930,"O","MEX",76.2,"Deportiva"
"U",11931,"O","MEX",87.9,"Cultura"
"U",11932,"F","EXT",82.7,"Deportiva"
"U",11933,"O","MEX",86.8,"Cultura"
"U",11934,"M","EXT",73.4,"Ninguna"
"P",11935,"F","MEX",78.6,"Ninguna"
"U",11936,"F","EXT",82.6,"Deportiva"
"P",11937,"O","EXT",83.5,"Ninguna"
"P",11938,"F","MEX",77.4,"Deportiva"
"U",11939,"F","MEX",75.9,"Cultura"
"P",11940,"M","EXT",78.2,"Ninguna"
"U",11941,"M","MEX",85.8,"Cultura"
"P",11942,"M","EXT",90.1,"Cultura"
"U",11943,"F","MEX",79.5,"Cultura"
"U",11944,"F","MEX",85,"Cultura"
"U",11945,"O","MEX",74,"Ninguna"
"P",11946,"O","EXT",80.9,"Ninguna"
"P",11947,"O","EXT",68.6,"Ninguna"
"P",11948,"O","MEX",75.6,"Cultura"
"P",11949,"M","EXT",79.3,"Cultura"
"U",11950,"M","MEX",87.7,"Cultura"
"P",11951,"F","MEX",81.7,"Ninguna"
"P",11952,"O","MEX",77.3,"Cultura"
"P",11953,"F","MEX",76,"Deportiva"
"P",11954,"M","MEX",83.2,"Ninguna"
"U",11955,"F","EXT",82.6,"Deportiva"
"U",11956,"F","EXT",75.8,"Ninguna"
"P",11957,"M","EXT",88.2,"Ninguna"
"U",11958,"O","MEX",86.1,"Ninguna"
"P",11959,"M","MEX",81.4,"Ninguna"
"U",11960,"F","MEX",83.9,"Deportiva"
"U",11961,"F","EXT",83.8,"Cultura"
"U",11962,"O","MEX",84.8,"Cultura"
"U",11963,"O","MEX",79.2,"Deportiva"
"U",11964,"O","EXT",83.4,"Ninguna"
"P",11965,"F","MEX",83.6,"Cultura"
"U",11966,"F","EXT",79,"Ninguna"
"P",11967,"F","MEX",79.9,"Deportiva"
"P",11968,"F","MEX",73.5,"Cultura"
"U",11969,"F","MEX",77.8,"Cultura"
"P",11970,"O","EXT",82.8,"Ninguna"
"U",11971,"M","MEX",81.9,"Ninguna"
"U",11972,"F","EXT",85.5,"Ninguna"
"U",11973,"O","MEX",74.5,"Deportiva"
"P",11974,"F","MEX",73.9,"Cultura"
"U",11975,"F","MEX",78.5,"Ninguna"
"U",11976,"F","MEX",73,"Cultura"
"U",11977,"F","MEX",70.5,"Ninguna"
"P",11978,"M","MEX",88.5,"Cultura"
"P",11979,"M","MEX",88.6,"Deportiva"
"P",11980,"O","EXT",79.8,"Ninguna"
"U",11981,"F","EXT",79.8,"Cultura"
"U",11982,"F","MEX",92.3,"Ninguna"
"U",11983,"M","MEX",68.7,"Ninguna"
"P",11984,"F","MEX",85.7,"Deportiva"
"P",11985,"M","EXT",83.3,"Ninguna"
"P",11986,"M","EXT",76.6,"Cultura"
"P",11987,"M","EXT",77.7,"Ninguna"
"P",11988,"O","MEX",76.7,"Deportiva"
"U",11989,"M","EXT",74.4,"Deportiva"
"U",11990,"M","MEX",83.1,"Ninguna"
"P",11991,"F","EXT",78.5,"Cultura"
"P",11992,"M","MEX",83.7,"Cultura"
"P",11993,"F","MEX",76,"Ninguna"
"U",11994,"M","MEX",81.6,"Cultura"
"U",11995,"M","EXT",77,"Ninguna"
"U",11996,"M","MEX",84.9,"Ninguna"
"P",11997,"M","EXT",81.9,"Ninguna"
"U",11998,"F","MEX",78.4,"Ninguna"
"P",11999,"O","MEX",74.1,"Cultura"
"U",12000,"M","MEX",91.4,"Ninguna"
"P",12001,"O","MEX",77.1,"Deportiva"
"U",12002,"F","MEX",73.6,"Cultura"
"P",12003,"O","MEX",78,"Ninguna"
"U",12004,"F","MEX",81.7,"Ninguna"
"P",12005,"F","MEX",84.5,"Ninguna"
"P",12006,"O","MEX",71.9,"Deportiva"
"P",12007,"F","MEX",79.1,"Cultura"
"P",12008,"M","MEX",77,"Cultura"
"U",12009,"F","MEX",75.7,"Deportiva"
"P",12010,"M","MEX",73,"Ninguna"
"P",12011,"F","MEX",71.4,"Deportiva"
"U",12012,"O","MEX",84.6,"Ninguna"
"P",12013,"M","MEX",80.7,"Deportiva"
"P",12014,"M","MEX",79,"Ninguna"
"U",12015,"M","MEX",75.2,"Deportiva"
"U",12016,"F","MEX",86,"Cultura"
"P",12017,"F","MEX",87.4,"Deportiva"
"U",12018,"F","EXT",85,"Ninguna"
"U",12019,"M","EXT",83.1,"Cultura"
"U",12020,"F","EXT",84.4,"Cultura"
"P",12021,"F","MEX",83.3,"Deportiva"
"P",12022,"F","MEX",77.8,"Cultura"
"P",12023,"M","MEX",82,"Cultura"
"U",12024,"F","MEX",88,"Cultura"
"U",12025,"F","MEX",87.1,"Cultura"
"U",12026,"F","MEX",82,"Deportiva"
"P",12027,"O","MEX",77.1,"Ninguna"
"P",12028,"M","MEX",77.4,"Ninguna"
"U",12029,"F","EXT",83,"Cultura"
"U",12030,"O","MEX",74,"Deportiva"
"U",12031,"F","EXT",71,"Ninguna"
"P",12032,"F","MEX",74,"Cultura"
"U",12033,"F","EXT",84.5,"Deportiva"
"U",12034,"F","MEX",85.2,"Ninguna"
"U",12035,"O","EXT",78.8,"Ninguna"
"P",12036,"M","EXT",76.2,"Ninguna"
"P",12037,"O","MEX",83.5,"Deportiva"
"P",12038,"M","MEX",79.9,"Ninguna"
"P",12039,"O","MEX",84.5,"Cultura"
"U",12040,"M","MEX",78.1,"Deportiva"
"P",12041,"M","MEX",66.9,"Deportiva"
"P",12042,"M","MEX",76.8,"Ninguna"
"U",12043,"F","EXT",74.3,"Ninguna"
"U",12044,"M","EXT",77.2,"Ninguna"
"U",12045,"M","MEX",77.2,"Ninguna"
"U",12046,"F","EXT",89.3,"Deportiva"
"P",12047,"F","MEX",88,"Ninguna"
"U",12048,"F","MEX",75.7,"Cultura"
"U",12049,"M","EXT",72.7,"Deportiva"
"U",12050,"M","MEX",81,"Ninguna"
"U",12051,"F","MEX",81.4,"Ninguna"
"U",12052,"M","EXT",76.9,"Ninguna"
"U",12053,"M","MEX",83.6,"Cultura"
"U",12054,"F","MEX",82.3,"Cultura"
"P",12055,"O","MEX",69.5,"Cultura"
"U",12056,"O","MEX",83,"Ninguna"
"U",12057,"F","MEX",72.8,"Ninguna"
"P",12058,"M","MEX",76.7,"Cultura"
"U",12059,"M","MEX",86,"Deportiva"
"U",12060,"O","MEX",79.9,"Cultura"
"U",12061,"M","EXT",79.1,"Ninguna"
"U",12062,"M","EXT",84.4,"Cultura"
"U",12063,"M","EXT",77.4,"Ninguna"
"P",12064,"F","MEX",82.3,"Ninguna"
"P",12065,"M","EXT",91.1,"Cultura"
"P",12066,"M","MEX",78.3,"Cultura"
"U",12067,"F","MEX",74.1,"Ninguna"
"P",12068,"O","EXT",79.3,"Deportiva"
"U",12069,"M","MEX",78.3,"Ninguna"
"P",12070,"F","EXT",82.5,"Cultura"
