"Deporte","Disciplina","Evento","Medalla","Genero","Atleta","Ciudad","Pais","Año"
"Athletics","Athletics","800M","Bronze","Men","GOLEMIS, Dimitrios","Athens","GRE",1896
"Athletics","Athletics","800M","Gold","Men","FLACK, Edwin","Athens","AUS",1896
"Athletics","Athletics","800M","Silver","Men","DANI, Nandor","Athens","HUN",1896
"Athletics","Athletics","Discus Throw","Bronze","Men","VERSIS, Sotirios","Athens","GRE",1896
"Athletics","Athletics","Discus Throw","Gold","Men","GARRETT, Robert","Athens","USA",1896
"Athletics","Athletics","Discus Throw","Silver","Men","PARASKEVOPOULOS, Panagiotis","Athens","GRE",1896
"Athletics","Athletics","High Jump","Gold","Men","CLARK, Ellery","Athens","USA",1896
"Athletics","Athletics","High Jump","Silver","Men","CONNOLLY, James","Athens","USA",1896
"Athletics","Athletics","High Jump","Silver","Men","GARRETT, Robert","Athens","USA",1896
"Athletics","Athletics","Long Jump","Bronze","Men","CONNOLLY, James","Athens","USA",1896
"Athletics","Athletics","Long Jump","Gold","Men","CLARK, Ellery","Athens","USA",1896
"Athletics","Athletics","Long Jump","Silver","Men","GARRETT, Robert","Athens","USA",1896
"Athletics","Athletics","Marathon","Bronze","Men","KELLNER, Gyula","Athens","HUN",1896
"Athletics","Athletics","Marathon","Gold","Men","LOUIS, Spyridon","Athens","GRE",1896
"Athletics","Athletics","Marathon","Silver","Men","VASILAKOS, Kharilaos","Athens","GRE",1896
"Athletics","Athletics","Pole Vault","Bronze","Men","DAMASKOS, Evangelos","Athens","GRE",1896
"Athletics","Athletics","Pole Vault","Bronze","Men","THEODOROPOULOS, Ioannis","Athens","GRE",1896
"Athletics","Athletics","Pole Vault","Gold","Men","HOYT, William Welles","Athens","USA",1896
"Athletics","Athletics","Pole Vault","Silver","Men","TYLER, Albert","Athens","USA",1896
"Athletics","Athletics","Shot Put","Bronze","Men","PAPASIDERIS, Georgios","Athens","GRE",1896
"Athletics","Athletics","Shot Put","Gold","Men","GARRETT, Robert","Athens","USA",1896
"Athletics","Athletics","Shot Put","Silver","Men","GOUSKOS, Miltiadis","Athens","GRE",1896
"Athletics","Athletics","Triple Jump","Bronze","Men","PERSAKIS, Ioannis","Athens","GRE",1896
"Athletics","Athletics","Triple Jump","Gold","Men","CONNOLLY, James","Athens","USA",1896
"Athletics","Athletics","Triple Jump","Silver","Men","TUFFERI, Alexandre","Athens","FRA",1896
"Cycling","Cycling Road","Individual Road Race","Bronze","Men","BATTEL, Edward","Athens","GBR",1896
"Cycling","Cycling Road","Individual Road Race","Gold","Men","KONSTANTINIDIS, Aristidis","Athens","GRE",1896
"Cycling","Cycling Road","Individual Road Race","Silver","Men","GOEDRICH, August","Athens","GER",1896
"Cycling","Cycling Track","100KM","Gold","Men","FLAMENG, Léon","Athens","FRA",1896
"Cycling","Cycling Track","100KM","Silver","Men","KOLETTIS, Georgios","Athens","GRE",1896
"Cycling","Cycling Track","10KM","Bronze","Men","SCHMAL, Adolf","Athens","AUT",1896
"Cycling","Cycling Track","10KM","Gold","Men","MASSON, Paul","Athens","FRA",1896
"Cycling","Cycling Track","10KM","Silver","Men","FLAMENG, Léon","Athens","FRA",1896
"Cycling","Cycling Track","12-Hour Race","Gold","Men","SCHMAL, Adolf","Athens","AUT",1896
"Cycling","Cycling Track","12-Hour Race","Silver","Men","KEEPING, Frank","Athens","GBR",1896
"Cycling","Cycling Track","1KM Time Trial","Bronze","Men","SCHMAL, Adolf","Athens","AUT",1896
"Cycling","Cycling Track","1KM Time Trial","Gold","Men","MASSON, Paul","Athens","FRA",1896
"Cycling","Cycling Track","1KM Time Trial","Silver","Men","NIKOLOPOULOS, Stamatios","Athens","GRE",1896
"Cycling","Cycling Track","Sprint Indivual","Bronze","Men","FLAMENG, Léon","Athens","FRA",1896
"Cycling","Cycling Track","Sprint Indivual","Gold","Men","MASSON, Paul","Athens","FRA",1896
"Cycling","Cycling Track","Sprint Indivual","Silver","Men","NIKOLOPOULOS, Stamatios","Athens","GRE",1896
"Fencing","Fencing","Foil Individual","Bronze","Men","PIERRAKOS-MAVROMICHALIS, Perikles","Athens","GRE",1896
"Fencing","Fencing","Foil Individual","Gold","Men","GRAVELOTTE, Eugène-Henri","Athens","FRA",1896
"Fencing","Fencing","Foil Individual","Silver","Men","CALLOT, Henri","Athens","FRA",1896
"Fencing","Fencing","Foil, Masters","Gold","Men","PYRGOS, Leonidas","Athens","GRE",1896
"Fencing","Fencing","Foil, Masters","Silver","Men","PERRONNET, Maurice","Athens","FRA",1896
"Fencing","Fencing","Sabre Individual","Bronze","Men","NIELSEN, Holger","Athens","DEN",1896
"Fencing","Fencing","Sabre Individual","Gold","Men","GEORGIADIS, Ioannis","Athens","GRE",1896
"Fencing","Fencing","Sabre Individual","Silver","Men","KARAKALOS, Telemachos","Athens","GRE",1896
"Gymnastics","Artistic G.","Horizontal Bar","Gold","Men","WEINGÄRTNER, Hermann","Athens","GER",1896
"Gymnastics","Artistic G.","Horizontal Bar","Silver","Men","FLATOW, Alfred","Athens","GER",1896
"Gymnastics","Artistic G.","Parallel Bars","Gold","Men","FLATOW, Alfred","Athens","GER",1896
"Gymnastics","Artistic G.","Parallel Bars","Silver","Men","ZUTTER, Louis","Athens","SUI",1896
"Gymnastics","Artistic G.","Pommel Horse","Gold","Men","ZUTTER, Louis","Athens","SUI",1896
"Gymnastics","Artistic G.","Pommel Horse","Silver","Men","WEINGÄRTNER, Hermann","Athens","GER",1896
"Gymnastics","Artistic G.","Rings","Bronze","Men","PERSAKIS, Petros","Athens","GRE",1896
"Gymnastics","Artistic G.","Rings","Gold","Men","MITROPOULOS, Ioannis","Athens","GRE",1896
"Gymnastics","Artistic G.","Rings","Silver","Men","WEINGÄRTNER, Hermann","Athens","GER",1896
"Gymnastics","Artistic G.","Rope Climbing","Bronze","Men","HOFMANN, Fritz","Athens","GER",1896
"Gymnastics","Artistic G.","Rope Climbing","Gold","Men","ANDRIAKOPOULOS, Nicolaos","Athens","GRE",1896
"Gymnastics","Artistic G.","Rope Climbing","Silver","Men","XENAKIS, Thomasios","Athens","GRE",1896
"Gymnastics","Artistic G.","Team, Horizontal Bar","Gold","Men","BÖCKER, Konrad","Athens","GER",1896
"Gymnastics","Artistic G.","Team, Horizontal Bar","Gold","Men","FLATOW, Alfred","Athens","GER",1896
"Gymnastics","Artistic G.","Team, Horizontal Bar","Gold","Men","FLATOW, Gustav Felix","Athens","GER",1896
"Gymnastics","Artistic G.","Team, Horizontal Bar","Gold","Men","HILMAR, Georg","Athens","GER",1896
"Gymnastics","Artistic G.","Team, Horizontal Bar","Gold","Men","HOFMANN, Fritz","Athens","GER",1896
"Gymnastics","Artistic G.","Team, Horizontal Bar","Gold","Men","MANTEUFFEL, Fritz","Athens","GER",1896
"Gymnastics","Artistic G.","Team, Horizontal Bar","Gold","Men","NEUKIRCH, Karl","Athens","GER",1896
"Gymnastics","Artistic G.","Team, Horizontal Bar","Gold","Men","RÖSTEL, Richard","Athens","GER",1896
"Gymnastics","Artistic G.","Team, Horizontal Bar","Gold","Men","SCHUFT, Gustav","Athens","GER",1896
"Gymnastics","Artistic G.","Team, Horizontal Bar","Gold","Men","SCHUMANN, Carl","Athens","GER",1896
"Gymnastics","Artistic G.","Team, Horizontal Bar","Gold","Men","WEINGÄRTNER, Hermann","Athens","GER",1896
"Gymnastics","Artistic G.","Team, Parallel Bars","Bronze","Men","CHRYSAPHIS, Ioannis","Athens","GRE",1896
"Gymnastics","Artistic G.","Team, Parallel Bars","Bronze","Men","KARVELAS, Phillippos","Athens","GRE",1896
"Gymnastics","Artistic G.","Team, Parallel Bars","Bronze","Men","LOUNDRAS, Dimitrios","Athens","GRE",1896
"Gymnastics","Artistic G.","Team, Parallel Bars","Bronze","Men","MITROPOULOS, Ioannis","Athens","GRE",1896
"Gymnastics","Artistic G.","Team, Parallel Bars","Gold","Men","BÖCKER, Konrad","Athens","GER",1896
"Gymnastics","Artistic G.","Team, Parallel Bars","Gold","Men","FLATOW, Alfred","Athens","GER",1896
"Gymnastics","Artistic G.","Team, Parallel Bars","Gold","Men","FLATOW, Gustav Felix","Athens","GER",1896
"Gymnastics","Artistic G.","Team, Parallel Bars","Gold","Men","HILMAR, Georg","Athens","GER",1896
"Gymnastics","Artistic G.","Team, Parallel Bars","Gold","Men","HOFMANN, Fritz","Athens","GER",1896
"Gymnastics","Artistic G.","Team, Parallel Bars","Gold","Men","MANTEUFFEL, Fritz","Athens","GER",1896
"Gymnastics","Artistic G.","Team, Parallel Bars","Gold","Men","NEUKIRCH, Karl","Athens","GER",1896
"Gymnastics","Artistic G.","Team, Parallel Bars","Gold","Men","RÖSTEL, Richard","Athens","GER",1896
"Gymnastics","Artistic G.","Team, Parallel Bars","Gold","Men","SCHUFT, Gustav","Athens","GER",1896
"Gymnastics","Artistic G.","Team, Parallel Bars","Gold","Men","SCHUMANN, Carl","Athens","GER",1896
"Gymnastics","Artistic G.","Team, Parallel Bars","Gold","Men","WEINGÄRTNER, Hermann","Athens","GER",1896
"Gymnastics","Artistic G.","Team, Parallel Bars","Silver","Men","ANDRIAKOPOULOS, Nicolaos","Athens","GRE",1896
"Gymnastics","Artistic G.","Team, Parallel Bars","Silver","Men","ATHANASOPOULOS, Spyros","Athens","GRE",1896
"Gymnastics","Artistic G.","Team, Parallel Bars","Silver","Men","PERSAKIS, Petros","Athens","GRE",1896
"Gymnastics","Artistic G.","Team, Parallel Bars","Silver","Men","XENAKIS, Thomasios","Athens","GRE",1896
"Gymnastics","Artistic G.","Vault","Bronze","Men","WEINGÄRTNER, Hermann","Athens","GER",1896
"Gymnastics","Artistic G.","Vault","Gold","Men","SCHUMANN, Carl","Athens","GER",1896
"Gymnastics","Artistic G.","Vault","Silver","Men","ZUTTER, Louis","Athens","SUI",1896
"Shooting","Shooting","25M Army Pistol","Bronze","Men","MORAKIS, Nikolaos","Athens","GRE",1896
"Shooting","Shooting","25M Army Pistol","Gold","Men","PAINE, John","Athens","USA",1896
"Shooting","Shooting","25M Army Pistol","Silver","Men","PAINE, Sumner","Athens","USA",1896
"Shooting","Shooting","25M Rapid Fire Pistol (60 Shots)","Bronze","Men","NIELSEN, Holger","Athens","DEN",1896
"Shooting","Shooting","25M Rapid Fire Pistol (60 Shots)","Gold","Men","PHRANGOUDIS, Joannis","Athens","GRE",1896
"Shooting","Shooting","25M Rapid Fire Pistol (60 Shots)","Silver","Men","ORPHANIDIS, Georgios","Athens","GRE",1896
"Shooting","Shooting","50M Pistol (60 Shots)","Bronze","Men","PHRANGOUDIS, Joannis","Athens","GRE",1896
"Shooting","Shooting","50M Pistol (60 Shots)","Gold","Men","PAINE, Sumner","Athens","USA",1896
"Shooting","Shooting","50M Pistol (60 Shots)","Silver","Men","NIELSEN, Holger","Athens","DEN",1896
"Shooting","Shooting","Army Rifle, 200M","Bronze","Men","TRIKUPIS, Nicolaos","Athens","GRE",1896
"Shooting","Shooting","Army Rifle, 200M","Gold","Men","KARASEVDAS, Pantelis","Athens","GRE",1896
"Shooting","Shooting","Army Rifle, 200M","Silver","Men","PAVLIDIS, Pavlos","Athens","GRE",1896
"Shooting","Shooting","Army Rifle, 300M","Bronze","Men","JENSEN, Viggo","Athens","DEN",1896
"Shooting","Shooting","Army Rifle, 300M","Gold","Men","ORPHANIDIS, Georgios","Athens","GRE",1896
"Shooting","Shooting","Army Rifle, 300M","Silver","Men","PHRANGOUDIS, Joannis","Athens","GRE",1896
"Tennis","Tennis","Doubles","Bronze","Men","FLACK, Edwin","Athens","ZZX",1896
"Tennis","Tennis","Doubles","Bronze","Men","ROBERTSON, George Stuart","Athens","ZZX",1896
"Tennis","Tennis","Doubles","Gold","Men","BOLAND, John","Athens","ZZX",1896
"Tennis","Tennis","Doubles","Gold","Men","TRAUN, Friedrich","Athens","ZZX",1896
"Tennis","Tennis","Doubles","Silver","Men","KASDAGLIS, Dionysios","Athens","ZZX",1896
"Tennis","Tennis","Doubles","Silver","Men","PETROKOKKINOS, Demetrios","Athens","ZZX",1896
"Tennis","Tennis","Singles","Bronze","Men","PASPATIS, Konstantinos","Athens","GRE",1896
"Tennis","Tennis","Singles","Bronze","Men","TAPAVICZA, Momcsillo","Athens","HUN",1896
"Tennis","Tennis","Singles","Gold","Men","BOLAND, John","Athens","GBR",1896
"Tennis","Tennis","Singles","Silver","Men","KASDAGLIS, Dionysios","Athens","GRE",1896
"Weightlifting","Weightlifting","Heavyweight - One Hand Lift","Bronze","Men","NIKOLOPOULOS, Alexandros","Athens","GRE",1896
"Weightlifting","Weightlifting","Heavyweight - One Hand Lift","Gold","Men","ELLIOTT, Launceston","Athens","GBR",1896
"Weightlifting","Weightlifting","Heavyweight - One Hand Lift","Silver","Men","JENSEN, Viggo","Athens","DEN",1896
"Weightlifting","Weightlifting","Heavyweight - Two Hand Lift","Bronze","Men","VERSIS, Sotirios","Athens","GRE",1896
"Weightlifting","Weightlifting","Heavyweight - Two Hand Lift","Gold","Men","JENSEN, Viggo","Athens","DEN",1896
"Weightlifting","Weightlifting","Heavyweight - Two Hand Lift","Silver","Men","ELLIOTT, Launceston","Athens","GBR",1896
"Wrestling","Wrestling Gre-R","Open Event","Bronze","Men","CHRISTOPOULOS, Stephanos","Athens","GRE",1896
"Wrestling","Wrestling Gre-R","Open Event","Gold","Men","SCHUMANN, Carl","Athens","GER",1896
"Wrestling","Wrestling Gre-R","Open Event","Silver","Men","TSITAS, Georgios","Athens","GRE",1896
"Aquatics","Swimming","1500M Freestyle","Bronze","Men","HALMAY, Zoltan","Paris","HUN",1900
"Aquatics","Swimming","1500M Freestyle","Gold","Men","JARVIS, John Arthur","Paris","GBR",1900
"Aquatics","Swimming","1500M Freestyle","Silver","Men","WAHLE, Otto","Paris","AUT",1900
"Aquatics","Swimming","200M Backstroke","Bronze","Men","DROST, Johannes","Paris","NED",1900
"Aquatics","Swimming","200M Backstroke","Gold","Men","HOPPENBERG, Ernst","Paris","GER",1900
"Aquatics","Swimming","200M Backstroke","Silver","Men","RUBERL, Karl","Paris","AUT",1900
"Aquatics","Swimming","200M Freestyle","Bronze","Men","RUBERL, Karl","Paris","AUT",1900
"Aquatics","Swimming","200M Freestyle","Gold","Men","LANE, Frederick C.V.","Paris","AUS",1900
"Aquatics","Swimming","200M Freestyle","Silver","Men","HALMAY, Zoltan","Paris","HUN",1900
"Aquatics","Swimming","200M Obstacle Event","Bronze","Men","KEMP, Peter","Paris","GBR",1900
"Aquatics","Swimming","200M Obstacle Event","Gold","Men","LANE, Frederick C.V.","Paris","AUS",1900
"Aquatics","Swimming","200M Obstacle Event","Silver","Men","WAHLE, Otto","Paris","AUT",1900
"Aquatics","Swimming","200M Team Swimming","Bronze","Men","HOUBEN","Paris","FRA",1900
"Aquatics","Swimming","200M Team Swimming","Bronze","Men","LEUILLIEUX, Jean","Paris","FRA",1900
"Aquatics","Swimming","200M Team Swimming","Bronze","Men","MARTIN, Louis","Paris","FRA",1900
"Aquatics","Swimming","200M Team Swimming","Bronze","Men","MERCHEZ, Désiré","Paris","FRA",1900
"Aquatics","Swimming","200M Team Swimming","Bronze","Men","TARTARA","Paris","FRA",1900
"Aquatics","Swimming","200M Team Swimming","Gold","Men","FREY, Julius","Paris","GER",1900
"Aquatics","Swimming","200M Team Swimming","Gold","Men","HAINLE, Max","Paris","GER",1900
"Aquatics","Swimming","200M Team Swimming","Gold","Men","HOPPENBERG, Ernst","Paris","GER",1900
"Aquatics","Swimming","200M Team Swimming","Gold","Men","SCHÖNE, Max","Paris","GER",1900
"Aquatics","Swimming","200M Team Swimming","Gold","Men","VON PETERSDORFF, Herbert","Paris","GER",1900
"Aquatics","Swimming","200M Team Swimming","Silver","Men","BERTRAND","Paris","FRA",1900
"Aquatics","Swimming","200M Team Swimming","Silver","Men","CADET","Paris","FRA",1900
"Aquatics","Swimming","200M Team Swimming","Silver","Men","HOCHEPIED, Maurice","Paris","FRA",1900
"Aquatics","Swimming","200M Team Swimming","Silver","Men","HOCHEPIED, Victor","Paris","FRA",1900
"Aquatics","Swimming","200M Team Swimming","Silver","Men","VERBECKE","Paris","FRA",1900
"Aquatics","Swimming","4000M Freestyle","Bronze","Men","MARTIN, Louis","Paris","FRA",1900
"Aquatics","Swimming","4000M Freestyle","Gold","Men","JARVIS, John Arthur","Paris","GBR",1900
"Aquatics","Swimming","4000M Freestyle","Silver","Men","HALMAY, Zoltan","Paris","HUN",1900
"Aquatics","Swimming","Underwater Swimming","Bronze","Men","LYKKEBERG, Peder","Paris","DEN",1900
"Aquatics","Swimming","Underwater Swimming","Gold","Men","DE VENDEVILLE, Charles","Paris","FRA",1900
"Aquatics","Swimming","Underwater Swimming","Silver","Men","SIX, André","Paris","FRA",1900
"Aquatics","Water polo","Water Polo","Bronze","Men","BURGESS, Thomas","Paris","FRA",1900
"Aquatics","Water polo","Water Polo","Bronze","Men","COULON","Paris","FRA",1900
"Aquatics","Water polo","Water Polo","Bronze","Men","DECUYPER, Alphonse","Paris","FRA",1900
"Aquatics","Water polo","Water Polo","Bronze","Men","DEVENOT","Paris","FRA",1900
"Aquatics","Water polo","Water Polo","Bronze","Men","FARDELLE","Paris","FRA",1900
"Aquatics","Water polo","Water Polo","Bronze","Men","FAVIER","Paris","FRA",1900
"Aquatics","Water polo","Water Polo","Bronze","Men","LAUFRAY, Louis","Paris","FRA",1900
"Aquatics","Water polo","Water Polo","Bronze","Men","LERICHE","Paris","FRA",1900
"Aquatics","Water polo","Water Polo","Bronze","Men","MARTIN, Louis","Paris","FRA",1900
"Aquatics","Water polo","Water Polo","Bronze","Men","MERCHEZ, Désiré","Paris","FRA",1900
"Aquatics","Water polo","Water Polo","Bronze","Men","PESLIER, Henri","Paris","FRA",1900
"Aquatics","Water polo","Water Polo","Bronze","Men","PESLOY","Paris","FRA",1900
"Aquatics","Water polo","Water Polo","Bronze","Men","TREFFEL, Charles","Paris","FRA",1900
"Aquatics","Water polo","Water Polo","Bronze","Men","VASSEUR, Paul","Paris","FRA",1900
"Aquatics","Water polo","Water Polo","Gold","Men","COE, Thomas","Paris","GBR",1900
"Aquatics","Water polo","Water Polo","Gold","Men","DERBYSHIRE, John Henry","Paris","GBR",1900
"Aquatics","Water polo","Water Polo","Gold","Men","KEMP, Peter","Paris","GBR",1900
"Aquatics","Water polo","Water Polo","Gold","Men","LISTER, William","Paris","GBR",1900
"Aquatics","Water polo","Water Polo","Gold","Men","ROBERTSON, Arthur","Paris","GBR",1900
"Aquatics","Water polo","Water Polo","Gold","Men","ROBINSON, Eric","Paris","GBR",1900
"Aquatics","Water polo","Water Polo","Gold","Men","WILKINSON, George","Paris","GBR",1900
"Aquatics","Water polo","Water Polo","Silver","Men","COHEN, Henri","Paris","BEL",1900
"Aquatics","Water polo","Water Polo","Silver","Men","DE BACKER, Jean","Paris","BEL",1900
"Aquatics","Water polo","Water Polo","Silver","Men","DE BEHR, Victor","Paris","BEL",1900
"Aquatics","Water polo","Water Polo","Silver","Men","FEYAERTS, Fernand","Paris","BEL",1900
"Aquatics","Water polo","Water Polo","Silver","Men","GREGOIRE, Oscar","Paris","BEL",1900
"Aquatics","Water polo","Water Polo","Silver","Men","MICHANT, Albert","Paris","BEL",1900
"Aquatics","Water polo","Water Polo","Silver","Men","SONNEMANS, Victor","Paris","BEL",1900
"Archery","Archery","Au Chapelet, 33M","Bronze","Men","PETIT, Charles Frédéric","Paris","FRA",1900
"Archery","Archery","Au Chapelet, 33M","Gold","Men","VAN INNIS, Hubert","Paris","BEL",1900
"Archery","Archery","Au Chapelet, 33M","Silver","Men","THIBAUD, Victor","Paris","FRA",1900
"Archery","Archery","Au Chapelet, 50M","Bronze","Men","MERCIER, Emile","Paris","FRA",1900
"Archery","Archery","Au Chapelet, 50M","Gold","Men","MOUGIN, Eugène","Paris","FRA",1900
"Archery","Archery","Au Chapelet, 50M","Silver","Men","HELLE, Henri","Paris","FRA",1900
"Archery","Archery","Au Cordon Doré, 33M","Bronze","Men","PETIT, Charles Frédéric","Paris","FRA",1900
"Archery","Archery","Au Cordon Doré, 33M","Gold","Men","VAN INNIS, Hubert","Paris","BEL",1900
"Archery","Archery","Au Cordon Doré, 33M","Silver","Men","THIBAUD, Victor","Paris","FRA",1900
"Archery","Archery","Au Cordon Doré, 50M","Bronze","Men","FISSEUX, Emile","Paris","FRA",1900
"Archery","Archery","Au Cordon Doré, 50M","Gold","Men","HEROUIN, Henri","Paris","FRA",1900
"Archery","Archery","Au Cordon Doré, 50M","Silver","Men","VAN INNIS, Hubert","Paris","BEL",1900
"Archery","Archery","Sur La Perche À La Herse","Gold","Men","FOULON, Emmanuel","Paris","BEL",1900
"Archery","Archery","Sur La Perche À La Herse","Silver","Men","DRUART, Jr.","Paris","BEL",1900
"Archery","Archery","Sur La Perche À La Herse","Silver","Men","SERRURIER, Auguste","Paris","FRA",1900
"Archery","Archery","Sur La Perche À La Pyramide","Bronze","Men","GLINEUX, Louis","Paris","BEL",1900
"Archery","Archery","Sur La Perche À La Pyramide","Gold","Men","GRUMIAUX, Emile","Paris","FRA",1900
"Archery","Archery","Sur La Perche À La Pyramide","Silver","Men","SERRURIER, Auguste","Paris","FRA",1900
"Athletics","Athletics","100M","Bronze","Men","ROWLEY, Stanley","Paris","AUS",1900
"Athletics","Athletics","100M","Gold","Men","JARVIS, Francis","Paris","USA",1900
"Athletics","Athletics","100M","Silver","Men","TEWKSBURY, Walter B. John","Paris","USA",1900
"Athletics","Athletics","110M Hurdles","Bronze","Men","MOLONEY, Frederick","Paris","USA",1900
"Athletics","Athletics","110M Hurdles","Gold","Men","KRAENZLEIN, Alvin","Paris","USA",1900
"Athletics","Athletics","110M Hurdles","Silver","Men","MCLEAN, John","Paris","USA",1900
"Athletics","Athletics","1500M","Bronze","Men","BRAY, John","Paris","USA",1900
"Athletics","Athletics","1500M","Gold","Men","BENNETT, Charles","Paris","GBR",1900
"Athletics","Athletics","1500M","Silver","Men","DELOGE, Henri","Paris","FRA",1900
"Athletics","Athletics","200M","Bronze","Men","ROWLEY, Stanley","Paris","AUS",1900
"Athletics","Athletics","200M","Gold","Men","TEWKSBURY, Walter B. John","Paris","USA",1900
"Athletics","Athletics","200M","Silver","Men","PRITCHARD, Norman","Paris","IND",1900
"Athletics","Athletics","200M Hurdles","Bronze","Men","TEWKSBURY, Walter B. John","Paris","USA",1900
"Athletics","Athletics","200M Hurdles","Gold","Men","KRAENZLEIN, Alvin","Paris","USA",1900
"Athletics","Athletics","200M Hurdles","Silver","Men","PRITCHARD, Norman","Paris","IND",1900
"Athletics","Athletics","3000M Steeplechase","Bronze","Men","CHASTANIE, Jacques","Paris","FRA",1900
"Athletics","Athletics","3000M Steeplechase","Gold","Men","ORTON, George","Paris","CAN",1900
"Athletics","Athletics","3000M Steeplechase","Silver","Men","ROBINSON, Sidney","Paris","GBR",1900
"Athletics","Athletics","4000M Steeplechase","Bronze","Men","ROBINSON, Sidney","Paris","GBR",1900
"Athletics","Athletics","4000M Steeplechase","Gold","Men","RIMMER, John","Paris","GBR",1900
"Athletics","Athletics","4000M Steeplechase","Silver","Men","BENNETT, Charles","Paris","GBR",1900
"Athletics","Athletics","400M","Bronze","Men","SCHULTZ, Ernst","Paris","DEN",1900
"Athletics","Athletics","400M","Gold","Men","LONG, Maxwell W.Maxey","Paris","USA",1900
"Athletics","Athletics","400M","Silver","Men","HOLLAND, William","Paris","USA",1900
"Athletics","Athletics","400M Hurdles","Bronze","Men","ORTON, George","Paris","CAN",1900
"Athletics","Athletics","400M Hurdles","Gold","Men","TEWKSBURY, Walter B. John","Paris","USA",1900
"Athletics","Athletics","400M Hurdles","Silver","Men","TAUZIN, Henri","Paris","FRA",1900
"Athletics","Athletics","5000M Team","Gold","Men","BENNETT, Charles","Paris","ZZX",1900
"Athletics","Athletics","5000M Team","Gold","Men","RIMMER, John","Paris","ZZX",1900
"Athletics","Athletics","5000M Team","Gold","Men","ROBINSON, Sidney","Paris","ZZX",1900
"Athletics","Athletics","5000M Team","Gold","Men","ROWLEY, Stanley","Paris","ZZX",1900
"Athletics","Athletics","5000M Team","Gold","Men","TYSOE, Alfred","Paris","ZZX",1900
"Athletics","Athletics","5000M Team","Silver","Men","CASTANET, André","Paris","FRA",1900
"Athletics","Athletics","5000M Team","Silver","Men","CHAMPOUDRY, Michel","Paris","FRA",1900
"Athletics","Athletics","5000M Team","Silver","Men","CHASTANIE, Jacques","Paris","FRA",1900
"Athletics","Athletics","5000M Team","Silver","Men","DELOGE, Henri","Paris","FRA",1900
"Athletics","Athletics","5000M Team","Silver","Men","RAGUENEAU, Gaston","Paris","FRA",1900
"Athletics","Athletics","60M","Bronze","Men","ROWLEY, Stanley","Paris","AUS",1900
"Athletics","Athletics","60M","Gold","Men","KRAENZLEIN, Alvin","Paris","USA",1900
"Athletics","Athletics","60M","Silver","Men","TEWKSBURY, Walter B. John","Paris","USA",1900
"Athletics","Athletics","800M","Bronze","Men","HALL, David","Paris","USA",1900
"Athletics","Athletics","800M","Gold","Men","TYSOE, Alfred","Paris","GBR",1900
"Athletics","Athletics","800M","Silver","Men","CREGAN, John","Paris","USA",1900
"Athletics","Athletics","Discus Throw","Bronze","Men","SHELDON, Richard","Paris","USA",1900
"Athletics","Athletics","Discus Throw","Gold","Men","BAUER, Rudolf","Paris","HUN",1900
"Athletics","Athletics","Discus Throw","Silver","Men","JANDA, Frantisek","Paris","BOH",1900
