Turno,Maquina,Estado,Temperatura
Vespertino,Maquina 3,Buen estado,31.7
Matutino,Maquina 1,Buen estado,38.3
Vespertino,Maquina 3,Buen estado,43.5
Matutino,Maquina 1,Buen estado,29.8
Vespertino,Maquina 1,Buen estado,23.7
Nocturno,Maquina 3,Buen estado,31.7
Matutino,Maquina 3,Buen estado,38.4
Nocturno,Maquina 2,Buen estado,30.7
Vespertino,Maquina 3,Buen estado,41.3
Vespertino,Maquina 3,Mal estado,29.2
Vespertino,Maquina 3,Buen estado,37.1
Nocturno,Maquina 3,Buen estado,35.0
Matutino,Maquina 3,Buen estado,42.5
Vespertino,Maquina 3,Mal estado,41.7
Matutino,Maquina 3,Buen estado,35.4
Vespertino,Maquina 3,Buen estado,32.4
Vespertino,Maquina 3,Buen estado,33.6
Vespertino,Maquina 3,Buen estado,37.1
Matutino,Maquina 1,Buen estado,37.1
Vespertino,Maquina 2,Buen estado,32.3
Matutino,Maquina 3,Buen estado,29.7
Matutino,Maquina 3,Buen estado,22.1
Vespertino,Maquina 3,Mal estado,36.3
Matutino,Maquina 3,Buen estado,33.1
Nocturno,Maquina 1,Buen estado,28.7
Vespertino,Maquina 3,Buen estado,35.2
Matutino,Maquina 3,Buen estado,41.1
Nocturno,Maquina 1,Buen estado,32.1
Vespertino,Maquina 3,Buen estado,39.2
Vespertino,Maquina 2,Buen estado,37.9
Vespertino,Maquina 1,Buen estado,32.3
Nocturno,Maquina 1,Buen estado,33.8
Nocturno,Maquina 3,Mal estado,38.8
Nocturno,Maquina 3,Buen estado,38.8
Vespertino,Maquina 1,Buen estado,32.9
Matutino,Maquina 1,Buen estado,22.0
Vespertino,Maquina 3,Buen estado,33.1
Vespertino,Maquina 3,Mal estado,32.4
Nocturno,Maquina 3,Buen estado,29.5
Vespertino,Maquina 1,Buen estado,35.8
Vespertino,Maquina 3,Buen estado,39.0
Vespertino,Maquina 3,Buen estado,44.7
Vespertino,Maquina 2,Buen estado,45.8
Vespertino,Maquina 1,Mal estado,41.2
Nocturno,Maquina 3,Buen estado,41.2
Matutino,Maquina 2,Buen estado,37.6
Vespertino,Maquina 1,Buen estado,34.5
Vespertino,Maquina 3,Buen estado,32.1
Matutino,Maquina 2,Buen estado,31.9
Vespertino,Maquina 2,Buen estado,36.0
Vespertino,Maquina 3,Buen estado,37.0
Matutino,Maquina 3,Buen estado,30.5
Matutino,Maquina 1,Buen estado,29.5
Vespertino,Maquina 3,Buen estado,42.5
Matutino,Maquina 3,Buen estado,38.8
Vespertino,Maquina 1,Buen estado,30.7
Nocturno,Maquina 3,Buen estado,37.5
Vespertino,Maquina 3,Mal estado,33.9
Matutino,Maquina 3,Buen estado,32.7
Vespertino,Maquina 3,Buen estado,36.0
Matutino,Maquina 3,Buen estado,37.7
Matutino,Maquina 1,Buen estado,31.8
Vespertino,Maquina 1,Buen estado,32.8
Vespertino,Maquina 3,Buen estado,28.9
Vespertino,Maquina 3,Buen estado,33.1
Nocturno,Maquina 3,Buen estado,31.7
Vespertino,Maquina 1,Buen estado,35.3
Vespertino,Maquina 3,Buen estado,38.3
Matutino,Maquina 2,Buen estado,38.9
Matutino,Maquina 3,Buen estado,42.2
Matutino,Maquina 2,Buen estado,29.5
Matutino,Maquina 1,Mal estado,31.2
Vespertino,Maquina 3,Buen estado,28.3
Vespertino,Maquina 3,Buen estado,37.8
Matutino,Maquina 1,Mal estado,35.3
Matutino,Maquina 3,Buen estado,31.4
Vespertino,Maquina 1,Buen estado,26.2
Nocturno,Maquina 3,Buen estado,29.8
Matutino,Maquina 1,Buen estado,45.1
Vespertino,Maquina 2,Mal estado,34.9
Matutino,Maquina 1,Buen estado,27.8
Vespertino,Maquina 3,Buen estado,30.9
Vespertino,Maquina 1,Buen estado,27.0
Vespertino,Maquina 3,Buen estado,37.8
Matutino,Maquina 3,Buen estado,31.5
Nocturno,Maquina 3,Buen estado,39.5
Vespertino,Maquina 1,Buen estado,28.2
Vespertino,Maquina 1,Buen estado,42.6
Matutino,Maquina 1,Buen estado,41.9
Nocturno,Maquina 3,Buen estado,39.2
Vespertino,Maquina 1,Buen estado,47.0
Matutino,Maquina 3,Buen estado,38.2
Matutino,Maquina 1,Mal estado,35.8
Matutino,Maquina 1,Buen estado,36.7
Vespertino,Maquina 3,Mal estado,30.1
Vespertino,Maquina 2,Buen estado,29.7
Vespertino,Maquina 3,Buen estado,30.9
Vespertino,Maquina 3,Buen estado,36.5
Matutino,Maquina 1,Buen estado,24.6
Vespertino,Maquina 1,Buen estado,26.6
Matutino,Maquina 1,Buen estado,35.7
Matutino,Maquina 3,Buen estado,34.7
Vespertino,Maquina 3,Buen estado,36.9
Matutino,Maquina 3,Buen estado,28.0
Vespertino,Maquina 2,Buen estado,36.7
Matutino,Maquina 3,Buen estado,30.1
Vespertino,Maquina 1,Buen estado,36.7
Vespertino,Maquina 1,Buen estado,35.8
Nocturno,Maquina 1,Buen estado,35.8
Vespertino,Maquina 1,Mal estado,34.7
Vespertino,Maquina 1,Buen estado,31.3
Nocturno,Maquina 2,Buen estado,30.7
Vespertino,Maquina 3,Buen estado,37.8
Vespertino,Maquina 3,Buen estado,36.2
Vespertino,Maquina 2,Buen estado,31.0
Matutino,Maquina 3,Mal estado,29.4
Nocturno,Maquina 1,Buen estado,32.3
Nocturno,Maquina 1,Buen estado,36.8
Matutino,Maquina 1,Buen estado,41.9
Vespertino,Maquina 3,Buen estado,26.4
Vespertino,Maquina 1,Buen estado,38.5
Matutino,Maquina 1,Buen estado,42.5
Vespertino,Maquina 3,Buen estado,31.9
Vespertino,Maquina 3,Buen estado,36.9
Vespertino,Maquina 1,Buen estado,36.8
Nocturno,Maquina 1,Buen estado,43.7
Vespertino,Maquina 3,Buen estado,32.4
Matutino,Maquina 3,Buen estado,38.1
Vespertino,Maquina 1,Buen estado,33.2
Vespertino,Maquina 1,Buen estado,34.5
Vespertino,Maquina 3,Buen estado,32.6
Vespertino,Maquina 3,Buen estado,27.8
Vespertino,Maquina 3,Buen estado,34.1
Matutino,Maquina 1,Mal estado,39.6
Nocturno,Maquina 3,Buen estado,36.7
Vespertino,Maquina 3,Buen estado,32.2
Matutino,Maquina 1,Buen estado,37.3
Vespertino,Maquina 2,Buen estado,35.0
Vespertino,Maquina 3,Buen estado,36.0
Matutino,Maquina 1,Buen estado,30.2
Vespertino,Maquina 1,Buen estado,31.1
Nocturno,Maquina 1,Buen estado,35.1
Vespertino,Maquina 3,Buen estado,38.4
Matutino,Maquina 2,Mal estado,37.4
Vespertino,Maquina 3,Buen estado,37.3
Vespertino,Maquina 3,Buen estado,40.0
Vespertino,Maquina 3,Buen estado,33.0
Vespertino,Maquina 3,Buen estado,35.9
Vespertino,Maquina 3,Buen estado,38.4
Nocturno,Maquina 3,Buen estado,36.9
Nocturno,Maquina 1,Buen estado,37.6
Vespertino,Maquina 3,Buen estado,31.1
Matutino,Maquina 3,Buen estado,32.5
Matutino,Maquina 1,Mal estado,38.1
Nocturno,Maquina 1,Buen estado,29.8
Vespertino,Maquina 3,Mal estado,38.6
Vespertino,Maquina 1,Buen estado,28.5
Matutino,Maquina 3,Buen estado,29.4
Nocturno,Maquina 3,Buen estado,33.9
Matutino,Maquina 1,Buen estado,40.8
Vespertino,Maquina 2,Buen estado,39.6
Matutino,Maquina 1,Buen estado,40.5
Vespertino,Maquina 3,Buen estado,41.8
Vespertino,Maquina 3,Buen estado,34.9
Nocturno,Maquina 1,Buen estado,30.3
Nocturno,Maquina 3,Buen estado,33.3
Vespertino,Maquina 2,Buen estado,35.7
Vespertino,Maquina 1,Buen estado,33.3
Matutino,Maquina 3,Buen estado,36.0
Vespertino,Maquina 3,Buen estado,32.9
Nocturno,Maquina 3,Buen estado,30.9
Matutino,Maquina 1,Buen estado,25.4
Vespertino,Maquina 1,Buen estado,39.8
Vespertino,Maquina 3,Buen estado,29.9
Matutino,Maquina 3,Buen estado,33.9
Vespertino,Maquina 1,Buen estado,35.5
Matutino,Maquina 3,Buen estado,34.1
Vespertino,Maquina 1,Buen estado,37.9
Matutino,Maquina 2,Buen estado,31.0
Vespertino,Maquina 3,Buen estado,32.0
Matutino,Maquina 1,Buen estado,33.6
Vespertino,Maquina 1,Buen estado,32.9
Matutino,Maquina 1,Buen estado,32.0
Vespertino,Maquina 1,Buen estado,38.3
Vespertino,Maquina 3,Mal estado,39.5
Matutino,Maquina 1,Buen estado,27.4
Vespertino,Maquina 2,Buen estado,33.9
Vespertino,Maquina 1,Buen estado,38.3
Matutino,Maquina 2,Buen estado,35.1
Matutino,Maquina 1,Buen estado,39.3
Matutino,Maquina 3,Buen estado,38.0
Matutino,Maquina 3,Buen estado,31.7
Nocturno,Maquina 3,Buen estado,38.3
Vespertino,Maquina 1,Buen estado,41.7
Vespertino,Maquina 3,Buen estado,30.7
Vespertino,Maquina 2,Buen estado,30.1
Vespertino,Maquina 2,Buen estado,42.2
Vespertino,Maquina 3,Buen estado,35.5
Vespertino,Maquina 3,Buen estado,33.7
Matutino,Maquina 3,Buen estado,28.6
Matutino,Maquina 3,Buen estado,48.1
Matutino,Maquina 1,Buen estado,34.1
Vespertino,Maquina 3,Mal estado,24.5
Vespertino,Maquina 1,Buen estado,35.2
Matutino,Maquina 1,Buen estado,36.0
Nocturno,Maquina 1,Buen estado,35.4
Vespertino,Maquina 2,Buen estado,28.0
Matutino,Maquina 1,Buen estado,30.7
Vespertino,Maquina 1,Buen estado,33.6
Matutino,Maquina 1,Buen estado,36.6
Nocturno,Maquina 3,Buen estado,45.0
Vespertino,Maquina 3,Buen estado,26.6
Nocturno,Maquina 3,Buen estado,42.9
Matutino,Maquina 1,Buen estado,28.0
Matutino,Maquina 3,Buen estado,27.3
Vespertino,Maquina 3,Buen estado,35.9
Matutino,Maquina 1,Mal estado,29.7
Matutino,Maquina 3,Buen estado,25.7
Vespertino,Maquina 3,Mal estado,41.7
Nocturno,Maquina 2,Buen estado,29.4
Vespertino,Maquina 3,Buen estado,39.8
Nocturno,Maquina 1,Buen estado,35.4
Matutino,Maquina 1,Mal estado,37.4
Vespertino,Maquina 3,Buen estado,33.1
Vespertino,Maquina 3,Buen estado,37.8
Matutino,Maquina 1,Buen estado,26.0
Vespertino,Maquina 3,Buen estado,36.6
Matutino,Maquina 2,Buen estado,30.6
Vespertino,Maquina 3,Buen estado,33.1
Nocturno,Maquina 1,Buen estado,35.5
Matutino,Maquina 3,Buen estado,35.4
Vespertino,Maquina 3,Buen estado,32.0
Vespertino,Maquina 1,Buen estado,34.5
Vespertino,Maquina 2,Buen estado,34.6
Matutino,Maquina 1,Buen estado,28.4
Vespertino,Maquina 3,Buen estado,41.3
Matutino,Maquina 1,Buen estado,31.2
Vespertino,Maquina 1,Buen estado,32.6
Vespertino,Maquina 1,Buen estado,41.5
Matutino,Maquina 1,Mal estado,36.3
Vespertino,Maquina 1,Buen estado,38.9
Matutino,Maquina 1,Buen estado,34.1
Vespertino,Maquina 3,Buen estado,33.5
Matutino,Maquina 3,Buen estado,34.5
Vespertino,Maquina 1,Buen estado,40.1
Matutino,Maquina 1,Mal estado,47.7
Matutino,Maquina 1,Buen estado,43.9
Vespertino,Maquina 3,Buen estado,30.2
Nocturno,Maquina 3,Buen estado,26.4
Vespertino,Maquina 1,Buen estado,33.5
Vespertino,Maquina 3,Buen estado,44.5
Matutino,Maquina 1,Buen estado,36.1
Vespertino,Maquina 3,Buen estado,29.1
Nocturno,Maquina 1,Buen estado,41.1
Vespertino,Maquina 1,Buen estado,37.8
Nocturno,Maquina 1,Buen estado,37.3
Matutino,Maquina 2,Buen estado,40.7
Vespertino,Maquina 2,Mal estado,38.6
Matutino,Maquina 1,Buen estado,39.5
Matutino,Maquina 3,Buen estado,34.3
Matutino,Maquina 1,Buen estado,27.7
Vespertino,Maquina 3,Buen estado,34.8
Nocturno,Maquina 3,Buen estado,33.6
Nocturno,Maquina 3,Buen estado,34.0
Nocturno,Maquina 2,Buen estado,36.6
Vespertino,Maquina 3,Buen estado,33.4
Nocturno,Maquina 1,Buen estado,41.5
Nocturno,Maquina 3,Buen estado,39.8
Matutino,Maquina 1,Buen estado,36.5
Matutino,Maquina 3,Buen estado,37.0
Matutino,Maquina 2,Mal estado,36.4
Vespertino,Maquina 2,Buen estado,33.6
Nocturno,Maquina 1,Buen estado,39.0
Matutino,Maquina 3,Buen estado,23.1
Vespertino,Maquina 3,Buen estado,36.9
Nocturno,Maquina 1,Buen estado,45.2
