Name,Platform,Year,Genre,Publisher,America,Europa, Japón 
Card Fight!! Vanguard G: Stride to Victory!!,3DS,2016,Misc,FuRyu,0,0,0.04
Refrain no Chika Meikyuu to Majo no Ryodan,PSV,2016,Action,Nippon Ichi Software,0,0,0.04
Utawarerumono: Futari no Hakuoro,PS4,2016,Misc,Aqua Plus,0,0,0.04
Kamen Rider: Battride War Genesis,PS3,2016,Action,Namco Bandai Games,0,0,0.04
Hitman (2016),PS4,2016,Action,Square Enix,0,0.04,0
7 Days to Die,XOne,2016,Action,Telltale Games,0.02,0.02,0
XCOM 2,PS4,2016,Strategy,Take-Two Interactive,0.01,0.02,0
One Piece: Burning Blood,XOne,2016,Fighting,Namco Bandai Games,0.03,0.01,0
Star Ocean 5: Integrity and Faithlessness,PS3,2016,Role-Playing,Square Enix,0,0,0.04
Haikyu!! Cross Team Match!,3DS,2016,Adventure,Namco Bandai Games,0,0,0.04
Nobunaga's Ambition: Sphere of Influence - Sengoku Risshiden,PSV,2016,Misc,Tecmo Koei,0,0,0.04
Song of the Deep,XOne,2016,Action,Insomniac Games,0.03,0,0
Rugby Challenge 3,PS4,2016,Sports,Alternative Software,0,0.03,0
Hatsune Miku: Project Diva X,PS4,2016,Misc,Sega,0.01,0,0.02
Bullet Girls 2,PSV,2016,Action,D3Publisher,0,0,0.04
Resident Evil 6,XOne,2016,Shooter,Capcom,0.03,0,0
Doraemon: Shin Nobita no Nihon Tanjou,3DS,2016,Misc,FuRyu,0,0,0.04
Destiny: The Collection,XOne,2016,Shooter,Activision,0.01,0.02,0
12-Sai. Koisuru Diary,3DS,2016,Adventure,Happinet,0,0,0.04
Aegis of Earth: Protonovus Assault,PSV,2016,Action,PQube,0.02,0.01,0
Batman: A Telltale Game Series,PS4,2016,Adventure,Telltale Games,0.01,0.02,0
Resident Evil 4 HD,PS4,2016,Shooter,Capcom,0.03,0,0
Nobunaga's Ambition: Sphere of Influence - Sengoku Risshiden,PS3,2016,Misc,Tecmo Koei,0,0,0.03
Teenage Mutant Ninja Turtles: Mutants in Manhattan,XOne,2016,Action,Activision,0.02,0.01,0
Dead or Alive Xtreme 3: Venus,PSV,2016,Sports,Tecmo Koei,0,0,0.03
NASCAR Heat Evolution,PS4,2016,Racing,Dusenberry Martin Racing,0.03,0,0
Metroid Prime: Federation Force,3DS,2016,Action,Nintendo,0.02,0.01,0.01
Sonic Boom: Fire & Ice,3DS,2016,Platform,Sega,0.03,0,0
Gakusen Toshi Asterisk Festa: Houka Kenran,PSV,2016,Fighting,Namco Bandai Games,0,0,0.03
Hearts of Iron IV,PC,2016,Strategy,Paradox Interactive,0,0.03,0
Summon Night 6: Lost Borders,PS4,2016,Action,Namco Bandai Games,0,0,0.03
Atelier Shallie Plus: Alchemists of the Dusk Sea,PSV,2016,Role-Playing,Tecmo Koei,0,0,0.03
Teenage Mutant Ninja Turtles: Mutants in Manhattan,X360,2016,Action,Activision,0.01,0.02,0
Need for Speed (2015),PC,2016,Racing,Electronic Arts,0,0.03,0
Pro Cycling Manager 2016,PC,2016,Sports,Focus Home Interactive,0,0.03,0
Attack on Titan (KOEI),XOne,2016,Action,Tecmo Koei,0.01,0.01,0
Medabots Girls Mission: Metabee Ver. / Rokusho Ver.,3DS,2016,Role-Playing,Rocket Company,0,0,0.03
My Hero Academia: Battle for All,3DS,2016,Action,Namco Bandai Games,0,0,0.03
Stellaris,PC,2016,Strategy,Paradox Interactive,0,0.03,0
Ao no Kanata no Four Rhythm,PSV,2016,Adventure,Unknown,0,0,0.03
Ghostbusters (2016),PS4,2016,Action,Activision,0.02,0,0
Darius Burst: Chronicle Saviours,PSV,2016,Action,Kadokawa Games,0,0,0.03
Aegis of Earth: Protonovus Assault,PS3,2016,Action,PQube,0.01,0.01,0
Pro Evolution Soccer 2017,XOne,2016,Sports,Konami Digital Entertainment,0,0.02,0
DiRT Rally,PC,2016,Racing,Codemasters,0,0.03,0
3DS Classic Collection,3DS,2016,Misc,Sega,0.02,0,0
Sengoku Basara: Sanada Yukimura-Den,PS4,2016,Action,Capcom,0,0,0.03
Terraria,WiiU,2016,Action,505 Games,0,0.02,0
Diabolik Lovers: Lunatic Parade,PSV,2016,Adventure,Idea Factory,0,0,0.03
Psycho-Pass: Mandatory Happiness,PS4,2016,Adventure,Nippon Ichi Software,0.02,0,0
Yuusha Shisu.,PSV,2016,Role-Playing,Nippon Ichi Software,0,0,0.02
Ghostbusters (2016),XOne,2016,Action,Activision,0.02,0,0
Naruto Shippuden: Ultimate Ninja Storm Collection,PS3,2016,Action,Namco Bandai Games,0,0.02,0
Bus Simulator 16,PC,2016,Simulation,Astragon,0,0.02,0
Teddy Together,3DS,2016,Simulation,Nintendo,0,0.02,0
Rugby Challenge 3,X360,2016,Sports,Alternative Software,0,0.02,0
Kenka Bancho Otome,PSV,2016,Action,Screenlife,0,0,0.02
TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.9,PS3,2016,Misc,Namco Bandai Games,0,0,0.02
Tokyo Xanadu eX+,PS4,2016,Role-Playing,Nihon Falcom Corporation,0,0,0.02
NASCAR Heat Evolution,XOne,2016,Racing,Dusenberry Martin Racing,0.02,0,0
La Corda d'Oro 4,PSV,2016,Action,Tecmo Koei,0,0,0.02
Prison Architect,PS4,2016,Action,Introversion Software,0.01,0.01,0
Genkai Tokki: Seven Pirates,PSV,2016,Role-Playing,Compile Heart,0,0,0.02
Rocket League,PC,2016,Sports,505 Games,0.01,0.01,0
Aegis of Earth: Protonovus Assault,PS4,2016,Action,PQube,0.02,0,0
Sengoku Otome: Legend Battle,PSV,2016,Action,Unknown,0,0,0.02
Valentino Rossi: The Game,XOne,2016,Racing,Namco Bandai Games,0,0.02,0
Hyakka Hyakurou: Sengoku Ninpoujou,PSV,2016,Adventure,D3Publisher,0,0,0.02
Gochuumon wa Usagi Desu ka?? Wonderful Party!,PSV,2016,Adventure,5pb,0,0,0.02
F1 2016 (Codemasters),PC,2016,Racing,Codemasters,0,0.02,0
Dead Rising,PS4,2016,Action,Capcom,0.01,0,0
Homefront: The Revolution,PC,2016,Shooter,Deep Silver,0,0.02,0
The Technomancer,XOne,2016,Role-Playing,Focus Home Interactive,0.01,0.01,0
The Legend of Heroes: Trails in the Sky Third Chapter,PSV,2016,Role-Playing,Nihon Falcom Corporation,0,0,0.02
Anima - Gate of Memories,PS4,2016,Action,Avanquest,0,0.02,0
Psycho-Pass: Mandatory Happiness,PSV,2016,Adventure,Nippon Ichi Software,0,0.01,0.01
Resident Evil: Umbrella Corps,PS4,2016,Action,Capcom,0,0,0.02
Deus Ex: Mankind Divided,PC,2016,Role-Playing,Square Enix,0,0.02,0
RollerCoaster Tycoon World,PC,2016,Simulation,Atari,0,0.02,0
Resident Evil Zero,PC,2016,Action,Capcom,0.01,0.01,0
Dino Dini's Kick Off Revival,PS4,2016,Sports,Avanquest,0,0.02,0
Mighty No. 9,WiiU,2016,Platform,Deep Silver,0.01,0.01,0
Agatha Christie: The ABC Murders,PC,2016,Adventure,Microids,0,0.02,0
Black Rose Valkyrie,PS4,2016,Role-Playing,Idea Factory,0,0,0.02
Agatha Christie's The ABC Murders,PS4,2016,Adventure,Microids,0.01,0.01,0
Rose to Tasogare no Kojou,PSV,2016,Action,Nippon Ichi Software,0,0,0.02
Sengoku Basara: Sanada Yukimura-Den,PS3,2016,Action,Capcom,0,0,0.02
Hakuoki: Shinkai - Hana no Shou,PSV,2016,Adventure,Idea Factory,0,0,0.02
TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.8,PS3,2016,Misc,Namco Bandai Games,0,0,0.02
Call of Duty: Modern Warfare Trilogy,PS3,2016,Shooter,Activision,0,0.01,0
Toukiden 2,PS3,2016,Action,Tecmo Koei,0,0,0.02
Song of the Deep,PC,2016,Action,Insomniac Games,0.02,0,0
Winning Post 8 2016,PS4,2016,Simulation,Tecmo Koei,0,0,0.02
This War of Mine,PS4,2016,Action,Deep Silver,0,0.01,0
Nil Admirari no Tenbin: Teito Genwaku Toukidan,PSV,2016,Adventure,Idea Factory,0,0,0.02
Arslan: The Warriors of Legend,XOne,2016,Action,Tecmo Koei,0.01,0,0
Revolution: 25th Anniversary Collection,PC,2016,Adventure,Koch Media,0,0.02,0
"Moshi, Kono Sekai ni Kami-sama ga Iru to suru Naraba.",PSV,2016,Adventure,N/A,0,0,0.02
XCOM 2,XOne,2016,Strategy,Take-Two Interactive,0.01,0.01,0
Call of Duty: Modern Warfare Trilogy,X360,2016,Shooter,Activision,0.01,0.01,0
Assault Suit Leynos,PS4,2016,Shooter,Rising Star Games,0.01,0,0
Taishou Moebius Line Vitable,PSV,2016,Adventure,dramatic create,0,0,0.02
MuvLuv Double Pack,PSV,2016,Adventure,5pb,0,0,0.02
Koihime Enbu,PS4,2016,Fighting,Yeti,0,0,0.02
Worms: WMD,PS4,2016,Action,Sold Out,0.01,0.01,0
Storm Lover 2nd V,PSV,2016,Adventure,D3Publisher,0,0,0.02
Touhou Genso Rondo: Bullet Ballet,PS4,2016,Shooter,Nippon Ichi Software,0.01,0,0
Coven and Labyrinth of Refrain,PSV,2016,Action,Nippon Ichi Software,0,0,0.01
Super Battle For Money Sentouchuu: Kyuukyoku no Shinobu to Battle Player Choujou Kessen!,3DS,2016,Action,Namco Bandai Games,0,0,0.01
One Piece: Daikaizoku Coliseum,3DS,2016,Fighting,Namco Bandai Games,0,0,0.01
God Eater Off Shot: Soma Shikkuzaru-hen Twin Pack & Animation Vol.4,PS4,2016,Action,Namco Bandai Games,0,0,0.01
Uppers,PSV,2016,Action,Marvelous Entertainment,0,0,0.01
Wand of Fortune R,PSV,2016,Adventure,Idea Factory,0,0,0.01
Utawarerumono: Futari no Hakuoro,PS3,2016,Misc,Aqua Plus,0,0,0.01
God Eater Off Shot:Shiou-hen Twin Pack & Animation Vol.5,PS4,2016,Misc,Namco Bandai Games,0,0,0.01
Battle Worlds: Kronos,PC,2016,Strategy,Nordic Games,0,0.01,0
Resident Evil 5 HD,PS4,2016,Action,Capcom,0.01,0,0
Collar x Malice,PSV,2016,Action,Idea Factory,0,0,0.01
Dragon's Dogma Online: Season 2,PS4,2016,Action,Capcom,0,0,0.01
Republique,PS4,2016,Action,Nippon Ichi Software,0,0.01,0.01
Shin Hayarigami 2,PSV,2016,Adventure,Nippon Ichi Software,0,0,0.01
Dynasty Warriors: Eiketsuden,PS4,2016,Action,Tecmo Koei,0,0,0.01
Carmageddon: Max Damage,XOne,2016,Action,Stainless Games,0.01,0.01,0
New Interpretation Stranger of Sword City,PSV,2016,Role-Playing,Experience Inc.,0,0,0.01
Shitsuji ga Aruji o Erabu Toki,PSV,2016,Adventure,Unknown,0,0,0.01
Batman: A Telltale Game Series,PS3,2016,Adventure,Telltale Games,0,0.01,0
Valentino Rossi: The Game,PC,2016,Racing,Namco Bandai Games,0,0.01,0
The Book of Unwritten Tales 2,WiiU,2016,Adventure,Nordic Games,0,0.01,0
Paragon,PS4,2016,Action,Epic Games,0.01,0,0
Assetto Corsa,XOne,2016,Racing,505 Games,0,0.01,0
Sangoku Koi Senki: Omoide Gaeshi - CS Edition,PSV,2016,Adventure,Prototype,0,0,0.01
Period Cube: Torikago no Amadeus,PSV,2016,Action,Idea Factory,0,0,0.01
MXGP 2,PC,2016,Racing,Milestone S.r.l.,0,0.01,0
Cities: Skylines Snowfall,PC,2016,Simulation,Paradox Development,0,0.01,0
