nombre,artista,anio,duracion_seg,popularidad,energia,bailabilidad,positividad,acustica,instrumental,en_vivo,habla,volumen_db,tempo_bpm,tono_mayor,explicito
"Yes Sir, That's My Baby",Etta Jones,1960,261.0,23,0.264,0.609,0.652,0.749,1.45e-05,0.074,0.0565,-13.823,146.7,1,0
Blue 'N Boogie,J.J. Johnson,1960,350.5,22,0.427,0.52,0.765,0.594,0.0563,0.164,0.0812,-15.388,140.5,0,0
Shatty Ya Denia,Fairuz,1960,183.0,21,0.539,0.73,0.562,0.676,0.0,0.168,0.067,-12.99,102.1,1,0
Southbound Train,Muddy Waters,1960,173.1,21,0.335,0.659,0.499,0.758,9.55e-05,0.211,0.0444,-9.161,84.7,1,0
Squaws Along The Yukon,Hank Thompson And His Brazos Valley Boys,1960,151.3,21,0.599,0.739,0.837,0.637,0.0,0.386,0.0278,-7.046,100.8,1,0
Marcia Romana - Extended Version,Miklós Rózsa,1960,115.9,19,0.183,0.546,0.291,0.908,0.977,0.137,0.0293,-16.22,107.7,1,0
Stick with Me Baby,The Everly Brothers,1960,116.0,19,0.575,0.528,0.887,0.479,1.25e-06,0.341,0.0336,-10.454,116.5,1,0
E's Flat Ah's Flat Too - Alternative; Take,Charles Mingus,1960,414.5,18,0.611,0.394,0.773,0.614,0.027,0.108,0.0694,-10.271,140.9,1,0
A Hole In the Bucket - Live,"Harry Belafonte, Odetta",1960,271.9,18,0.118,0.472,0.873,0.824,0.0,0.824,0.698,-21.451,158.1,1,0
Watch World War Three on Pay TV,Sherman & Larsen,1960,144.0,18,0.588,0.786,0.696,0.831,0.0,0.338,0.0847,-11.754,116.6,1,0
Day In - Day Out - Alternate Version / Remastered,Frank Sinatra,1960,187.3,18,0.153,0.229,0.133,0.842,0.0,0.227,0.0323,-12.148,95.0,1,0
Kiyakiya (Key-Ya-Key-Ya),Babatunde Olatunji,1960,253.2,18,0.804,0.648,0.512,0.441,0.0,0.229,0.0558,-6.078,125.4,1,0
Lonesome Road Blues,Muddy Waters,1960,183.1,17,0.395,0.599,0.464,0.837,0.00186,0.0391,0.0387,-10.012,69.5,1,0
The Man I Love - Live,"Ella Fitzgerald, The Paul Smith Quartet",1960,236.3,17,0.283,0.37,0.288,0.919,0.0,0.364,0.0702,-15.486,118.5,1,0
Theme For Doris - Remastered,Tina Brooks,1960,353.4,16,0.563,0.45,0.439,0.703,0.927,0.148,0.0324,-6.875,91.0,1,0
When You Are Old And Grey,Tom Lehrer,1960,147.4,16,0.316,0.529,0.745,0.913,0.0,0.687,0.626,-17.099,127.4,1,0
How Firm a Foundation - Voice,"Traditional, Frank Asper, Mormon Tabernacle Choir, Richard P. Condie, Alexander Schreiner",1960,105.2,16,0.114,0.297,0.417,0.934,0.0,0.252,0.0304,-17.844,103.0,1,0
Love Walked In,Dinah Washington,1960,131.5,16,0.436,0.575,0.833,0.761,0.00354,0.0442,0.0318,-9.225,96.9,1,0
Dust My Broom,Elmore James,1960,175.0,16,0.659,0.513,0.652,0.0141,0.352,0.294,0.0314,-4.909,101.4,1,0
Sophisticated Lady,Oscar Peterson,1960,146.3,15,0.0807,0.475,0.0682,0.99,0.88,0.104,0.0463,-23.52,116.0,0,0
Bombele,"La Sonora Matancera, Celio Gonzalez",1960,168.3,15,0.457,0.7,0.856,0.83,4.59e-06,0.0359,0.0469,-7.977,99.8,1,0
I'm Wanderin',John Lee Hooker,1960,316.1,14,0.0527,0.741,0.368,0.862,0.00412,0.112,0.0396,-21.508,98.0,1,0
"The Galley, Pt. 1-4 (Rowing of the Galley Slaves)",Miklós Rózsa,1960,193.8,13,0.329,0.315,0.227,0.929,0.981,0.107,0.0313,-16.332,98.8,1,0
"The Folks Who Live On The Hill - Live In Kildevælds Church, Copenhagen, Denmark / 1960",Stan Getz,1960,256.9,13,0.0496,0.488,0.311,0.979,9.94e-05,0.114,0.045,-19.368,116.2,1,0
Rising Sun,Fats Domino,1960,122.3,12,0.271,0.38,0.794,0.588,2.41e-05,0.0777,0.031,-15.122,81.7,1,0
Why Do You Punish Me (For Loving You),Johnny Cash,1960,137.0,12,0.362,0.631,0.635,0.537,0.00131,0.152,0.0287,-9.253,124.3,1,0
I Want To Talk About You,John Lee Hooker,1960,181.7,12,0.0713,0.847,0.635,0.863,0.0349,0.112,0.11,-23.372,93.0,1,0
Song of the Islands,Annette Funicello,1960,161.7,12,0.651,0.331,0.556,0.629,0.0,0.31,0.0441,-6.78,170.0,0,0
Safradesia,Don Ralke,1960,207.6,12,0.452,0.65,0.844,0.225,0.747,0.0921,0.0481,-22.686,137.4,1,0
"Cold, Cold Heart",Johnny Cash,1960,139.5,12,0.54,0.642,0.81,0.697,3.4e-06,0.192,0.0642,-8.016,136.3,1,0
Moanin',Bobby Timmons,1960,301.7,11,0.429,0.546,0.622,0.973,0.885,0.128,0.0306,-13.616,106.3,0,0
You Win Again,Johnny Cash,1960,141.3,11,0.437,0.594,0.767,0.884,0.000694,0.225,0.0362,-9.399,131.3,1,0
Second Genesis,Wayne Shorter,1960,247.3,11,0.473,0.48,0.387,0.821,0.246,0.125,0.0554,-12.893,97.6,1,0
Bye Bye Birdie - Original Broadway Cast: How Lovely to Be a Woman,"Charles Strouse, Susan Watson, Elliot Lawrence",1960,151.0,10,0.117,0.534,0.404,0.941,0.0,0.12,0.0605,-17.005,144.4,1,0
O Sajna Barkha Bahar Aayi,Lata Mangeshkar,1960,189.2,10,0.269,0.444,0.743,0.992,0.349,0.16,0.0471,-13.948,134.0,1,0
Don't Worry About Me,King Pleasure,1960,178.9,10,0.43,0.588,0.851,0.69,0.000634,0.0681,0.0655,-12.025,93.5,1,0
Umhome,Miriam Makeba,1960,79.5,10,0.0173,0.47,0.529,0.941,0.0,0.22,0.0835,-20.213,114.9,1,0
Somewhere,Marian McPartland,1960,196.7,10,0.0441,0.451,0.311,0.953,0.851,0.0835,0.0406,-31.786,74.2,0,0
Torture,The Fendermen,1960,104.8,10,0.809,0.493,0.909,0.851,0.964,0.249,0.0337,-8.902,140.7,1,0
Truck Drivin' Man,Jim & Jesse,1960,154.3,10,0.513,0.725,0.902,0.402,0.0,0.248,0.028,-8.087,111.1,1,0
Mariposa Fugaz,La Sonora Santanera,1960,188.7,9,0.341,0.747,0.515,0.657,0.000191,0.32,0.0426,-7.673,106.5,0,0
Blue Water line,The Brothers Four,1960,170.4,8,0.382,0.438,0.844,0.757,1.48e-06,0.28,0.0963,-16.586,166.4,1,0
Baba Jinde (Baba-Gee-Un-Day),Babatunde Olatunji,1960,330.8,7,0.796,0.537,0.514,0.133,0.528,0.167,0.161,-10.14,121.4,0,0
Sometimes,R.H. Harris & His Gospel Paraders,1960,164.4,6,0.43,0.45,0.648,0.878,7.02e-06,0.154,0.0314,-10.701,131.1,1,0
Crazy - Single Version,"Patsy Cline, The Jordanaires",1961,164.6,65,0.021,0.471,0.356,0.931,1.19e-06,0.103,0.0366,-24.385,107.8,1,0
West Side Story: Act II: Somewhere,"Leonard Bernstein, Johnny Green",1961,124.1,39,0.0642,0.229,0.0789,0.876,7.47e-05,0.0946,0.0373,-15.848,96.9,1,0
Haunted Heart,Bill Evans Trio,1961,205.8,34,0.067,0.397,0.147,0.983,0.912,0.105,0.0365,-21.399,83.8,1,0
"Intermezzo No. 1 in E-Flat Major, Op. 117 - Andante moderato - Remastered","Johannes Brahms, Glenn Gould",1961,334.8,34,0.0146,0.448,0.142,0.993,0.885,0.0862,0.0691,-28.024,76.4,1,0
That Old Black Magic - Remastered,Frank Sinatra,1961,245.7,33,0.153,0.662,0.409,0.639,0.0,0.108,0.0514,-16.436,127.2,1,0
I Remember You,Lee Konitz,1961,266.7,33,0.305,0.564,0.571,0.794,0.0983,0.152,0.063,-14.224,115.7,0,0
Marching Through Georgia,Tennessee Ernie Ford,1961,142.9,33,0.709,0.821,0.964,0.663,0.0,0.0545,0.0547,-6.455,109.6,1,0
West Side Story: Act II: The Rumble,"Leonard Bernstein, Johnny Green, West Side Story Orchestra",1961,163.4,31,0.48,0.422,0.262,0.744,0.596,0.369,0.268,-12.823,77.3,0,0
Lain Golightly,Henry Mancini,1961,178.4,30,0.386,0.66,0.86,0.882,0.79,0.0961,0.0335,-15.904,132.0,0,0
採茶歌,服部爵士大樂隊,1961,111.1,27,0.731,0.495,0.867,0.62,0.862,0.185,0.0352,-8.2,141.9,0,0
Money,Jerry Lee Lewis,1961,157.5,27,0.85,0.594,0.962,0.428,2.01e-05,0.208,0.0367,-6.015,151.7,0,0
"Carnival of the Animals, R. 125: Aquarium","Camille Saint-Saëns, Arthur Fiedler, Leo Litwin, Samuel Lipman, Martin Hoherman, Boston Pops Orchestra",1961,144.7,24,0.0258,0.167,0.131,0.893,0.00732,0.308,0.0401,-36.62,136.0,0,0
Give Me the Right,Elvis Presley,1961,154.5,24,0.372,0.619,0.788,0.834,0.000266,0.3,0.0304,-11.051,112.9,1,0
San Francisco - Live At Carnegie Hall/1961,Judy Garland,1961,283.9,23,0.601,0.413,0.353,0.8,0.0,0.404,0.496,-12.339,137.7,1,0
Little Old Lady,John Coltrane,1961,268.4,22,0.192,0.583,0.506,0.633,0.00265,0.105,0.0523,-17.839,93.6,1,0
Overture to Candide,"Leonard Bernstein, New York Philharmonic",1961,250.0,21,0.516,0.241,0.322,0.844,0.752,0.356,0.0548,-14.073,82.0,1,0
Like Sonny,John Coltrane,1961,351.6,21,0.186,0.462,0.422,0.802,0.471,0.132,0.0505,-16.882,74.2,1,0
Granada,Frank Sinatra,1961,219.1,19,0.467,0.364,0.644,0.472,0.0,0.915,0.0384,-9.612,151.2,1,0
Go Down Emanuel Road,Harry Belafonte,1961,188.8,18,0.759,0.563,0.959,0.918,3.61e-06,0.187,0.401,-7.496,94.2,1,0
The Stroll,Chubby Checker,1961,154.7,18,0.449,0.596,0.842,0.622,0.0,0.334,0.0262,-6.007,92.7,1,0
Serenade,Della Reese,1961,202.3,18,0.175,0.241,0.187,0.888,0.00015,0.186,0.0321,-14.025,167.7,0,0
"Mozart: Le nozze di Figaro, K. 492: Sinfonia (Presto)","Wolfgang Amadeus Mozart, Philharmonia Orchestra & Carlo Maria Giulini, Carlo Maria Giulini, Philharmonia Orchestra",1961,259.8,17,0.112,0.295,0.326,0.934,0.861,0.0735,0.036,-17.747,142.1,1,0
Waltz For Debby - Live / Take 1,Bill Evans Trio,1961,410.1,16,0.304,0.576,0.428,0.85,0.825,0.12,0.0454,-16.657,92.0,1,0
Jesusita En Chihuahua,Al Caiola,1961,132.7,16,0.408,0.72,0.888,0.923,0.697,0.268,0.0438,-12.746,118.8,1,0
Do You Care,Little Richard,1961,173.7,16,0.16,0.262,0.246,0.982,0.0397,0.299,0.0375,-17.458,86.6,1,0
Bella Bella Bambina - Alternate Take,Dean Martin,1961,152.6,16,0.517,0.429,0.872,0.82,0.0,0.0989,0.0385,-10.31,111.5,1,0
Havin' Fun,Dion,1961,141.1,16,0.394,0.539,0.462,0.682,0.000109,0.176,0.0289,-11.094,126.7,1,0
Well You Needn't,Miles Davis Quintet,1961,377.9,16,0.682,0.536,0.56,0.715,0.00542,0.359,0.051,-7.131,117.7,1,0
Don't Be That Way,Frank Sinatra,1961,162.1,15,0.312,0.566,0.526,0.593,0.0,0.069,0.0398,-12.248,126.4,0,0
Frankie and Johnny,Jerry Lee Lewis,1961,153.7,15,0.857,0.625,0.794,0.765,0.0,0.154,0.142,-4.954,139.1,1,0
Alice In Wonderland - Live - (take 1),Bill Evans Trio,1961,420.5,15,0.335,0.5,0.443,0.837,0.882,0.391,0.0322,-16.044,88.1,1,0
Que Cocine Caridad,Tito Rodriguez,1961,165.8,15,0.606,0.698,0.927,0.639,0.0,0.213,0.0794,-7.742,110.7,1,0
我愛卡力蘇,Grace Chang,1961,201.8,15,0.251,0.738,0.896,0.781,2.88e-06,0.184,0.0436,-9.761,113.2,1,0
Jade Visions - Live - (take 2),Bill Evans Trio,1961,228.6,14,0.0822,0.464,0.113,0.802,0.896,0.279,0.0397,-25.993,98.2,0,0
That Warm Summer Night - Remastered,Ricky Nelson,1961,133.8,14,0.267,0.455,0.41,0.842,0.0,0.0936,0.0307,-12.619,76.8,1,0
Until The Real Thing Comes Along,Dean Martin,1961,182.0,14,0.149,0.609,0.517,0.781,0.0,0.0608,0.039,-15.447,102.5,1,0
West Side Story: Act I: Tonight,"Leonard Bernstein, Jim Bryant, Marni Nixon, Johnny Green, West Side Story Orchestra",1961,399.7,12,0.136,0.322,0.143,0.914,9.65e-05,0.331,0.0512,-16.186,80.0,1,0
Amorosa,Jorge Valente,1961,152.3,12,0.339,0.638,0.541,0.571,0.00104,0.0876,0.0368,-10.973,122.2,1,0
Speedy Gonzales,Henry Mancini,1961,106.3,12,0.693,0.593,0.967,0.862,0.849,0.334,0.0349,-12.277,111.9,1,0
All The Things You Are,Stan Kenton,1961,157.6,11,0.0348,0.203,0.0719,0.962,0.98,0.113,0.0335,-20.075,133.8,0,0
Maid of Constant Sorrow,Judy Collins,1961,157.1,11,0.0726,0.417,0.476,0.988,5.98e-05,0.0962,0.0357,-15.831,135.7,1,0
Tourist Meets Khrushchev,Bob Newhart,1961,310.8,10,0.88,0.544,0.359,0.949,0.000315,0.733,0.935,-10.329,87.5,1,0
I've Got My Love To Keep Me Warm,Dinah Washington,1961,193.0,10,0.339,0.487,0.524,0.372,2.48e-05,0.312,0.0341,-11.741,107.7,1,0
"Violin Sonata in A Major No. 9, Op. 47 ""Kreutzer"": II. Variation II","Ludwig van Beethoven, Jascha Heifetz, Brooks Smith",1961,98.4,10,0.322,0.456,0.935,0.878,0.556,0.399,0.0516,-17.849,142.9,1,0
"Fugue in G Major, BWV 577","Johann Sebastian Bach, E. Power Biggs",1961,193.1,10,0.289,0.276,0.413,0.774,0.8,0.392,0.0498,-18.597,111.1,1,0
It Was Written In The Stars,Ella Fitzgerald,1961,310.8,9,0.209,0.33,0.111,0.886,0.0,0.103,0.0294,-11.323,70.9,0,0
It's You Or No One - Remastered 2015,Dexter Gordon,1961,374.9,9,0.573,0.598,0.643,0.651,0.0074,0.173,0.038,-10.97,129.8,1,0
Ups 'N' Downs,The Ventures,1961,124.6,9,0.58,0.505,0.784,0.871,0.931,0.29,0.0279,-11.755,110.2,1,0
Swansea Town,"Traditional, Robert Shaw",1961,180.2,9,0.192,0.318,0.311,0.994,3.31e-06,0.119,0.0568,-20.172,108.6,1,0
Tailor Made,Johnny Hodges,1961,215.5,8,0.489,0.402,0.345,0.594,0.00839,0.0821,0.0604,-10.039,152.3,1,0
Always True To You (In My Fashion),Julie London,1961,151.2,8,0.226,0.606,0.444,0.905,0.0,0.26,0.0421,-11.425,122.7,1,0
Red River Valley,The Tex-I-An Boys,1961,226.0,8,0.0881,0.493,0.202,0.85,3.79e-05,0.21,0.0291,-18.22,138.7,1,0
March of the Toys - Instrumental Version,Babes in Toyland Orchestra,1961,178.7,7,0.365,0.433,0.533,0.813,0.0766,0.106,0.0605,-13.549,110.3,0,0
Broadway - Live At The Alhambra/1961,Ahmad Jamal,1961,461.6,7,0.186,0.548,0.354,0.172,0.265,0.676,0.0391,-22.696,140.1,1,0
The Bonnie Blue Flag,"HARRY MACCARTHY, Traditional, Mormon Tabernacle Choir, Richard P. Condie",1961,115.6,6,0.252,0.623,0.425,0.99,0.2,0.129,0.034,-17.994,112.5,1,0
"Suite For Cello Solo No.5 In C Minor, BWV 1011: 5. Gavotte I - 6. Gavotte II","Johann Sebastian Bach, Pierre Fournier",1961,305.0,6,0.122,0.463,0.487,0.986,0.943,0.121,0.0445,-18.058,119.7,1,0
Everywhere I Look This Mornin',The Limeliters,1961,120.3,6,0.0876,0.423,0.234,0.927,0.0382,0.112,0.0356,-18.909,104.9,1,0
"On the Town: Times Square, 1944","Leonard Bernstein, New York Philharmonic",1961,278.9,5,0.285,0.343,0.467,0.861,0.861,0.166,0.0519,-16.236,90.8,1,0
Maria - Remastered,"The Dave Brubeck Quartet, Dave Brubeck",1961,197.4,5,0.237,0.564,0.552,0.806,0.000228,0.0663,0.0409,-20.611,78.1,1,0
The Big Luau in the Sky,"Paul Page, Rainbow Trio, Jerry Byrd",1961,374.5,5,0.303,0.577,0.445,0.711,0.0,0.125,0.424,-14.346,71.3,1,0
She's Got You - Single Version,Patsy Cline,1962,181.8,57,0.143,0.388,0.578,0.947,0.000865,0.1,0.0416,-17.545,182.7,1,0
Walk Right Back,The Everly Brothers,1962,139.6,53,0.358,0.624,0.871,0.752,0.0,0.0593,0.0342,-13.199,135.8,1,0
Media Vuelta,Javier Solís,1962,131.6,50,0.295,0.472,0.687,0.848,0.0,0.28,0.0357,-10.833,103.3,1,0
Re: Person I Knew,Bill Evans Trio,1962,343.8,48,0.259,0.367,0.263,0.868,0.837,0.11,0.0408,-15.669,165.2,0,0
Hello Walls,Willie Nelson,1962,146.1,41,0.368,0.566,0.517,0.724,1.33e-06,0.0823,0.0341,-10.306,49.8,1,0
Movin' and a'Groovin',Sam Cooke,1962,154.7,38,0.679,0.658,0.74,0.639,0.0,0.515,0.0562,-6.919,118.2,1,0
Thirty Days - Single Version,Chuck Berry,1962,142.6,36,0.908,0.672,0.839,0.596,0.0,0.207,0.0738,-6.216,116.5,1,0
The Happiest Christmas Tree,Nat King Cole,1962,103.7,35,0.456,0.499,0.94,0.753,0.0,0.861,0.4,-11.528,205.9,1,0
My Kind Of Girl,"Frank Sinatra, Count Basie",1962,273.7,35,0.205,0.576,0.378,0.452,4.34e-06,0.0547,0.0422,-13.355,110.8,1,0
I'm Gonna Sit Right Down And Write Myself A Letter,"Frank Sinatra, Count Basie",1962,152.6,31,0.512,0.567,0.773,0.703,1.12e-06,0.133,0.046,-8.696,116.8,0,0
The Spook,Pete Drake,1962,140.8,29,0.574,0.462,0.852,0.184,0.969,0.155,0.027,-10.065,145.2,0,0
The Crowd,Roy Orbison,1962,144.3,28,0.337,0.266,0.438,0.809,9.8e-05,0.0765,0.0304,-9.549,91.8,1,0
Bamboo,"Peter, Paul and Mary",1962,152.8,28,0.161,0.457,0.571,0.738,0.00558,0.109,0.0346,-23.204,134.6,1,0
I Love You,Frank Sinatra,1962,136.7,27,0.266,0.615,0.436,0.333,0.0,0.132,0.0356,-11.055,127.5,1,0
Halfway To Paradise - Single Version,Bobby Vinton,1962,160.4,26,0.301,0.384,0.348,0.797,0.0,0.108,0.0282,-11.166,93.6,1,0
Ce grand méchant vous,Serge Gainsbourg,1962,140.1,24,0.839,0.475,0.907,0.702,0.0,0.361,0.0621,-8.507,115.3,0,0
Make the Night a Little Longer,The Shirelles,1962,149.3,24,0.351,0.624,0.862,0.763,0.0,0.596,0.0267,-13.342,104.1,0,0
Behave Yourself - Single Version; 45 Version,Booker T. & the M.G.'s,1962,228.4,24,0.192,0.645,0.138,0.828,0.902,0.191,0.0294,-17.232,66.1,1,0
Here Comes the Night - Mono,Ben E. King,1962,149.5,24,0.387,0.622,0.564,0.23,0.0,0.144,0.0276,-11.043,101.7,1,0
Sarung-Banggi,Mabuhay Singers,1962,168.8,24,0.202,0.649,0.6,0.943,0.0,0.117,0.052,-16.726,122.2,1,0
Chara Tua Tristeza,Bob Brookmeyer,1962,253.3,23,0.37,0.569,0.712,0.586,0.00187,0.0617,0.206,-16.19,100.5,0,0
The Shift - Mono/Remastered 2001,The Beach Boys,1962,115.9,21,0.845,0.556,0.965,0.768,1.04e-05,0.2,0.0363,-5.028,162.2,1,0
Love Letters - Remastered,Julie London,1962,174.9,20,0.211,0.324,0.351,0.715,1.39e-05,0.0918,0.033,-16.177,119.2,1,0
"Lady Chatterley (with Tommy Makem) - Live at Carnegie Hall, New York, NY - November 1962","The Clancy Brothers, Tommy Makem",1962,96.5,20,0.188,0.462,0.728,0.887,0.0,0.702,0.0914,-17.237,170.8,1,0
Rough Lover,Aretha Franklin,1962,165.4,19,0.695,0.709,0.785,0.794,2.98e-06,0.258,0.235,-8.652,81.0,1,0
Have I Told You Lately?,Tony Bennett,1962,158.2,19,0.135,0.308,0.224,0.81,0.0,0.158,0.0334,-15.737,99.4,1,0
Cotton Fields (The Cotton Song),Johnny Cash,1962,153.2,19,0.527,0.795,0.803,0.824,0.000121,0.142,0.062,-8.077,91.0,1,0
Limbo Rock,Herb Alpert & The Tijuana Brass,1962,128.0,19,0.811,0.783,0.953,0.445,0.731,0.0384,0.0309,-6.31,91.8,1,0
Why Baby Why - Single Version,Pat Boone,1962,118.0,18,0.29,0.675,0.786,0.583,0.0,0.131,0.0291,-11.887,110.5,1,0
I'm Always Chasing Rainbows,Tony Bennett,1962,159.8,18,0.222,0.267,0.109,0.918,3.14e-06,0.21,0.0343,-16.092,83.9,1,0
Mary Ann,Stevie Wonder,1962,180.3,17,0.65,0.494,0.931,0.12,0.000103,0.0937,0.0457,-10.73,136.3,1,0
(All En) El Rancho Grande,Dean Martin,1962,136.5,16,0.419,0.478,0.804,0.812,0.0,0.353,0.0416,-12.171,123.8,1,0
My God Is Real,Johnny Cash,1962,116.8,16,0.52,0.604,0.812,0.882,0.00052,0.145,0.0282,-7.971,77.4,1,0
I Feel Pretty,Oscar Peterson Trio,1962,266.3,15,0.56,0.479,0.802,0.888,0.148,0.192,0.0324,-7.686,116.0,1,0
September Song - 1999 / Digital Remaster,Frank Sinatra,1962,261.3,15,0.111,0.202,0.0937,0.865,0.00374,0.205,0.0321,-17.739,83.9,1,0
Pleading,Pete Drake,1962,124.9,15,0.39,0.301,0.72,0.837,0.845,0.124,0.029,-11.778,79.6,1,0
Tradition,"Topol, Fiddler on the Roof Ensemble (1967)",1962,471.4,15,0.239,0.483,0.432,0.727,2.35e-06,0.42,0.214,-17.005,80.7,1,0
Wimoweh,Bert Kaempfert,1962,160.5,15,0.506,0.682,0.673,0.376,3.28e-05,0.116,0.0373,-9.155,63.0,1,0
My One And Only Love - 1998 Remaster,Dean Martin,1962,151.2,13,0.186,0.429,0.397,0.798,0.00452,0.143,0.0405,-16.063,93.3,1,0
Time After Time - Vocal,"Jule Styne, Plácido Domingo, Lee Holdridge",1962,170.4,13,0.186,0.336,0.261,0.801,0.000399,0.117,0.0331,-15.41,103.1,1,0
Abra Te,Nicky Roberts,1962,188.9,13,0.803,0.774,0.803,0.314,0.0251,0.0872,0.067,-5.269,144.8,1,0
Miles' Mode,John Coltrane,1962,425.8,13,0.491,0.466,0.414,0.591,4.36e-05,0.262,0.0294,-10.407,96.0,0,0
Three Window Coupe,The Rip Chords,1962,119.0,13,0.547,0.561,0.963,0.593,0.0,0.323,0.04,-11.13,156.1,1,0
Merrimac County,Tom Rush,1962,171.5,13,0.346,0.512,0.439,0.587,9.5e-05,0.57,0.0291,-13.624,85.4,1,0
I'm Wandering,Aretha Franklin,1962,205.6,13,0.29,0.628,0.509,0.797,0.0,0.332,0.0426,-12.831,83.4,1,0
Moody River,"Johnny Burnette, The Johnny Mann Singers",1962,155.9,13,0.384,0.664,0.786,0.732,0.0,0.0946,0.0322,-11.375,68.0,0,0
Everlovin',Ricky Nelson,1962,128.7,12,0.528,0.642,0.926,0.57,4.09e-06,0.305,0.0262,-10.373,139.3,1,0
"Symphony No. 1 ""Jeremiah"": II. Profanation","Leonard Bernstein, Jennie Tourel, New York Philharmonic",1962,399.5,11,0.383,0.298,0.272,0.716,0.871,0.666,0.0529,-15.028,174.2,1,0
The Man That Got Away,Dinah Washington,1962,214.1,11,0.201,0.436,0.279,0.855,2.53e-05,0.19,0.0361,-13.95,78.2,1,0
Drums Are My Beat,Sandy Nelson,1962,133.8,11,0.816,0.773,0.894,0.184,0.923,0.0746,0.0342,-11.959,100.0,1,0
Up 'Gainst The Wall,John Coltrane,1962,193.2,11,0.475,0.361,0.594,0.0961,0.0,0.298,0.0497,-10.538,172.7,1,0
Three's A Crowd,George Jones,1962,140.2,10,0.334,0.515,0.581,0.288,2.65e-05,0.0788,0.0267,-10.511,106.4,1,0
Ira Hayes,Peter Lafarge,1962,220.5,10,0.0635,0.478,0.509,0.935,4.3e-05,0.115,0.163,-23.8,168.6,1,0
It Happened Once Before - Remastered,The Lettermen,1962,160.9,10,0.334,0.236,0.297,0.907,0.0,0.347,0.0304,-10.525,75.5,1,0
Palabras Calladas,"Tito Puente, Vicentico Valdés",1962,163.9,10,0.408,0.47,0.423,0.768,7.57e-06,0.318,0.0354,-6.537,78.8,1,0
Appalachian Spring: III. Moderato,"Aaron Copland, New York Philharmonic, Leonard Bernstein",1962,231.8,9,0.00745,0.0961,0.034,0.953,0.277,0.136,0.0449,-31.657,67.1,1,0
Little Deuce Coupe,The Rip Chords,1962,115.7,8,0.454,0.672,0.939,0.71,3.42e-06,0.0477,0.0408,-8.348,120.8,1,0
See You in September,Shelley Fabares,1962,132.0,8,0.282,0.5,0.489,0.85,0.0,0.451,0.0267,-12.372,103.9,1,0
Shut Down,The Rip Chords,1962,104.2,7,0.571,0.554,0.958,0.593,5.93e-06,0.116,0.0359,-7.238,154.6,1,0
I Like the Sunrise,Nina Simone,1962,179.2,7,0.185,0.171,0.179,0.961,4.71e-06,0.38,0.031,-12.773,174.1,1,0
Ring of Fire,Johnny Cash,1963,158.4,69,0.585,0.659,0.784,0.623,0.000213,0.348,0.0288,-8.189,104.1,1,0
