hpi_flavor,frequency,place_name,index,gdp_pc,inflation_avg,unemployment_rate,current_account_bal,date,gspc_close
purchase-only,monthly,East North Central Division,111.38,38277.58,2.97,6.908,-1.237,01/08/93,463.5599976
purchase-only,monthly,East North Central Division,112.14,38277.58,2.97,6.908,-1.237,01/09/93,458.9299927
purchase-only,monthly,East North Central Division,112.36,38277.58,2.97,6.908,-1.237,01/10/93,467.8299866
purchase-only,monthly,East North Central Division,112.89,38277.58,2.97,6.908,-1.237,01/11/93,461.7900085
purchase-only,monthly,East North Central Division,113.45,38277.58,2.97,6.908,-1.237,01/12/93,466.4500122
purchase-only,monthly,East North Central Division,114.13,39339.0,2.596,6.1,-1.669,01/01/94,481.6099854
purchase-only,monthly,East North Central Division,114.38,39339.0,2.596,6.1,-1.669,01/02/94,467.1400146
purchase-only,monthly,East North Central Division,114.78,39339.0,2.596,6.1,-1.669,01/03/94,445.769989
purchase-only,monthly,East North Central Division,115.49,39339.0,2.596,6.1,-1.669,01/04/94,450.9100037
purchase-only,monthly,East North Central Division,116.02,39339.0,2.596,6.1,-1.669,01/05/94,456.5
purchase-only,monthly,East North Central Division,116.32,39339.0,2.596,6.1,-1.669,01/06/94,444.269989
purchase-only,monthly,East North Central Division,116.52,39339.0,2.596,6.1,-1.669,01/07/94,458.2600098
purchase-only,monthly,East North Central Division,117.01,39339.0,2.596,6.1,-1.669,01/08/94,475.4899902
purchase-only,monthly,East North Central Division,117.32,39339.0,2.596,6.1,-1.669,01/09/94,462.7099915
purchase-only,monthly,East North Central Division,118.02,39339.0,2.596,6.1,-1.669,01/10/94,472.3500061
purchase-only,monthly,East North Central Division,118.48,39339.0,2.596,6.1,-1.669,01/11/94,453.6900024
purchase-only,monthly,East North Central Division,118.53,39339.0,2.596,6.1,-1.669,01/12/94,459.269989
purchase-only,monthly,East North Central Division,119.31,39919.87,2.805,5.592,-1.487,01/01/95,470.4200134
purchase-only,monthly,East North Central Division,119.9,39919.87,2.805,5.592,-1.487,01/02/95,487.3900146
purchase-only,monthly,East North Central Division,120.12,39919.87,2.805,5.592,-1.487,01/03/95,500.7099915
purchase-only,monthly,East North Central Division,120.81,39919.87,2.805,5.592,-1.487,01/04/95,514.710022
purchase-only,monthly,East North Central Division,120.77,39919.87,2.805,5.592,-1.487,01/05/95,533.4000244
purchase-only,monthly,East North Central Division,121.58,39919.87,2.805,5.592,-1.487,01/06/95,544.75
purchase-only,monthly,East North Central Division,122.18,39919.87,2.805,5.592,-1.487,01/07/95,562.0599976
purchase-only,monthly,East North Central Division,122.86,39919.87,2.805,5.592,-1.487,01/08/95,561.8800049
purchase-only,monthly,East North Central Division,123.36,39919.87,2.805,5.592,-1.487,01/09/95,584.4099731
purchase-only,monthly,East North Central Division,123.74,39919.87,2.805,5.592,-1.487,01/10/95,581.5
purchase-only,monthly,East North Central Division,124.01,39919.87,2.805,5.592,-1.487,01/11/95,605.3699951
purchase-only,monthly,East North Central Division,124.79,39919.87,2.805,5.592,-1.487,01/12/95,615.9299927
purchase-only,monthly,East North Central Division,125.19,40946.0,2.937,5.408,-1.546,01/01/96,636.0200195
purchase-only,monthly,East North Central Division,125.86,40946.0,2.937,5.408,-1.546,01/02/96,640.4299927
purchase-only,monthly,East North Central Division,126.35,40946.0,2.937,5.408,-1.546,01/03/96,645.5
purchase-only,monthly,East North Central Division,127.41,40946.0,2.937,5.408,-1.546,01/04/96,654.1699829
purchase-only,monthly,East North Central Division,127.6,40946.0,2.937,5.408,-1.546,01/05/96,669.1199951
purchase-only,monthly,East North Central Division,127.76,40946.0,2.937,5.408,-1.546,01/06/96,670.6300049
purchase-only,monthly,East North Central Division,128.45,40946.0,2.937,5.408,-1.546,01/07/96,639.9500122
purchase-only,monthly,East North Central Division,128.35,40946.0,2.937,5.408,-1.546,01/08/96,651.9899902
purchase-only,monthly,East North Central Division,128.85,40946.0,2.937,5.408,-1.546,01/09/96,687.3300171
purchase-only,monthly,East North Central Division,128.81,40946.0,2.937,5.408,-1.546,01/10/96,705.2700195
purchase-only,monthly,East North Central Division,130.02,40946.0,2.937,5.408,-1.546,01/11/96,757.0200195
purchase-only,monthly,East North Central Division,130.23,40946.0,2.937,5.408,-1.546,01/12/96,740.7399902
purchase-only,monthly,East North Central Division,130.35,42258.86,2.338,4.942,-1.641,01/01/97,786.1599731
purchase-only,monthly,East North Central Division,130.52,42258.86,2.338,4.942,-1.641,01/02/97,790.8200073
purchase-only,monthly,East North Central Division,131.34,42258.86,2.338,4.942,-1.641,01/03/97,757.1199951
purchase-only,monthly,East North Central Division,131.29,42258.86,2.338,4.942,-1.641,01/04/97,801.3400269
purchase-only,monthly,East North Central Division,132.07,42258.86,2.338,4.942,-1.641,01/05/97,848.2800293
purchase-only,monthly,East North Central Division,132.24,42258.86,2.338,4.942,-1.641,01/06/97,885.1400146
purchase-only,monthly,East North Central Division,132.62,42258.86,2.338,4.942,-1.641,01/07/97,954.3099976
purchase-only,monthly,East North Central Division,132.99,42258.86,2.338,4.942,-1.641,01/08/97,899.4699707
purchase-only,monthly,East North Central Division,133.19,42258.86,2.338,4.942,-1.641,01/09/97,947.2800293
purchase-only,monthly,East North Central Division,133.73,42258.86,2.338,4.942,-1.641,01/10/97,914.6199951
purchase-only,monthly,East North Central Division,134.1,42258.86,2.338,4.942,-1.641,01/11/97,955.4000244
purchase-only,monthly,East North Central Division,134.42,42258.86,2.338,4.942,-1.641,01/12/97,970.4299927
purchase-only,monthly,East North Central Division,135.0,43640.76,1.547,4.5,-2.373,01/01/98,980.2800293
purchase-only,monthly,East North Central Division,135.64,43640.76,1.547,4.5,-2.373,01/02/98,1049.339966
purchase-only,monthly,East North Central Division,136.06,43640.76,1.547,4.5,-2.373,01/03/98,1101.75
purchase-only,monthly,East North Central Division,136.44,43640.76,1.547,4.5,-2.373,01/04/98,1111.75
purchase-only,monthly,East North Central Division,136.82,43640.76,1.547,4.5,-2.373,01/05/98,1090.819946
purchase-only,monthly,East North Central Division,137.5,43640.76,1.547,4.5,-2.373,01/06/98,1133.839966
purchase-only,monthly,East North Central Division,137.82,43640.76,1.547,4.5,-2.373,01/07/98,1120.670044
purchase-only,monthly,East North Central Division,138.41,43640.76,1.547,4.5,-2.373,01/08/98,957.2800293
purchase-only,monthly,East North Central Division,139.18,43640.76,1.547,4.5,-2.373,01/09/98,1017.01001
purchase-only,monthly,East North Central Division,139.96,43640.76,1.547,4.5,-2.373,01/10/98,1098.670044
purchase-only,monthly,East North Central Division,140.82,43640.76,1.547,4.5,-2.373,01/11/98,1163.630005
purchase-only,monthly,East North Central Division,141.2,43640.76,1.547,4.5,-2.373,01/12/98,1229.22998
purchase-only,monthly,East North Central Division,141.75,45213.48,2.193,4.217,-2.976,01/01/99,1279.640015
purchase-only,monthly,East North Central Division,142.47,45213.48,2.193,4.217,-2.976,01/02/99,1238.329956
purchase-only,monthly,East North Central Division,142.9,45213.48,2.193,4.217,-2.976,01/03/99,1286.369995
purchase-only,monthly,East North Central Division,143.37,45213.48,2.193,4.217,-2.976,01/04/99,1335.180054
purchase-only,monthly,East North Central Division,144.31,45213.48,2.193,4.217,-2.976,01/05/99,1301.839966
purchase-only,monthly,East North Central Division,144.77,45213.48,2.193,4.217,-2.976,01/06/99,1372.709961
purchase-only,monthly,East North Central Division,145.47,45213.48,2.193,4.217,-2.976,01/07/99,1328.719971
purchase-only,monthly,East North Central Division,146.39,45213.48,2.193,4.217,-2.976,01/08/99,1320.410034
purchase-only,monthly,East North Central Division,146.66,45213.48,2.193,4.217,-2.976,01/09/99,1282.709961
purchase-only,monthly,East North Central Division,147.35,45213.48,2.193,4.217,-2.976,01/10/99,1362.930054
purchase-only,monthly,East North Central Division,147.6,45213.48,2.193,4.217,-2.976,01/11/99,1388.910034
purchase-only,monthly,East North Central Division,148.42,45213.48,2.193,4.217,-2.976,01/12/99,1469.25
purchase-only,monthly,East North Central Division,150.08,46539.99,3.367,3.967,-3.921,01/01/00,1394.459961
purchase-only,monthly,East North Central Division,149.24,46539.99,3.367,3.967,-3.921,01/02/00,1366.420044
purchase-only,monthly,East North Central Division,150.7,46539.99,3.367,3.967,-3.921,01/03/00,1498.579956
purchase-only,monthly,East North Central Division,151.34,46539.99,3.367,3.967,-3.921,01/04/00,1452.430054
purchase-only,monthly,East North Central Division,151.71,46539.99,3.367,3.967,-3.921,01/05/00,1420.599976
purchase-only,monthly,East North Central Division,152.78,46539.99,3.367,3.967,-3.921,01/06/00,1454.599976
purchase-only,monthly,East North Central Division,153.48,46539.99,3.367,3.967,-3.921,01/07/00,1430.829956
purchase-only,monthly,East North Central Division,153.84,46539.99,3.367,3.967,-3.921,01/08/00,1517.680054
purchase-only,monthly,East North Central Division,154.26,46539.99,3.367,3.967,-3.921,01/09/00,1436.51001
purchase-only,monthly,East North Central Division,154.74,46539.99,3.367,3.967,-3.921,01/10/00,1429.400024
purchase-only,monthly,East North Central Division,155.24,46539.99,3.367,3.967,-3.921,01/11/00,1314.949951
purchase-only,monthly,East North Central Division,156.25,46539.99,3.367,3.967,-3.921,01/12/00,1320.280029
purchase-only,monthly,East North Central Division,156.82,46503.1,2.817,4.742,-3.724,01/01/01,1366.01001
purchase-only,monthly,East North Central Division,157.55,46503.1,2.817,4.742,-3.724,01/02/01,1239.939941
purchase-only,monthly,East North Central Division,158.02,46503.1,2.817,4.742,-3.724,01/03/01,1160.329956
purchase-only,monthly,East North Central Division,158.8,46503.1,2.817,4.742,-3.724,01/04/01,1249.459961
purchase-only,monthly,East North Central Division,159.29,46503.1,2.817,4.742,-3.724,01/05/01,1255.819946
purchase-only,monthly,East North Central Division,159.73,46503.1,2.817,4.742,-3.724,01/06/01,1224.380005
purchase-only,monthly,East North Central Division,160.28,46503.1,2.817,4.742,-3.724,01/07/01,1211.22998
purchase-only,monthly,East North Central Division,160.79,46503.1,2.817,4.742,-3.724,01/08/01,1133.579956
purchase-only,monthly,East North Central Division,161.48,46503.1,2.817,4.742,-3.724,01/09/01,1040.939941
purchase-only,monthly,East North Central Division,162.54,46503.1,2.817,4.742,-3.724,01/10/01,1059.780029
purchase-only,monthly,East North Central Division,162.71,46503.1,2.817,4.742,-3.724,01/11/01,1139.449951
purchase-only,monthly,East North Central Division,163.31,46503.1,2.817,4.742,-3.724,01/12/01,1148.079956
purchase-only,monthly,East North Central Division,164.18,46831.46,1.596,5.783,-4.173,01/01/02,1130.199951
purchase-only,monthly,East North Central Division,164.35,46831.46,1.596,5.783,-4.173,01/02/02,1106.72998
purchase-only,monthly,East North Central Division,165.21,46831.46,1.596,5.783,-4.173,01/03/02,1147.390015
purchase-only,monthly,East North Central Division,165.47,46831.46,1.596,5.783,-4.173,01/04/02,1076.920044
purchase-only,monthly,East North Central Division,166.09,46831.46,1.596,5.783,-4.173,01/05/02,1067.140015
purchase-only,monthly,East North Central Division,166.97,46831.46,1.596,5.783,-4.173,01/06/02,989.8200073
purchase-only,monthly,East North Central Division,167.32,46831.46,1.596,5.783,-4.173,01/07/02,911.6199951
purchase-only,monthly,East North Central Division,167.93,46831.46,1.596,5.783,-4.173,01/08/02,916.0700073
purchase-only,monthly,East North Central Division,168.74,46831.46,1.596,5.783,-4.173,01/09/02,815.2800293
purchase-only,monthly,East North Central Division,169.11,46831.46,1.596,5.783,-4.173,01/10/02,885.7600098
purchase-only,monthly,East North Central Division,170.4,46831.46,1.596,5.783,-4.173,01/11/02,936.3099976
purchase-only,monthly,East North Central Division,170.58,46831.46,1.596,5.783,-4.173,01/12/02,879.8200073
purchase-only,monthly,East North Central Division,171.76,47691.56,2.298,5.992,-4.559,01/01/03,855.7000122
purchase-only,monthly,East North Central Division,172.04,47691.56,2.298,5.992,-4.559,01/02/03,841.1500244
purchase-only,monthly,East North Central Division,172.32,47691.56,2.298,5.992,-4.559,01/03/03,848.1799927
purchase-only,monthly,East North Central Division,173.03,47691.56,2.298,5.992,-4.559,01/04/03,916.9199829
purchase-only,monthly,East North Central Division,173.72,47691.56,2.298,5.992,-4.559,01/05/03,963.5900269
purchase-only,monthly,East North Central Division,174.11,47691.56,2.298,5.992,-4.559,01/06/03,974.5
purchase-only,monthly,East North Central Division,174.96,47691.56,2.298,5.992,-4.559,01/07/03,990.3099976
purchase-only,monthly,East North Central Division,175.71,47691.56,2.298,5.992,-4.559,01/08/03,1008.01001
purchase-only,monthly,East North Central Division,176.29,47691.56,2.298,5.992,-4.559,01/09/03,995.9699707
purchase-only,monthly,East North Central Division,177.17,47691.56,2.298,5.992,-4.559,01/10/03,1050.709961
purchase-only,monthly,East North Central Division,177.94,47691.56,2.298,5.992,-4.559,01/11/03,1058.199951
purchase-only,monthly,East North Central Division,178.89,47691.56,2.298,5.992,-4.559,01/12/03,1111.920044
purchase-only,monthly,East North Central Division,178.54,49080.56,2.668,5.542,-5.205,01/01/04,1131.130005
purchase-only,monthly,East North Central Division,180.11,49080.56,2.668,5.542,-5.205,01/02/04,1144.939941
purchase-only,monthly,East North Central Division,180.46,49080.56,2.668,5.542,-5.205,01/03/04,1126.209961
purchase-only,monthly,East North Central Division,181.03,49080.56,2.668,5.542,-5.205,01/04/04,1107.300049
purchase-only,monthly,East North Central Division,181.64,49080.56,2.668,5.542,-5.205,01/05/04,1120.680054
purchase-only,monthly,East North Central Division,182.47,49080.56,2.668,5.542,-5.205,01/06/04,1140.839966
purchase-only,monthly,East North Central Division,183.12,49080.56,2.668,5.542,-5.205,01/07/04,1101.719971
purchase-only,monthly,East North Central Division,183.76,49080.56,2.668,5.542,-5.205,01/08/04,1104.23999
purchase-only,monthly,East North Central Division,183.94,49080.56,2.668,5.542,-5.205,01/09/04,1114.579956
purchase-only,monthly,East North Central Division,184.84,49080.56,2.668,5.542,-5.205,01/10/04,1130.199951
purchase-only,monthly,East North Central Division,185.64,49080.56,2.668,5.542,-5.205,01/11/04,1173.819946
purchase-only,monthly,East North Central Division,186.19,49080.56,2.668,5.542,-5.205,01/12/04,1211.920044
purchase-only,monthly,East North Central Division,186.97,50322.52,3.366,5.083,-5.746,01/01/05,1181.27002
purchase-only,monthly,East North Central Division,186.34,50322.52,3.366,5.083,-5.746,01/02/05,1203.599976
purchase-only,monthly,East North Central Division,187.78,50322.52,3.366,5.083,-5.746,01/03/05,1180.589966
purchase-only,monthly,East North Central Division,188.63,50322.52,3.366,5.083,-5.746,01/04/05,1156.849976
purchase-only,monthly,East North Central Division,188.78,50322.52,3.366,5.083,-5.746,01/05/05,1191.5
purchase-only,monthly,East North Central Division,189.12,50322.52,3.366,5.083,-5.746,01/06/05,1191.329956
purchase-only,monthly,East North Central Division,189.63,50322.52,3.366,5.083,-5.746,01/07/05,1234.180054
purchase-only,monthly,East North Central Division,189.87,50322.52,3.366,5.083,-5.746,01/08/05,1220.329956
purchase-only,monthly,East North Central Division,191.38,50322.52,3.366,5.083,-5.746,01/09/05,1228.810059
purchase-only,monthly,East North Central Division,191.64,50322.52,3.366,5.083,-5.746,01/10/05,1207.01001
purchase-only,monthly,East North Central Division,191.79,50322.52,3.366,5.083,-5.746,01/11/05,1249.47998
purchase-only,monthly,East North Central Division,191.71,50322.52,3.366,5.083,-5.746,01/12/05,1248.290039
purchase-only,monthly,East North Central Division,192.23,51235.84,3.222,4.608,-5.911,01/01/06,1280.079956
purchase-only,monthly,East North Central Division,192.31,51235.84,3.222,4.608,-5.911,01/02/06,1280.660034
purchase-only,monthly,East North Central Division,192.31,51235.84,3.222,4.608,-5.911,01/03/06,1294.869995
purchase-only,monthly,East North Central Division,193.24,51235.84,3.222,4.608,-5.911,01/04/06,1310.609985
purchase-only,monthly,East North Central Division,192.72,51235.84,3.222,4.608,-5.911,01/05/06,1270.089966
purchase-only,monthly,East North Central Division,192.26,51235.84,3.222,4.608,-5.911,01/06/06,1270.199951
purchase-only,monthly,East North Central Division,192.38,51235.84,3.222,4.608,-5.911,01/07/06,1276.660034
purchase-only,monthly,East North Central Division,191.92,51235.84,3.222,4.608,-5.911,01/08/06,1303.819946
purchase-only,monthly,East North Central Division,192.09,51235.84,3.222,4.608,-5.911,01/09/06,1335.849976
purchase-only,monthly,East North Central Division,191.6,51235.84,3.222,4.608,-5.911,01/10/06,1377.939941
purchase-only,monthly,East North Central Division,190.87,51235.84,3.222,4.608,-5.911,01/11/06,1400.630005
purchase-only,monthly,East North Central Division,191.73,51235.84,3.222,4.608,-5.911,01/12/06,1418.300049
purchase-only,monthly,East North Central Division,192.55,51751.28,2.871,4.617,-5.089,01/01/07,1438.23999
purchase-only,monthly,East North Central Division,191.79,51751.28,2.871,4.617,-5.089,01/02/07,1406.819946
purchase-only,monthly,East North Central Division,191.91,51751.28,2.871,4.617,-5.089,01/03/07,1420.859985
purchase-only,monthly,East North Central Division,191.15,51751.28,2.871,4.617,-5.089,01/04/07,1482.369995
purchase-only,monthly,East North Central Division,190.19,51751.28,2.871,4.617,-5.089,01/05/07,1530.619995
purchase-only,monthly,East North Central Division,189.81,51751.28,2.871,4.617,-5.089,01/06/07,1503.349976
purchase-only,monthly,East North Central Division,188.5,51751.28,2.871,4.617,-5.089,01/07/07,1455.27002
purchase-only,monthly,East North Central Division,187.99,51751.28,2.871,4.617,-5.089,01/08/07,1473.98999
purchase-only,monthly,East North Central Division,186.63,51751.28,2.871,4.617,-5.089,01/09/07,1526.75
purchase-only,monthly,East North Central Division,185.34,51751.28,2.871,4.617,-5.089,01/10/07,1549.380005
purchase-only,monthly,East North Central Division,184.46,51751.28,2.871,4.617,-5.089,01/11/07,1481.140015
purchase-only,monthly,East North Central Division,183.25,51751.28,2.871,4.617,-5.089,01/12/07,1468.359985
purchase-only,monthly,East North Central Division,181.99,51335.91,3.815,5.8,-4.716,01/01/08,1378.550049
purchase-only,monthly,East North Central Division,181.63,51335.91,3.815,5.8,-4.716,01/02/08,1330.630005
purchase-only,monthly,East North Central Division,180.65,51335.91,3.815,5.8,-4.716,01/03/08,1322.699951
purchase-only,monthly,East North Central Division,178.94,51335.91,3.815,5.8,-4.716,01/04/08,1385.589966
purchase-only,monthly,East North Central Division,177.39,51335.91,3.815,5.8,-4.716,01/05/08,1400.380005
purchase-only,monthly,East North Central Division,176.85,51335.91,3.815,5.8,-4.716,01/06/08,1280.0
purchase-only,monthly,East North Central Division,175.7,51335.91,3.815,5.8,-4.716,01/07/08,1267.380005
purchase-only,monthly,East North Central Division,174.63,51335.91,3.815,5.8,-4.716,01/08/08,1282.829956
purchase-only,monthly,East North Central Division,171.88,51335.91,3.815,5.8,-4.716,01/09/08,1166.359985
purchase-only,monthly,East North Central Division,171.56,51335.91,3.815,5.8,-4.716,01/10/08,968.75
purchase-only,monthly,East North Central Division,168.61,51335.91,3.815,5.8,-4.716,01/11/08,896.2399902
purchase-only,monthly,East North Central Division,168.72,51335.91,3.815,5.8,-4.716,01/12/08,903.25
purchase-only,monthly,East North Central Division,171.99,49569.21,-0.32,9.283,-2.623,01/01/09,825.8800049
purchase-only,monthly,East North Central Division,170.9,49569.21,-0.32,9.283,-2.623,01/02/09,735.0900269
purchase-only,monthly,East North Central Division,169.58,49569.21,-0.32,9.283,-2.623,01/03/09,797.8699951
purchase-only,monthly,East North Central Division,168.09,49569.21,-0.32,9.283,-2.623,01/04/09,872.8099976
purchase-only,monthly,East North Central Division,169.23,49569.21,-0.32,9.283,-2.623,01/05/09,919.1400146
purchase-only,monthly,East North Central Division,167.93,49569.21,-0.32,9.283,-2.623,01/06/09,919.3200073
purchase-only,monthly,East North Central Division,166.7,49569.21,-0.32,9.283,-2.623,01/07/09,987.4799805
purchase-only,monthly,East North Central Division,166.4,49569.21,-0.32,9.283,-2.623,01/08/09,1020.619995
purchase-only,monthly,East North Central Division,166.92,49569.21,-0.32,9.283,-2.623,01/09/09,1057.079956
purchase-only,monthly,East North Central Division,166.01,49569.21,-0.32,9.283,-2.623,01/10/09,1036.189941
purchase-only,monthly,East North Central Division,167.39,49569.21,-0.32,9.283,-2.623,01/11/09,1095.630005
purchase-only,monthly,East North Central Division,165.11,49569.21,-0.32,9.283,-2.623,01/12/09,1115.099976
purchase-only,monthly,East North Central Division,165.02,50523.5,1.637,9.608,-2.871,01/01/10,1073.869995
purchase-only,monthly,East North Central Division,164.21,50523.5,1.637,9.608,-2.871,01/02/10,1104.48999
purchase-only,monthly,East North Central Division,164.47,50523.5,1.637,9.608,-2.871,01/03/10,1169.430054
purchase-only,monthly,East North Central Division,164.42,50523.5,1.637,9.608,-2.871,01/04/10,1186.689941
purchase-only,monthly,East North Central Division,164.66,50523.5,1.637,9.608,-2.871,01/05/10,1089.410034
purchase-only,monthly,East North Central Division,162.72,50523.5,1.637,9.608,-2.871,01/06/10,1030.709961
purchase-only,monthly,East North Central Division,161.77,50523.5,1.637,9.608,-2.871,01/07/10,1101.599976
purchase-only,monthly,East North Central Division,162.39,50523.5,1.637,9.608,-2.871,01/08/10,1049.329956
purchase-only,monthly,East North Central Division,160.49,50523.5,1.637,9.608,-2.871,01/09/10,1141.199951
purchase-only,monthly,East North Central Division,162.69,50523.5,1.637,9.608,-2.871,01/10/10,1183.26001
purchase-only,monthly,East North Central Division,161.72,50523.5,1.637,9.608,-2.871,01/11/10,1180.550049
purchase-only,monthly,East North Central Division,159.62,50523.5,1.637,9.608,-2.871,01/12/10,1257.640015
purchase-only,monthly,East North Central Division,159.04,50943.53,3.14,8.933,-2.919,01/01/11,1286.119995
purchase-only,monthly,East North Central Division,157.7,50943.53,3.14,8.933,-2.919,01/02/11,1327.219971
purchase-only,monthly,East North Central Division,154.53,50943.53,3.14,8.933,-2.919,01/03/11,1325.829956
purchase-only,monthly,East North Central Division,154.88,50943.53,3.14,8.933,-2.919,01/04/11,1363.609985
purchase-only,monthly,East North Central Division,155.65,50943.53,3.14,8.933,-2.919,01/05/11,1345.199951
purchase-only,monthly,East North Central Division,156.49,50943.53,3.14,8.933,-2.919,01/06/11,1320.640015
purchase-only,monthly,East North Central Division,157.89,50943.53,3.14,8.933,-2.919,01/07/11,1292.280029
purchase-only,monthly,East North Central Division,156.0,50943.53,3.14,8.933,-2.919,01/08/11,1218.890015
purchase-only,monthly,East North Central Division,156.75,50943.53,3.14,8.933,-2.919,01/09/11,1131.420044
purchase-only,monthly,East North Central Division,155.41,50943.53,3.14,8.933,-2.919,01/10/11,1253.300049
purchase-only,monthly,East North Central Division,157.81,50943.53,3.14,8.933,-2.919,01/11/11,1246.959961
purchase-only,monthly,East North Central Division,157.04,50943.53,3.14,8.933,-2.919,01/12/11,1257.599976
purchase-only,monthly,East North Central Division,156.16,51736.82,2.073,8.075,-2.573,01/01/12,1312.410034
purchase-only,monthly,East North Central Division,156.14,51736.82,2.073,8.075,-2.573,01/02/12,1365.680054
purchase-only,monthly,East North Central Division,157.29,51736.82,2.073,8.075,-2.573,01/03/12,1408.469971
purchase-only,monthly,East North Central Division,158.01,51736.82,2.073,8.075,-2.573,01/04/12,1397.910034
purchase-only,monthly,East North Central Division,159.18,51736.82,2.073,8.075,-2.573,01/05/12,1310.329956
purchase-only,monthly,East North Central Division,159.41,51736.82,2.073,8.075,-2.573,01/06/12,1362.160034
purchase-only,monthly,East North Central Division,159.34,51736.82,2.073,8.075,-2.573,01/07/12,1379.319946
purchase-only,monthly,East North Central Division,160.24,51736.82,2.073,8.075,-2.573,01/08/12,1406.579956
purchase-only,monthly,East North Central Division,160.59,51736.82,2.073,8.075,-2.573,01/09/12,1440.670044
purchase-only,monthly,East North Central Division,161.23,51736.82,2.073,8.075,-2.573,01/10/12,1412.160034
purchase-only,monthly,East North Central Division,160.48,51736.82,2.073,8.075,-2.573,01/11/12,1416.180054
purchase-only,monthly,East North Central Division,160.96,51736.82,2.073,8.075,-2.573,01/12/12,1426.189941
purchase-only,monthly,East North Central Division,162.52,52329.15,1.466,7.358,-2.016,01/01/13,1498.109985
purchase-only,monthly,East North Central Division,163.08,52329.15,1.466,7.358,-2.016,01/02/13,1514.680054
purchase-only,monthly,East North Central Division,164.66,52329.15,1.466,7.358,-2.016,01/03/13,1569.189941
purchase-only,monthly,East North Central Division,165.57,52329.15,1.466,7.358,-2.016,01/04/13,1597.569946
purchase-only,monthly,East North Central Division,166.25,52329.15,1.466,7.358,-2.016,01/05/13,1630.73999
purchase-only,monthly,East North Central Division,167.1,52329.15,1.466,7.358,-2.016,01/06/13,1606.280029
purchase-only,monthly,East North Central Division,168.23,52329.15,1.466,7.358,-2.016,01/07/13,1685.72998
purchase-only,monthly,East North Central Division,168.52,52329.15,1.466,7.358,-2.016,01/08/13,1632.969971
